program,university,country,publicPrivate,track,language,tuitionIntl,scholarshipName,fundingLevel,stipendCoverage,tunisianEligible,portfolioReq,entryRequirements,applicationOpens,deadline,sourceUrl,fitNotes,verified,verificationNotes
ReSound - Erasmus Mundus Joint Master of Arts in Sound Design for Media Arts,IADT (Ireland) + Universidade Lusofona (Lisbon) + Lithuanian Academy of Music and Theatre (FilmEU alliance),"Portugal (consortium; also Ireland and Lithuania - Portuguese semester at Lusofona, Lisbon)",Consortium,Sound-Design/Production,English,"EUR 15,000 total for 4 semesters if unfunded (2 installments of EUR 7,500 before semesters 1 and 3)","Erasmus Mundus scholarship (EU co-funded; 'significant percentage' of the up-to-24 admitted candidates per year receive it, merit-based)",Full,"Scholarship holders pay no tuition; third-party Erasmus aggregators report full tuition waiver + ~EUR 1,400/month stipend + EUR 2,000-3,000/yr travel + health insurance + EUR 1,000 installation allowance - exact package on official site behind closed application pages, confirm when 2027 call opens",Y - explicitly open to both European and non-European students,"Y - max 3 examples of sound/media work totaling 10-15 minutes, each with a brief reflective paragraph","Bachelor's in sound, music, film, media studies, COMPUTATIONAL SCIENCE or related field (candidate's software-engineering degree explicitly fits); other degrees considered with relevant sound/media experience; English proficiency proof from accepted-exams list required (IELTS/TOEFL not yet taken - must plan test)",2026 intake opened 20 Oct 2025; expect ~Oct 2026 opening for Sept 2027 intake,"PRIOR CYCLE - confirm new date (2026 intake deadline was 20 Jan 2026, extended to 27 Jan 2026; applications now closed)",https://resound-ma.eu/ (also https://iadt.ie/courses/erasmus-mundus-joint-ma-resound/),"Best single fit in this batch: fully funded, English-taught, sound design for film/games/immersive media across 3 countries; 'computational science' is a named eligible degree so the CS background is a direct asset; portfolio (10-15 min) can showcase his productions/DJ sets; must sit IELTS/TOEFL before the ~Oct 2026 opening",Verified,"resound-ma.eu confirms program exists, 2026 applications closed, scholarship 'on the basis of excellence'. IADT official course page confirms EUR 15,000 total fee, up to 24 places/yr, merit-based Erasmus Mundus scholarships for a significant percentage of admitted candidates, degree fields incl. computational science, portfolio spec (3 works, 10-15 min), English proof required, open to non-Europeans, 20 Oct 2025 open / 27 Jan 2026 extended deadline. Detailed stipend amounts (EUR 1,400/month etc.) come from Erasmus aggregator sites, not the official page (fees/scholarships subpage returned 404) - treat as indicative Erasmus Mundus standard package."
DigiCrea - Erasmus Mundus Joint Master in Digital Creativity Art & Science (Sound-Music pathway),Universite Jean Monnet Saint-Etienne (coordinator) + Universidade Catolica Portuguesa Escola das Artes Porto + University of Silesia (Katowice/Cieszyn),Portugal (consortium; Porto semester at UCP; also France and Poland),Consortium,Sound/Music-Tech,"English (B2 minimum required, C1 recommended - certified test e.g. IELTS 6 / TOEFL iBT 90+, or degree taught entirely in English)",UNVERIFIED - not published on fetched pages; waived for Erasmus Mundus scholarship holders,Erasmus Mundus Joint Master scholarship (EU-funded; programme confirmed 'Funded by the European Union'; open to third-country nationals incl. Tunisia),Full,"Erasmus Mundus standard package (tuition waiver + monthly living allowance ~EUR 1,400 under EU rules + travel) - exact amounts not published on consortium pages fetched; confirm in the 2027-2029 call",Y,Y,Bachelor's of at least 180 ECTS; choose Sound-Music or Image pathway; portfolio of exactly 3-5 works from the past 5 years with metadata and public links (compositions/sound design accepted for Sound-Music); 2-minute video presentation; 2 recommendation letters in English; English B2+ certificate; Stage 2 = 15-minute online interview (2026 cycle: Mar 24-30),"2027-2029 cohort call expected to open November 2026 (2026-2028 call ran 14 Nov 2025 - 16 Feb 2026, now closed)",PRIOR CYCLE - confirm new date (prior cycle closed 16 Feb 2026; next call opens ~Nov 2026 for Sept 2027 start - ideal timing),https://master-digicrea.univ-st-etienne.fr/en/join-digicrea/how-to-apply.html (UCP page: https://artes.porto.ucp.pt/en/academics/all-programs/master-digicrea-erasmus-mundus),"Best fully-funded fit in this batch: dedicated Sound-Music pathway, English-taught, EU-funded scholarship open to Tunisians, and the Nov 2026 call aligns exactly with his Sept 2027 target. Action item: he must take IELTS (~6.0+) or TOEFL (90+) before the call closes, since his English is not yet certified.",Verified,"Programme, consortium (UJM + UCP Porto + Silesia), Sound-Music pathway, 180-ECTS bachelor requirement, B2/IELTS 6 English requirement, 3-5-work portfolio, video + 2 letters, interview stage, prior call dates (14 Nov 2025 - 16 Feb 2026) and next call (~Nov 2026) all confirmed on official consortium 'how to apply' page (12 Jul 2026). Scholarship amounts/number and tuition not published on fetched pages - Partial only on those two figures."
ReSound - Erasmus Mundus Joint MA in Sound Design for Media Arts,IADT Dublin + Universidade Lusofona Lisbon + Lithuanian Academy of Music and Theatre (FilmEU alliance consortium),Ireland / Portugal / Lithuania,Consortium,Sound-Design/Production,English,"EUR 15,000 total for four semesters (participation costs); waived for Erasmus Mundus scholarship holders",Erasmus Mundus scholarship (merit-based; significant share of the max 24 places funded),Full,"Fees fully waived + EUR 1,400/month scholarship contributing to travel, visa and living allowance (verified, higher than the draft's EUR 1,000 estimate)",Y (explicitly open to European AND non-European students),Y,"Bachelor in sound, music, film, media studies, COMPUTATIONAL SCIENCE or related (other fields with relevant experience considered); English proficiency via IELTS/TOEFL or equivalent - he must sit a test; motivation letter; 2 references; passport copy; max 24 places/year",Expected ~October 2026 for Sept 2027 intake (prior cycle opened 20 Oct 2025); monitor resound-ma.eu,"PRIOR CYCLE - confirm new date (2026 intake: opened 20 Oct 2025, deadline 20 Jan 2026 extended to 27 Jan 2026; site now says 'Applications for ReSound 2026 have now closed')",https://resound-ma.eu/ (also https://iadt.ie/courses/erasmus-mundus-joint-ma-resound/),"Top catch-all pick CONFIRMED: explicitly welcomes computational-science graduates (his software-engineering degree fits), full EM funding at EUR 1,400/month, pan-European sound-design network. Portfolio: max 3 examples of sound/media work, 10-15 min total, each with a short reflective paragraph - he should start assembling now. English test required before the ~Jan 2027 deadline.",Verified,"Official site fetched: consortium, 2026-cycle closure confirmed. Fees (EUR 15,000 total), stipend (EUR 1,400/month), 24 places, portfolio spec (3 works, 10-15 min), non-EU eligibility, computational-science admission route, and 20 Oct 2025 - 27 Jan 2026 prior-cycle window confirmed via official-site application info surfaced in search (resound-ma.eu/application/ direct fetch 404'd). 2027 dates not yet published."
MAGMa - Erasmus Mundus Joint Master in Managing Art and Cultural Heritage in Global Markets,Consortium of 5: University of Glasgow + ISCTE Lisboa + ULisboa Faculty of Humanities + IESA Arts & Culture Paris + Erasmus University Rotterdam,UK / Portugal / France / Netherlands,Consortium,Music-Business,English,"Self-funded international rate VERIFIED: EUR 22,224 / GBP 19,000 per year (EUR 44,448 / GBP 38,000 for 2 years); covered by scholarship for EM awardees","Erasmus Mundus scholarship (max EUR 33,600 over 2 years)",Full,"Tuition fees, travel, insurance + monthly living stipend across mobility locations for 24 months (verified on Glasgow page)",Y (Erasmus Mundus open worldwide; Glasgow page does not restrict nationality - standard EM rules apply),N,"2:1 Honours degree, preferably in a related field (art history, cultural management, economics, law...); other subjects accepted with relevant work experience - his software degree would need a work-experience/motivation case; English test if not first language",Expected ~October 2026 for 2027 intake (prior cycle opened 1 Oct 2025),"PRIOR CYCLE - confirm new date (2026 intake: EM scholarship deadline 19 Jan 2026 - closed; self-funded international deadline late July 2026 technically still open as of today, but only as a full self-pay at EUR 22,224/yr, not recommended)",https://www.gla.ac.uk/postgraduate/erasmusmundus/magma/,"Track-2 option: creative-economy/arts-market management with full EM funding; not music-specific, and his software background is outside the 'preferred' fields - admission plausible but less certain than draft implied; consortium corrected to 5 institutions with Glasgow as full partner",Verified,"Glasgow official page fetched: 5-partner consortium (draft's 'Glasgow seasonal school only' framing corrected), EUR 33,600 max scholarship, self-funded rate EUR 22,224/yr (draft had UNVERIFIED - now filled), 2:1 requirement, prior-cycle dates (open 1 Oct 2025, EM deadline 19 Jan 2026, self-funded intl late July 2026). Explicit Tunisian/non-EU statement not on page; standard EM worldwide eligibility assumed."
Advanced Diploma in Music Production & Sound Engineering (1-year intensive; NOT a master's) - Abbey Road Studios Diversity Scholarship,Abbey Road Institute London / Abbey Road Studios,United Kingdom,Private,Sound-Design/Production,English,N/A for candidate (scholarship closed to non-UK passport holders); course fee if self-funding not published on scholarship page,,Full,Full course fees plus a contribution towards living expenses; option to progress to a year-long work placement at Abbey Road Studios,N,Y (2-3 minute video scholarship statement),"Must hold a UK passport; aged 18-25; from a group underrepresented in audio (Black/Asian/minority-ethnic backgrounds, women, low-income households); demonstrated financial need; meet Advanced Diploma entry requirements; 2-3 minute video scholarship statement",Check (2027 edition not yet announced),"Friday 13 March (2026 cycle, course start 25 May 2026 - closed) - PRIOR CYCLE - confirm new date",https://abbeyroadinstitute.co.uk/abbey-road-studios-diversity-scholarship-programme/,"NOT VIABLE for this candidate: official page explicitly requires a UK passport, so a Tunisian national is ineligible regardless of ethnicity/income criteria. Remove from shortlist unless candidate gains UK citizenship.",Verified,"Official page fetched 12 Jul 2026. CORRECTION to prior research: eligibility explicitly requires a UK passport and age 18-25 - international/Tunisian applicants are NOT eligible. Coverage (full fees + living contribution + optional Abbey Road placement) and underrepresented-group criteria confirmed. 2026 deadline 13 March, start 25 May 2026; 2027 edition not yet announced."
"Any UM master's, e.g. MSc International Business - paired with the UM NL-High Potential Scholarship",Maastricht University (School of Business and Economics),Netherlands,Public,General-Business/MBA,English,Varies by UM master's (UNVERIFIED per program); covered in full if scholarship won,UM NL-High Potential Scholarship - 21 full scholarships/year for non-EU students (confirmed),Full,"Tuition fee waiver + monthly living stipend + insurance + visa costs (exact stipend figures EUR 15,925/13 months and EUR 30,625/25 months are prior-cycle numbers - reconfirm for 2027-28)",Y,N,Non-EU/EEA/Swiss/Surinamese nationality (Tunisia qualifies); GPA >= 7.5/10 on latest transcript; not older than 35 on 1 Sept of intake year; no prior degree-seeking higher education in NL; must first be admitted to a UM master's; English test required by the chosen program,"1 Oct 2026 (for 2027-28, per UM guidance)","PRIOR CYCLE - confirm new date (2026 intake: UM admission application by 8 Dec 2025, scholarship application by 1 Feb 2026 23:59 CET; expect similar very-early dates for the 2027 intake, i.e. ~Dec 2026 / Feb 2027)",https://www.maastrichtuniversity.nl/studeren/toelating-inschrijving/financing-your-studies/scholarships/maastricht-university-nl-high,"No music program at UM - relevant only as the strongest fully-funded generic route in NL for the business fallback track; deadlines fall unusually early (admission ~early Dec, scholarship ~1 Feb before the Sept intake), so for Sept 2027 the candidate must apply in late 2026",Partial,"The UM scholarship URL rendered only site navigation via WebFetch, so details were cross-checked via search results referencing UM's page: 21 full scholarships, non-EU only, GPA 7.5/10, age <=35 on 1 Sept, no prior Dutch degree, 8 Dec 2025 / 1 Feb 2026 prior-cycle deadlines, and 2027-28 applications opening 1 Oct 2026 all corroborated. Exact stipend amounts and 2027-28 deadlines not confirmed on the official page directly - reconfirm on maastrichtuniversity.nl after 1 Oct 2026."
"Advanced Diploma in Music Production & Sound Engineering - Sontronics Scholarship (industry-sponsored, full tuition)",Abbey Road Institute London (sponsor: Sontronics microphones),United Kingdom,Private,Sound-Design/Production,English,N/A when awarded (tuition fully covered),,Full,Full tuition funded by Sontronics + bespoke package of Sontronics microphones and accessories + mentorship; NO living stipend - living costs and visa are the student's responsibility,Y,Y (video pitch per 2025 round),Age 18-25 at enrolment; meet Abbey Road Institute Advanced Diploma entry standards; motivation video; interview stage (per 2025 round coverage),Check (2025 round launched April 2025; watch sontronics.com and abbeyroadinstitute.co.uk for a 2026/27 edition),"Friday 13 June 2025 (2025 round, closed) - PRIOR CYCLE - confirm new date",https://sontronics.com/pages/sontronics-scholarship-at-abbey-road-institute-2025,"Confirmed open to UK AND international applicants (unlike the Diversity Scholarship) - a Tunisian 18-25-year-old fresh graduate fits if a new round runs; visa and living costs remain self-funded; diploma-level, not a master's, but elite Abbey Road production network",Partial,"Official Sontronics page returned HTTP 429 twice on 12 Jul 2026; details cross-checked via Sound On Sound, Music Industries Association and Sound Without Sight coverage of the 2025 round: full tuition + gear package, ages 18-25, open to UK and international applicants, deadline 13 June 2025 (closed). No 2026/27 round announced yet - monitor both sites. Exact video/interview mechanics from secondary sources, not re-verified on sponsor page."
ReSound — Erasmus Mundus Joint Master of Arts in Sound Design for Media Arts,"IADT Dún Laoghaire (coordinator), Universidade Lusófona, Lithuanian Academy of Music and Theatre (LMTA)","Ireland, Portugal, Lithuania",Consortium,Sound-Design/Production,English,"EUR 15,000 total for 4 semesters (EUR 7,500/year) if self-paying; waived for scholarship holders",Erasmus Mundus Joint Master (EMJM) scholarship,Full,"Tuition/participation costs waived + EUR 1,400/month living allowance; contributes to travel, visa and installation. Significant share of the 24 places funded.",Y,Y,"Bachelor in sound, music, film or media (other fields with relevant experience considered); English IELTS 6.0 (no band <6.0) or equivalent TOEFL/Cambridge within 2 years; portfolio of max 3 works (10-15 min) with reflective notes.",Prior cycle opened 20 Oct 2025 (for Sept 2026 intake); Sept 2027 open date UNVERIFIED,27 Jan 2026 (Sept 2026 intake) — PRIOR CYCLE - confirm new date for Sept 2027,https://resound-ma.eu/application/,"Best-fit primary track: builds real sound design, production and composition skills across film/games/immersive; portfolio-driven and arts-leaning rather than DSP-heavy, but CS background is an asset.",Unverified,verification agent returned nothing
"DIGICREA — Erasmus Mundus Joint Master in Digital Creativity, Art & Science","Jean Monnet University Saint-Étienne (coordinator), Universidade Católica Portuguesa, University of Silesia in Katowice","France, Portugal, Poland",Consortium,Sound/Music-Tech,English,UNVERIFIED,Erasmus Mundus Joint Master (EMJM) scholarship,Full,"EUR 1,400/month for the full programme for ~75% of admitted students; participation costs covered for scholarship holders (exact travel/installation split UNVERIFIED)",Y,Y,Bachelor (180 ECTS) in a relevant field; certified English C1 (e.g. IELTS 6 / TOEFL iBT 90); portfolio of artistic/professional works in new technologies; 2 recommendation letters + motivation letter.,2026 call open (per program site); exact date UNVERIFIED,2025 intake closed 15 Feb 2025 — PRIOR CYCLE - confirm new date (2026/2027 deadline not yet confirmed on official page),https://master-digicrea.univ-st-etienne.fr/en/join-digicrea/how-to-apply.html,"Strong fit: explicitly covers sound, music, audio-visual new media, AI and XR at the art/tech/science intersection — leverages the CS/software background while building creative production skills.",Unverified,verification agent returned nothing
REPLAY (RE_PLAY) — Erasmus Mundus Joint Master in Games / Creative Game Design,"Universidade Lusófona (coordinator), LUCA School of Arts, Aalto University","Portugal, Belgium, Finland",Consortium,Sound-Design/Production,English,UNVERIFIED,Erasmus Mundus Joint Master (EMJM) scholarship,Full,"EUR 1,400/month stipend + travel + insurance; academic/participation fees covered for scholarship holders",Y,Y,"Bachelor (EQF6/NFQ8) in game design, arts, CS or related (professional-experience exceptions); IELTS 6.0 / TOEFL 80 or equivalent unless prior degree was in English; showreel/portfolio + project post-mortems required.",Prior cycle opened Oct 2025 (2026-28 cohort); Sept 2027 open date UNVERIFIED,Mid-January 2026 (2026-28 cohort) — PRIOR CYCLE - confirm new date,https://erasmusscholarships.com/re-play-erasmus-mundus-program/,"Adjacent fit: game design more than music, but strong route into game-audio/interactive sound and directly rewards the software background; less direct for a DJ/producer goal.",Unverified,verification agent returned nothing
