source_file,program,institution,city,degree,inst_type,track,language,tuition,scholarship,url
master-all.json,"DAAD Study Scholarship — Postgraduate Studies in the Fields of FINE ART, DESIGN, VISUAL COMMUNICATION and FILM","Any German art school, design school or film school (Kunsthochschule / Filmhochschule / HfG) — the applicant …",Applicant's choice of German city,"Master's or postgraduate degree in fine art, design, visual communication or film (also non-degree complementary studies)","Funding scheme routed to art schools, design schools and film schools",Sound design / production,"German, English or both, depending on the host school; language certificates may not be older than three years",Free,"Yes for Tunisian nationals in principle — DAAD supports Tunisia and runs the Tunis regional office. CAUTION: the country dropdown on this specific database entry did not visibly list Tunisia when checked, and the page warns ""If your status and/or country is not included in the list, you cannot apply for this scholarship programme."" VERIFY Tunisia's inclusion on THIS line directly with DAAD Tunis before building a plan around it.",https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=57135742
master-all.json,Medienkunst/Mediengestaltung (Media Art and Design) – M.F.A.,"Bauhaus-Universität Weimar, Faculty of Art and Design",Weimar,M.F.A. (Master of Fine Arts),Public art and design university,Acoustics / audio engineering,"AMBIGUOUS AND UNRESOLVED — treat as a red flag. The programme page describes an English-language curriculum (fully English only in Interface Design; ""other chairs offer partial English-language course programmes"") and states German A2 plus English C1 (""TOEFL min. 95 points or IELTS min. grade 7.0""). The Faculty of Art and Design's own application page, however, states that international applicants must demonstrate German at C1 level, accepting ""DSH-2 or TestDaF TDN 4"", with proof that the level will be reached by matriculation at the latest. These two official pages contradict each other and the difference is decisive for him.",Free,"DAAD Study Scholarships (the artists/designers strand for Fine Art, Design, Film, plus the all-disciplines strand); Deutschlandstipendium. Tunisia is a DAAD partner country. No programme-specific scholarship is published.",https://www.uni-weimar.de/en/art-and-design/studies/media-art-and-design/medienkunstmediengestaltung-mfa/media-art-and-design-mfa/
master-all.json,M.Sc. Communications and Multimedia Engineering (CME),FAU Erlangen-Nürnberg,,Master's degree,Public,Acoustics/Audio-Eng,English (no German required for admission),Free,DAAD Study Scholarship / Deutschlandstipendium (external - Check),https://www.cme.studium.fau.de/prospective-students/application-process/
master-all.json,Sound - Vision (Time-Dependent Media) (M.A.),Hochschule für Angewandte Wissenschaften Hamburg (HAW Hamburg),,Master's degree,Public,Sound-Design/Production,German C1 required + English B1 (confirmed),Free,None,https://www.haw-hamburg.de/en/master-sound-vision/
master-all.json,Multimedia Composition (Multimediale Komposition) – Master,Hochschule für Musik und Theater Hamburg (HfMT Hamburg),Hamburg,Master of Arts (M.A.) — confirmed: 'the two-year programme leads to a Master of Arts (M.A.) degree',Public conservatory / Musikhochschule,Acoustics / audio engineering,"MIXED, and this is the key correction. The entrance examination is 'in English' and the taught content is English-friendly (staff and course titles are in English). BUT the official HfMT application page states German B2 is an access requirement: 'Studienbewerber:innen, die ihr Abitur nicht in Deutschland gemacht haben, müssen daher als Zugangsvoraussetzung zu einem Bachelor- oder Masterstudiengang zusätzlich zum Nachweis einer künstlerisch-wissenschaftlichen Befähigung gute Kenntnisse der deutschen Sprache auf dem Niveau B2 des Gemeinsamen Europäischen Referenzrahmens nachweisen.' So: exam in English, admission requires certified German B2. Confirm with the Fachbüro whether Multimedia Composition has an exemption.",Free,DAAD 'Study Scholarships – Master Studies for Artists and Architects' (music) or the all-disciplines master scheme; Tunisia is DAAD-eligible. HfMT Hamburg lists 'Fördermöglichkeiten' but no named scholarship for a first-year non-EU student was confirmed — UNVERIFIED.,https://www.hfmt-hamburg.de/en/musik/multimedia-composition
master-all.json,Multimediale Komposition / Multimedia Composition,Hochschule für Musik und Theater Hamburg (HfMT Hamburg),Hamburg,Master's degree,Public,Acoustics / audio engineering,English — 'The lectures and other teaching formats are taught almost exclusively in English'; entrance exam conducted in English,Free,DAAD Study Scholarships for Graduates in the Field of Music,https://www.hfmt-hamburg.de/en/musik/multimedia-composition
master-all.json,Audio Communication and Technology (M.Sc.),Technische Universität Berlin (TU Berlin),,Master's degree,Public,Sound/Music-Tech,German C1 required for admission + English B2 (some literature/classes in English) — both confirmed,Free,None,https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/audio-communication-and-technology-m-sc
master-all.json,M.Sc. Communications and Signal Processing,Technische Universität Ilmenau,,Master's degree,Public,Acoustics/Audio-Eng,English (confirmed on official page),Free,Deutschlandstipendium - Check; DAAD Study Scholarships - Check (neither mentioned on program page),https://www.tu-ilmenau.de/en/study/before-the-study/range-of-courses/master/communications-and-signal-processing-msc
master-all.json,"M.Sc. Research in Media Engineering (120 ECTS, 4 semesters)",Technische Universität Ilmenau,,Master's degree,Public,Sound/Music-Tech,Bilingual German/English (can be completed in English); English C1 required (TOEFL iBT 95 / IELTS 7.0 per DAAD/aggregator listing - confirm),Free,DAAD Study Scholarship / Deutschlandstipendium (external - Check),https://www.tu-ilmenau.de/en/study/before-the-study/range-of-courses/master/research-in-media-engineering-msc
master-all.json,Medieningenieurwissenschaften (M.Sc.) — Media Engineering Science (successor title of the former M.Sc. Medientechnologie),Technische Universität Ilmenau,Ilmenau,Master's degree,"Technische Universität (state technical university), Free State of Thuringia",Acoustics / audio engineering,"German AND English — the official programme page states the degree can be completed bilingually (Deutsch/Englisch). Many audio/media modules are taught in English, but a German-free path is NOT guaranteed.",Free,None,https://www.tu-ilmenau.de/studium/vor-dem-studium/studienangebot/masterstudiengaenge/medieningenieurwissenschaften-m-sc
