source_file,program,institution,city,degree,inst_type,track,language,tuition,scholarship,url
master-all.json,MA in Global Entertainment and Music Business (GEMB),Berklee College of Music - Valencia Campus,,Master's degree,Private,Music-Business,"English (all classes taught in English, confirmed on program page)",Under EUR 1.5k/yr,Berklee Valencia merit- and need-based graduate scholarships ($1.5 million pool campus-wide); incl. Berklee Outstanding…,https://valencia.berklee.edu/graduate-programs/gemb/global-entertainment-and-music-business
master-all.json,Master's Degree in Film Scoring and Music for Audiovisual Media (titulo propio),"ESMUC - Escola Superior de Musica de Catalunya, Barcelona",,Not a degree,Conservatory,Sound-Design/Production,Spanish and English,Under EUR 1.5k/yr,None,https://www.esmuc.cat/en/studies/masters-i-postgraus/master-propi-de-composicio-de-bandes-sonores-i-musica-per-a-mitjans-audiovisuals/
master-all.json,Màster propi en Composició de Bandes Sonores i Música per a Mitjans Audiovisuals (Master in Film Scoring and Music for Audiovisual Media),ESMUC — Escola Superior de Música de Catalunya,Barcelona,"Máster propio (institution's own master's title), 60 ECTS",Public conservatory / higher music school,Sound design / production,Spanish and English,Under EUR 1.5k/yr,None found,https://www.esmuc.cat/en/master-propi-de-composicio-de-bandes-sonores-i-musica-per-a-mitjans-audiovisuals/
master-all.json,"1-Week and 2-Week DJ/Producer courses (Ibiza) — NOT A MASTER, short intensive course",Point Blank Music School (Ibiza campus),"Ibiza (Eivissa), Balearic Islands",Not a degree,International chain — UK private music school (London/Los Angeles/Ibiza) operating a seasonal Spanish campus,Sound design / production,English,Under EUR 1.5k/yr,Not stated,https://www.pointblankmusicschool.com/locations/ibiza/
master-all.json,"1-Week and 2-Week DJ/Producer courses, and 1-Week DJ Skills (Ibiza) — NOT A MASTER, short intensive summer courses","Point Blank Music School (Ibiza campus, operated by pointblank Limited, a company registered in England)","Ibiza (Eivissa), Balearic Islands",Not a degree,"International chain — UK private music school (London / Los Angeles / Online / Ibiza) running a seasonal summer campus in Ibiza. The contracting entity is pointblank Limited, registered in England, trading address 23-28 Penn St, London N1 5DL.",Sound design / production,English,Under EUR 1.5k/yr,Partial,https://www.pointblankmusicschool.com/locations/ibiza/
master-all.json,"Erasmus Mundus Joint Master in Waves, Acoustics, Vibrations, Engineering and Sound (WAVES)",Universitat Politecnica de Valencia (Gandia campus) with Aix-Marseille Universite / Ecole Centrale Marseille …,,Master's degree,Consortium,Acoustics/Audio-Eng,English,Under EUR 1.5k/yr,Erasmus Mundus Joint Master scholarship,https://www.upv.es/estudios/master/muemwaves/en/home/
master-all.json,Màster Universitari en Tecnologies del So i de la Música / Master in Sound and Music Computing (SMC),"Universitat Pompeu Fabra (UPF) — Department of Engineering, linked to the Music Technology Group","Barcelona (Tànger building, Poblenou campus)",Official Máster Universitario (MSc),Public university,Acoustics / audio engineering,English (verified on the official Overview page). All complementary undergraduate courses are also taught in English.,Under EUR 1.5k/yr,"None found for a non-EU Tunisian. The SMC scholarships page simply redirects to UPF's general master's grants list, on which every item is a Spanish/Catalan state or regional grant with residency conditions (AGAUR general grant, EQUITAT, Basque Government, UPF community hardship aid), a Santander programme tied to enrolment at a Spanish university, or nationality-restricted — Fundación Carolina, the most visible option, is for IBERO-AMERICAN graduates only and therefore excludes Tunisia. What the MTG does offer, after enrolment, is paid research assistantships on specific projects plus partner-company internships (see the SMC internships page) — a partial offset, not entry funding.",https://www.upf.edu/web/smc/overview
master-all.json,Master Universitario en Gestion Cultural (official),Universitat de Barcelona,,Master's degree,Public,Music-Business,Catalan 78% / Spanish 12% / English 10%,Under EUR 1.5k/yr,None,https://www.ub.edu/cultural/master-universitari-en-gestio-cultural/?lang=en
master-all.json,Máster en Producción Musical Discográfica e Ingeniería de Sonido — Oficial de AVID (MPD),CICE — La Escuela Profesional de Nuevas Tecnologías,Madrid,Not a degree,"Private technology and creative-industries training school; authorised vendor-certification centre (Avid, Waves)",Music business,"Spanish, with 'elementary English competency' listed as an entry requirement.",EUR 1.5k-5k/yr,Not stated,https://www.emagister.com/master-produccion-musical-discografica-e-ingenieria-sonido-oficial-avid-mpd-cursos-3343800.htm
master-all.json,"BDMA — Big Data Management and Analytics (Erasmus Mundus Joint Master, 120 ECTS)","Consortium: Université Libre de Bruxelles (coordinator), Universitat Politècnica de Catalunya, TU Eindhoven, …",,Master's degree,Consortium (public universities),Computing/Data-AI (CS-leverage),English,EUR 5k-15k/yr,Erasmus Mundus Joint Masters Scholarship (Erasmus+),https://bdma.ulb.ac.be/ (fees/scholarships: https://bdma.ulb.ac.be/home/students/tuition-fees-scholarships/; admission: https://bdma.ulb.ac.be/home/admission/)
