id,path_letter,program_name,degree_awarded,institution,institution_type,city,country,mobility,language_of_instruction,english_level_required,duration_months,ects,tuition_non_eu_eur_per_year,tuition_notes,intake_2027_confirmed,application_opens,application_deadline,deadline_source_cycle,entry_requirements_summary,accepts_engineering_bachelor,portfolio_or_audition_required,scholarship_available,scholarship_names,scholarship_coverage_level,tunisia_eligible,program_url,admissions_url,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,fit_notes
A-001,A,"M.A. Musik, Sound, Performance (joint FU Berlin / HU Berlin)",Master of Arts (MA),Freie Universität Berlin (Institut für Theaterwissenschaft) with Humboldt-Universität zu Berlin (Institut für Musikwissenschaft und Medienwissenschaft),Public university,Berlin,Germany,single_site,German,TBC,TBC,TBC,0,"German public universities - no tuition, Semesterbeitrag only. Amount not confirmed on an official page this session.",TBC,TBC,TBC,TBC,"A professionally qualifying German or equivalent foreign university degree with at least 20 credit points earned in courses with musicological content, or equivalent. International applicants must evidence German proficiency.",no,TBC,TBC,TBC,TBC,TBC,https://www.fu-berlin.de/studium/studienangebot/master/musik_-sound_-performance/index.html,https://www.hu-berlin.de/de/studium/bewerbung,TBC,https://www.musikundmedien.hu-berlin.de/de/musikwissenschaft/ma-studiengang-musik-sound-performance|https://www.fu-berlin.de/studium/studienangebot/master/musik_-sound_-performance/index.html,UNVERIFIED,W1-A,2026-08-22,"No FU/HU page was opened this session (search budget exhausted) - all content derives from search extracts. ELIGIBILITY BLOCKER: at least 20 credit points of musicological coursework required, which a software-engineering diploma does not provide. German-taught. Content is musicology/theatre/performance studies, not audio computing.","Included only to close the Humboldt/Berlin coverage question. It is not a sound-and-music-computing programme and the client is almost certainly ineligible. HU's Institut für Musikwissenschaft und Medienwissenschaft does host systematic musicology and media-technology research, so a follow-up should check the separate MA Medienwissenschaft for computational/audio content."
A-002,A,"Tonmeister*in, Master of Arts (Sound Engineering)",Master of Arts (MA),"Universität der Künste Berlin (UdK), technical-scientific part taught at TU Berlin",Public art university,Berlin,Germany,single_site,German (C1; B2 also accepted),TBC,12,60,0,Public art university - no tuition stated; a 50.00 EUR application fee applies (plus international transfer costs). Semester fee amount TBC.,TBC,15 March (winter semester) / 15 October (summer semester),Winter semester: 15 April; Summer semester: 15 November,TBC - dates given without a year,"Bachelor's degree or diploma in Sound Engineering (Tonmeister) from UdK Berlin or an equivalent programme elsewhere, plus demonstrated artistic talent. Portfolio of at least five audio/video productions uploaded to Bemus, including at least one classical and one popular-music production. Entrance examination with a mixing task and an oral examination.",no,yes,TBC,TBC,TBC,TBC,https://www.udk-berlin.de/en/courses/sound-engineering/,https://www.udk-berlin.de/en/application/applicationguide/sound-engineering-master/,TBC,https://www.udk-berlin.de/en/application/applicationguide/sound-engineering-master/|https://www.udk-berlin.de/tonmeister/studium/|https://www.tu.berlin/en/ak/study-and-teaching/degree-programs/tonmeister,VERIFIED,W1-A,2026-08-22,"ELIGIBILITY BLOCKER: admission requires a bachelor/diploma specifically in Sound Engineering (Tonmeister) or an equivalent programme - a software-engineering diploma does not qualify. German C1. Portfolio of five professional productions plus a live mixing entrance exam. Logged for completeness, not as a realistic target.","Berlin's flagship recording-arts master, taught jointly with TU Berlin's audio engineering courses, tuition-free. Excellent subject fit in principle but effectively closed to anyone without a Tonmeister bachelor. Only 2 semesters/60 ECTS."
A-003,A,Master's Programme in Live Electronics,Master of Music (MMus),"Conservatorium van Amsterdam (Amsterdam University of the Arts, AHK)",Conservatory (university of applied sciences),Amsterdam,Netherlands,single_site,English,TBC,24,120,8250,"AHK 2026-27 institutional fee for non-EU/EEA Master Music: 8,250 EUR/yr. Statutory EU/EEA fee 2,694 EUR/yr.",TBC,TBC,TBC - closing-dates page not opened,TBC,"Instrumental bachelor's degree or equivalent; applicants from other musical backgrounds may qualify if they show music-theory proficiency and sufficient performance skills. Required kit: recent MacBook Pro, Max and Ableton Live, professional audio/MIDI interface, microphones and cabling. Admission: audio/video recordings of a live electronic music performance plus motivation letter, then a live electronic performance of up to 10 minutes and a ~10-minute interview (online auditions available for non-EU candidates).",unclear,yes,TBC,CvA scholarships (page not opened),TBC,TBC,https://www.conservatoriumvanamsterdam.nl/en/study/focus-masters/live-electronics/,https://www.conservatoriumvanamsterdam.nl/en/application-and-admission/,https://www.ahk.nl/en/facilities/student-affairs/financial-matters/tuition-fees/,https://www.conservatoriumvanamsterdam.nl/en/study/focus-masters/live-electronics/|https://www.ahk.nl/en/facilities/student-affairs/financial-matters/tuition-fees/,VERIFIED,W1-A,2026-08-22,Requires an instrumental bachelor's degree or equivalent plus a live performance audition - the hardest eligibility bar of the NL rows for a non-musician engineer. Significant equipment cost expected before enrolment. Deadlines not confirmed.,"Max/MSP and Ableton Live are the working tools, and online auditions are explicitly offered to non-EU candidates. Directly relevant to a DJ/producer who codes, but the performance audition and the instrumental-bachelor expectation make it a stretch. FLAGGED, not excluded, per the portfolio rule."
A-004,A,MA Music Studies (Arts and Culture) - Cognitive and Computational Musicology track,Master of Arts (MA),University of Amsterdam (UvA) - Music Cognition Group / ILLC,Public university,Amsterdam,Netherlands,single_site,English,TBC,12,60,TBC,UvA institutional fee for non-EEA MA students not opened this session.,TBC,TBC,TBC,TBC,"Not published on the track page opened; the parent Music Studies programme sets the entry rules. Track core module 'How Music Works: Computational and Cognitive Perspectives'; electives in music cognition and computation, logic and computation, higher cognitive functions, many delivered through the Institute for Logic, Language and Computation.",unclear,no,TBC,TBC,TBC,TBC,https://www.uva.nl/en/programmes/masters/music-studies-arts-and-culture/study-programme/cognitive-musicology/cognitive-musicology.html,https://www.uva.nl/en/programmes/masters/music-studies-arts-and-culture/music-studies.html,TBC,https://www.uva.nl/en/programmes/masters/music-studies-arts-and-culture/study-programme/cognitive-musicology/cognitive-musicology.html|https://mcg.uva.nl,PARTIALLY_VERIFIED,W1-A,2026-08-22,"Entry requirements, tuition and deadlines were NOT confirmed - only the track content page was opened. A humanities MA housed in Arts and Culture: the admissions committee may require a musicology or cognitive-science background rather than engineering. No portfolio required, but also no studio/production content.","Research-side Path A: music cognition and computational modelling with Henkjan Honing's Music Cognition Group, taught partly through the ILLC. Amsterdam, English, 60 ECTS in one year. Strong if the client wants a research/PhD trajectory in machine listening; weak if he wants studio and DSP engineering. Verify whether an engineering diploma satisfies entry."
A-005,A,"Master of Music in Music Production, Technology, and Innovation (MPTI)",Master of Music (MM) - US Berklee degree,Berklee College of Music - Valencia Campus,Private international music college (US),Valencia,Spain,single_site,English,TBC,12,TBC,TBC,"Tuition not published on the programme page opened. 32-38 US credits, not ECTS. Berklee Valencia allocates >125,000 EUR in scholarships across its 2026-27 master intake.",TBC,TBC,10 March (programme application); 1 April (scholarship materials) - 2026 dates,2026 cycle - 2027 TBC,"Excellent musicality, facility with technology, prior artistic and academic success, strong work ethic and prior accomplishment. Three consecutive semesters (fall, spring, summer).",unclear,yes,yes,"Berklee Valencia graduate scholarships (>125,000 EUR pool for 2026-27); Berklee Outstanding Women Scholarship (up to 70% of tuition)",partial,TBC,https://valencia.berklee.edu/graduate-programs/mpti/music-production-technology-and-innovation,https://valencia.berklee.edu/graduate-admissions/application-deadlines,https://valencia.berklee.edu/scholarships-financial-aid/scholarships-for-graduate-programs,https://valencia.berklee.edu/graduate-programs/mpti/music-production-technology-and-innovation|https://valencia.berklee.edu/graduate-admissions/how-to-apply|https://valencia.berklee.edu/scholarships-financial-aid/scholarships-for-graduate-programs,PARTIALLY_VERIFIED,W1-A,2026-08-22,"The award is a US Berklee degree, NOT a Spanish título oficial - check recognition for the Tunisian student visa and for any European doctoral progression. Tuition is US-private-college level and was not published on the page opened; the scholarship pool is small relative to a cohort. Deadlines cited are 2026-cycle and came partly from search extracts. Musicianship-gated.","The most production-and-innovation-flavoured technology master in Spain, English-taught, in a priority-2 city, and explicitly built around music technology entrepreneurship. Sits at the boundary of Path A and a production path. Client's technical strength fits 'facility with technology'; the audition/musicality bar is the risk."
A-006,A,Máster en Enseñanzas Artísticas de Nuevas Tecnologías de la Música Actual: Creación e Interpretación,"Máster en Enseñanzas Artísticas (official artistic master, 60 ECTS)",Real Conservatorio Superior de Música de Madrid (RCSMM),Public conservatory,Madrid,Spain,single_site,Spanish,TBC,12,60,TBC,Not published on the page opened.,TBC,TBC,Tribunal dates published for the 2026-27 intake; specific dates not extracted,2026 cycle - 2027 TBC,"Graduates of superior artistic education in Composition or Performance, or university graduates with equivalent music degrees (Spanish or international). Structure: 16 general + 20 creative + 12 complementary + 12 TFM ECTS.",no,yes,TBC,TBC,TBC,TBC,https://rcsmm.eu/masteres/master-nuevas-tecnologias-musica-actual-creacion-e-interpretacion/,https://rcsmm.eu/masteres/master-nuevas-tecnologias-musica-actual-creacion-e-interpretacion/,TBC,https://rcsmm.eu/masteres/master-nuevas-tecnologias-musica-actual-creacion-e-interpretacion/,VERIFIED,W1-A,2026-08-22,"Entry is restricted to holders of a music degree (Composition or Performance) - the client has no music degree, so eligibility is the binding constraint, not credentials. Admission requires three original compositions OR a 20-minute contemporary performance, plus interview. Spanish-taught.","Accredited by Fundación madri+d, an official enseñanzas artísticas master. Content is new technologies in current music - creation and performance, which is on-path, but the eligibility wall makes it a low-probability target. Logged for completeness."
A-007,A,Máster Universitario en Ingeniería Acústica (interuniversitario UGR-UCA),Máster Universitario oficial (MSc),Universidad de Granada + Universidad de Cádiz (interuniversity),Public university,Granada (with Cádiz specialities),Spain,single_site,Spanish,TBC,12,60,TBC,"Andalusian public per-credit rate, not published on the page opened.",TBC,TBC,"Set by the Distrito Único Andaluz, not by the university - dates not on the page opened",TBC,"Graduates in Engineering, Architecture or Sciences (Mathematics, Physics, etc.); other profiles assessed by the Academic Commission.",yes_explicit,no,TBC,TBC,TBC,TBC,https://masteres.ugr.es/acustica/,https://escuelaposgrado.ugr.es,https://escuelaposgrado.ugr.es,https://masteres.ugr.es/acustica/informacion/presentacion|https://masteres.ugr.es/acustica/,PARTIALLY_VERIFIED,W1-A,2026-08-22,Spanish-taught. Deadlines are controlled by the Distrito Único Andaluz and were not confirmed. Granada/Cádiz are outside the client's priority cities. Structure is 20+20+15+5 ECTS with a 15-ECTS practicum.,"Entry text explicitly names Engineering degrees - the clearest yes_explicit on the Spanish acoustics cluster for a 300-ECTS engineering diploma. Andalusian public fees are among the lowest in Spain, which matters under the FUNDING-FIRST strategy. Content is acoustics engineering, not music computing."
A-008,A,Máster Universitario en Ingeniería Acústica,Máster Universitario oficial (MSc),Universidad de Málaga (UMA) - E.T.S.I. Telecomunicación,Public university,Málaga,Spain,single_site,Spanish,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Governed by the Distrito Único Andaluz,TBC,Holders of Spanish Graduado/Licenciado/Ingeniero/Arquitecto/Diplomado/Ingeniero Técnico/Arquitecto Técnico/Maestro titles; foreign equivalents assessed. Semi-presencial (blended) project-based delivery.,likely,no,TBC,TBC,TBC,TBC,https://www.uma.es/master-en-ingenieria-acustica/,https://www.uma.es/cms/base/ver/section/document/70248/preinscripcion-y-matricula-ing-acustica/,TBC,https://www.uma.es/master-en-ingenieria-acustica/|https://www.uma.es/master-universitario-en-ingenieria-acustica,UNVERIFIED,W1-A,2026-08-22,"No uma.es page was opened this session (web-search budget exhausted before the fetch). All content above derives from search-engine extracts of official UMA pages and must be re-verified. Spanish-taught, semi-presencial - blended delivery can conflict with Spanish student-visa full-time requirements for non-EU nationals.","Running as an official master since 2008/09; electives include Audio, Music, Processing and Mastering - the most music-facing of the Spanish acoustics masters. Málaga is outside the priority cities but has low living costs."
A-009,A,MULTICOM - Data Science of Human Multimodal Communication (Erasmus Mundus Joint Master),"Erasmus Mundus Joint Master (multiple national degrees), 120 ECTS",Consortium coordinated by Universidad de Murcia (with Lund University and other partners),Public university consortium,Murcia (+ rotating partners),Spain (+ EU partners),rotating,English,TBC,24,120,TBC,TBC,TBC,TBC,TBC,TBC,TBC - multicom-em.eu was not opened this session.,unclear,no,yes,Erasmus Mundus Joint Masters scholarship (EACEA),full+stipend,TBC,https://multicom-em.eu/,https://multicom-em.eu/,https://multicom-em.eu/costs-and-financial-aid/,https://multicom-em.eu/|https://multicom-em.eu/costs-and-financial-aid/,UNVERIFIED,W1-A,2026-08-22,"Carried over from the prior lead sweep and NOT opened this session (search budget exhausted). Scholarship coverage level is the generic EMJM model, not confirmed for this consortium. Fit to Path A (speech/audio vs. general multimodal data science) is unconfirmed.",Data science of speech and multimodal (audio-visual) communication with a Spanish coordinating university and Erasmus Mundus funding - the funding model matches the FUNDING-FIRST strategy exactly. Verify whether the curriculum carries real audio/speech signal processing before ranking it.
A-010,"A,C",Creative Intelligence & Technology (MSc) - formerly Media Technology,MSc,Leiden University - Leiden Institute of Advanced Computer Science (LIACS),public university,Leiden,Netherlands,single_site,English,TBC,24,120,TBC,Not published on the page opened.,TBC,TBC,TBC - programme has September and February start dates,TBC,"Not detailed on the page opened; the programme is built around self-defined research producing scientific papers, interactive installations, designs and computer programmes. Contact crit@liacs.leidenuniv.nl.",unclear,no,TBC,TBC,none_found,TBC,https://www.universiteitleiden.nl/en/education/study-programmes/master/media-technology,https://www.universiteitleiden.nl/en/education/study-programmes/master/media-technology,TBC,https://www.universiteitleiden.nl/en/education/study-programmes/master/media-technology|https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence-and-technology,DEAD_LINK,W1-C,2026-08-22,"NO named audio or music research group verified; sound and music are not mentioned on the programme page. Fees, ECTS and deadlines not published on the page opened. Prior-sweep leads associate it with the Academy of Creative and Performing Arts and sound/installation work, but that association is UNVERIFIED. || HTTP 404. Programme name changed from MSc Media Technology; the current URL was not located before the search budget ran out. || MERGE: path agents disagreed on verification status (DEAD_LINK, PARTIALLY_VERIFIED) - Wave 3 to adjudicate","PATH C(b), weak-to-moderate: a LIACS computer-science research master where students define their own project, which in principle allows a self-directed music-AI thesis - the format suits an engineer with a music practice. Logged for completeness per the brief's 'missing a legitimate programme is worse than logging a mediocre one' rule; rank below UvA, Utrecht and Delft until an audio/music supervisor is verified."
