id,path_letter,program_name,degree_awarded,institution,institution_type,city,country,mobility,language_of_instruction,english_level_required,duration_months,ects,tuition_non_eu_eur_per_year,tuition_notes,intake_2027_confirmed,application_opens,application_deadline,deadline_source_cycle,entry_requirements_summary,accepts_engineering_bachelor,portfolio_or_audition_required,scholarship_available,scholarship_names,scholarship_coverage_level,tunisia_eligible,program_url,admissions_url,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,fit_notes
A-001,A,Màster Universitari en Tecnologies del So i de la Música / Master in Sound and Music Computing (SMC),Máster Universitario oficial (MSc),Universitat Pompeu Fabra (UPF) - Music Technology Group,Public university,Barcelona,Spain,single_site,English,TBC,12,60,TBC,Catalan public per-credit master fee; exact non-EU figure NOT confirmed - upf.edu was unreachable this session (Cloudflare 403). Do not quote a figure until the official preus page is opened.,TBC,14 November (2026-27 cycle opened 14 Nov 2025),Rolling rounds: 14 Jan / 4 Mar / 27 Apr / 5 Jun (2026 dates),2026 cycle - 2027 TBC,Engineering/CS/physics/maths or music background; programming and maths expected. Up to 50 complementary credits may be required for applicants lacking prerequisites. Full official text not opened this session.,likely,no,TBC,TBC,TBC,TBC,https://www.upf.edu/web/smc,https://www.upf.edu/web/smc/faq,https://www.upf.edu/en/web/masters/preus,https://www.upf.edu/web/smc|https://www.upf.edu/web/smc/faq|https://www.upf.edu/web/mtg/news/-/asset_publisher/WM181VyAQipW/content/application-open-for-the-master-in-sound-and-music-computing-2026-2027/maximized,PARTIALLY_VERIFIED,W1-A,2026-08-22,upf.edu returned Cloudflare 403 to every request this session (WebFetch and curl) - NO official UPF page was actually opened. All facts here come from search-engine extracts of official UPF pages and MUST be re-verified. 60 ECTS in 1 year plus possible complementary credits.,"THE single best-fit program on Path A: computation is the subject (DSP, machine listening, MIR, sound synthesis) at the Music Technology Group, the leading European SMC lab. Client's 300-ECTS engineering diploma far exceeds any entry bar. English-taught, Barcelona (priority-1 city). PRIORITY-1 follow-up: open upf.edu from a browser-capable tool."
A-002,A,Master in Intelligent Interactive Systems (audio/music track),Máster Universitario oficial (MSc),Universitat Pompeu Fabra (UPF),Public university,Barcelona,Spain,single_site,English,TBC,12,60,TBC,Not confirmed - upf.edu unreachable (Cloudflare 403).,TBC,TBC,TBC,TBC,TBC - official admission text not opened this session.,unclear,TBC,TBC,TBC,TBC,TBC,https://www.upf.edu/web/master-intelligent-interactive-systems,TBC,TBC,https://www.upf.edu/web/master-intelligent-interactive-systems,UNVERIFIED,W1-A,2026-08-22,"NOTHING verified - upf.edu blocked this session. Existence of an audio/music track is asserted only by the task brief, not by any page opened. Treat as a lead only.",Same department and campus as the SMC master; MTG staff teach into it. Worth checking as a second UPF entry point if SMC is oversubscribed.
A-003,A,"Master of Science in Acoustics, Audio and Vibrations (Máster Universitario en Acústica, Audio y Vibraciones)","Máster Universitario oficial (título oficial, MSc)",La Salle Campus Barcelona - Universitat Ramon Llull,Private university,Barcelona,Spain,single_site,English,TBC,10,60,TBC,"Price NOT published on the programme page. Comparable La Salle on-site MSc programmes are listed at 14,340-17,940 EUR for 2026-27 on the admission-process page - do NOT apply those figures to this programme without confirmation.",TBC,Rolling,No fixed deadline - admission open until the 30 places are filled,2026 cycle - 2027 TBC,University degree; passport/ID plus degree certificate; personal interview if the admissions committee requests it; decision within 8 days of complete documentation.,likely,no,yes,"La Salle Academic Excellence (50/40/20%); La Salle Boost (10-40%); Stay With Us (30%); Alumni/Partner University (10-20%); Massó Foundation (100%, other programmes); Carolina Foundation (75%, other programmes); Casa de México (100%, other programmes); SheTechs (30%)",partial,TBC,https://www.salleurl.edu/en/education/master-science-acoustics-audio-and-vibrations,https://www.salleurl.edu/en/admissions/masters-admissions/admission-process,https://www.salleurl.edu/en/admissions/masters/scholarship-program,https://www.salleurl.edu/en/education/master-science-acoustics-audio-and-vibrations|https://www.salleurl.edu/en/admissions/masters-admissions/admission-process|https://www.salleurl.edu/en/admissions/masters/scholarship-program,VERIFIED,W1-A,2026-08-22,"Private university - tuition likely five figures and not published. Scholarships cannot be combined (only one aid option). Named 100%-coverage funds (Massó, Carolina, Casa de México) are tied to OTHER programmes, not to this one. Classes are weekday afternoons with some online sessions - check this satisfies Spanish student-visa full-time rules.","Strong Path-A engineering fit: acoustics, audio and vibrations taught in English in Barcelona, 60 ECTS in 10 months, official título oficial (visa-safe). Starts 19 Oct 2026 for the current cycle. Client's 300-ECTS engineering diploma is comfortably above entry. Funding is percentage discounts only - weak against the FUNDING-FIRST strategy."
A-004,A,Máster Universitario en Ingeniería Acústica (MUIA) (Master's Degree in Acoustic Engineering),Máster Universitario oficial (MSc),Universitat Politècnica de València (UPV),Public university,Gandia (Valencia),Spain,single_site,Spanish,none stated,12,60,4240.80,"2026-27 official rates: Type 1 (EU/residents in Spain) 35.34 EUR/credit = from 2120.40 EUR; Type 2 (other international, i.e. the client) 70.68 EUR/credit = from 4240.80 EUR.",TBC (2026-27 cycle published: Sep 2026 - Jul 2027),Phase 0 for non-EU international students: 17 Nov 2025,Phase 0 (non-EU): 13 Feb 2026; Phase 1: 30 Apr 2026; Phase 2: 26 Jun 2026; Phase 3: 4 Sep 2026,2026 cycle - 2027 TBC,Official page does not publish the detailed entry profile; applicants directed to the admission section. Acoustic engineering master normally requires an engineering/physics degree.,likely,no,TBC,TBC,TBC,TBC,https://www.upv.es/estudios/master/muia/en/home/,https://www.upv.es/estudios/master/muia/en/admission/,https://www.upv.es/admision/admision-master/index-en.html,https://www.upv.es/estudios/master/muia/en/home/|https://www.upv.es/estudios/master/muia/en/admission/,VERIFIED,W1-A,2026-08-22,"Taught in Spanish - client has no Spanish. Gandia campus is a small satellite ~65 km from Valencia city, thin electronic-music scene. UPV explicitly runs a separate earlier Phase 0 for non-EU applicants - missing it costs a year.","Cheapest verified non-EU tuition on this path (4,240.80 EUR/yr, official public rate). Pure acoustics/DSP engineering - excellent technical fit for a software engineer, weak on music-production content. Client's 300-ECTS engineering diploma exceeds entry. Language is the real barrier, not eligibility."
A-005,A,"Máster Universitario Erasmus Mundus en Ondas, Acústica, Vibraciones, Ingeniería y Sonido / WAVES (Waves, Acoustics, Vibrations, Engineering and Sound)",Multiple national master's degrees + joint diploma supplement (Erasmus Mundus Joint Master),Consortium: Universitat Politècnica de València (Gandia) / Aix-Marseille Université / Centrale Méditerranée / Universidade de Coimbra,Public university consortium,Gandia (Valencia); Marseille; Coimbra,"Spain (+France, Portugal)",rotating,English,TBC,24,120,2356.20,"UPV publishes 39.27 EUR/credit for the 2026-27 course, from 4712.40 EUR for the whole 120-ECTS programme, i.e. ~2356 EUR/yr at the UPV leg. Erasmus Mundus scholarship holders normally have fees covered by the consortium - not confirmed this session.",no - see red flags,Phase 0 for non-EU: 17 Nov 2025 (UPV route),UPV Phase 0 (non-EU): 13 Feb 2026; Phase 1: 30 Apr 2026; consortium platform CLOSED,2026 cycle - 2027 TBC,"Engineering/physics bachelor; English-taught, no additional language requirement stated. Detailed criteria on the consortium site were not retrievable (application platform offline).",likely,no,yes,Erasmus Mundus Joint Masters scholarship (EACEA),full+stipend,TBC,https://www.upv.es/estudios/master/muemwaves/en/home/,https://www.upv.es/estudios/master/muemwaves/en/admission/,https://www.eacea.ec.europa.eu/grants/2021-2027/erasmus_en,https://www.upv.es/estudios/master/muemwaves/en/home/|https://master-waves.eu/|https://application.master-waves.eu/,VERIFIED,W1-A,2026-08-22,MAJOR: master-waves.eu states that as of 1 Oct 2025 there is NO recruitment for the 2026-2028 cohort and the application platform is unavailable. UPV's own page states the title is 'in the process of renewal' with no places available for 2026-27. Whether a 2027-2029 cohort will open is unknown. Erasmus Mundus scholarship coverage and Tunisian eligibility were NOT confirmed on an EACEA page this session.,"If it reopens, this is the strongest FUNDING-FIRST option on Path A: an Erasmus Mundus Joint Master (full tuition + monthly stipend + travel/installation for scholarship holders), English-taught, 120 ECTS, with a Spanish partner. Content is acoustics/vibrations/sound engineering rather than music computing. PRIORITY follow-up: watch master-waves.eu and the EACEA EMJM catalogue for a 2027 call."
A-006,A,Máster Universitario en Ingeniería Acústica (Master's Degree in Acoustic Engineering),Máster Universitario oficial (MSc),Universidad Politécnica de Madrid (UPM) - ETSIS de Telecomunicación,Public university,Madrid,Spain,single_site,Spanish,TBC,TBC,TBC,TBC,Not published on the pages opened. Madrid public masters are priced per credit by Comunidad de Madrid decree; non-EU surcharge rules differ from Valencia - do not assume.,TBC,TBC,TBC,2024 cycle content on site - 2027 TBC,Not published on the opened page; a perfil-de-ingreso subpage exists but was not reachable (upstream 502).,likely,no,TBC,TBC,TBC,TBC,https://blogs.upm.es/masteracustica/,https://www.upm.es/Estudiantes/Estudios_Titulaciones/Estudios_Master/Admision,https://www.upm.es/masters/acustica/becas-y-practicas/,https://blogs.upm.es/masteracustica/|https://www.etsist.upm.es/estudios-ingenieria-sistemas-telecomunicaciones-madrid/masters-ingenieria-madrid/master_ingenieria_acustica,PARTIALLY_VERIFIED,W1-A,2026-08-22,Programme site is stale: the front page still advertises 'ABIERTO EL PLAZO DE ADMISION PARA EL CURSO 2024/2025'. The ETSIST programme page returned HTTP 502. Confirm the master is still being offered before investing effort. Spanish-taught.,"Official public master in acoustic engineering in Madrid (priority-2 city). Technical/DSP core suits the client's engineering background; Spanish-language instruction is the barrier. Everything except existence, city and language is unconfirmed."
A-007,A,Máster Universitario en Ingeniería Acústica (interuniversitario UGR-UCA),Máster Universitario oficial (MSc),Universidad de Granada + Universidad de Cádiz (interuniversity),Public university,Granada (with Cádiz specialities),Spain,single_site,Spanish,TBC,12,60,TBC,"Andalusian public per-credit rate, not published on the page opened.",TBC,TBC,"Set by the Distrito Único Andaluz, not by the university - dates not on the page opened",TBC,"Graduates in Engineering, Architecture or Sciences (Mathematics, Physics, etc.); other profiles assessed by the Academic Commission.",yes_explicit,no,TBC,TBC,TBC,TBC,https://masteres.ugr.es/acustica/,https://escuelaposgrado.ugr.es,https://escuelaposgrado.ugr.es,https://masteres.ugr.es/acustica/informacion/presentacion|https://masteres.ugr.es/acustica/,PARTIALLY_VERIFIED,W1-A,2026-08-22,Spanish-taught. Deadlines are controlled by the Distrito Único Andaluz and were not confirmed. Granada/Cádiz are outside the client's priority cities. Structure is 20+20+15+5 ECTS with a 15-ECTS practicum.,"Entry text explicitly names Engineering degrees - the clearest yes_explicit on the Spanish acoustics cluster for a 300-ECTS engineering diploma. Andalusian public fees are among the lowest in Spain, which matters under the FUNDING-FIRST strategy. Content is acoustics engineering, not music computing."
A-008,A,Máster Universitario en Ingeniería Acústica,Máster Universitario oficial (MSc),Universidad de Málaga (UMA) - E.T.S.I. Telecomunicación,Public university,Málaga,Spain,single_site,Spanish,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Governed by the Distrito Único Andaluz,TBC,Holders of Spanish Graduado/Licenciado/Ingeniero/Arquitecto/Diplomado/Ingeniero Técnico/Arquitecto Técnico/Maestro titles; foreign equivalents assessed. Semi-presencial (blended) project-based delivery.,likely,no,TBC,TBC,TBC,TBC,https://www.uma.es/master-en-ingenieria-acustica/,https://www.uma.es/cms/base/ver/section/document/70248/preinscripcion-y-matricula-ing-acustica/,TBC,https://www.uma.es/master-en-ingenieria-acustica/|https://www.uma.es/master-universitario-en-ingenieria-acustica,UNVERIFIED,W1-A,2026-08-22,"No uma.es page was opened this session (web-search budget exhausted before the fetch). All content above derives from search-engine extracts of official UMA pages and must be re-verified. Spanish-taught, semi-presencial - blended delivery can conflict with Spanish student-visa full-time requirements for non-EU nationals.","Running as an official master since 2008/09; electives include Audio, Music, Processing and Mastering - the most music-facing of the Spanish acoustics masters. Málaga is outside the priority cities but has low living costs."
A-009,A,Màster propi de Composició amb Tecnologies (Master's Degree in Composition with Technologies),"Màster propi (institution's own title, NOT a título oficial), 60 ECTS",ESMUC - Escola Superior de Música de Catalunya,Public higher music school / conservatory,Barcelona,Spain,single_site,English,TBC,9,60,5667,"94.45 EUR per credit x 60 ECTS = 5,667 EUR for the programme (published on the ESMUC page).",TBC,2 February (round 1 of the 2026-27 cycle),Round 1: 25 Mar 2026 (decision 15 Apr); Round 2: 24 May 2026 (decision 9 Jun); Round 3: 6 Sep 2026,2026 cycle - 2027 TBC,"Higher degree in music OR equivalent accredited experience, plus submission of the applicant's own scores and/or recordings for evaluation.",unclear,yes,TBC,TBC,TBC,TBC,https://www.esmuc.cat/en/studies/masters-i-postgraus/master-propi-de-composicio-amb-tecnologies/,https://www.esmuc.cat/en/studies/masters-i-postgraus/inscripcio-i-matricula/,TBC,https://www.esmuc.cat/en/master-propi-de-composicio-amb-tecnologies/|https://www.esmuc.cat/en/studies/masters-i-postgraus/master-propi-de-composicio-amb-tecnologies/,VERIFIED,W1-A,2026-08-22,"MASTER PROPI, NOT TITULO OFICIAL - this is critical for the Tunisian student visa and for any official scholarship; confirm with the Spanish consulate before relying on it. Entry text asks for a higher degree in MUSIC, which the client does not have; the 'equivalent accredited experience' clause plus portfolio is the only route in. Portfolio-gated while the client's music portfolio is still in progress.","Barcelona, English-taught, computer-music composition with technology; cheap (5,667 EUR total) and 9 months. Genuinely relevant to the producer half of the dual career but weak on the engineering half and legally weaker than an official master. FLAGGED, not excluded, per the portfolio rule."
A-010,A,Máster en Enseñanzas Artísticas de Nuevas Tecnologías de la Música Actual: Creación e Interpretación,"Máster en Enseñanzas Artísticas (official artistic master, 60 ECTS)",Real Conservatorio Superior de Música de Madrid (RCSMM),Public conservatory,Madrid,Spain,single_site,Spanish,TBC,12,60,TBC,Not published on the page opened.,TBC,TBC,Tribunal dates published for the 2026-27 intake; specific dates not extracted,2026 cycle - 2027 TBC,"Graduates of superior artistic education in Composition or Performance, or university graduates with equivalent music degrees (Spanish or international). Structure: 16 general + 20 creative + 12 complementary + 12 TFM ECTS.",no,yes,TBC,TBC,TBC,TBC,https://rcsmm.eu/masteres/master-nuevas-tecnologias-musica-actual-creacion-e-interpretacion/,https://rcsmm.eu/masteres/master-nuevas-tecnologias-musica-actual-creacion-e-interpretacion/,TBC,https://rcsmm.eu/masteres/master-nuevas-tecnologias-musica-actual-creacion-e-interpretacion/,VERIFIED,W1-A,2026-08-22,"Entry is restricted to holders of a music degree (Composition or Performance) - the client has no music degree, so eligibility is the binding constraint, not credentials. Admission requires three original compositions OR a 20-minute contemporary performance, plus interview. Spanish-taught.","Accredited by Fundación madri+d, an official enseñanzas artísticas master. Content is new technologies in current music - creation and performance, which is on-path, but the eligibility wall makes it a low-probability target. Logged for completeness."
