id,path_letter,program_name,degree_awarded,institution,institution_type,city,country,mobility,language_of_instruction,english_level_required,duration_months,ects,tuition_non_eu_eur_per_year,tuition_notes,intake_2027_confirmed,application_opens,application_deadline,deadline_source_cycle,entry_requirements_summary,accepts_engineering_bachelor,portfolio_or_audition_required,scholarship_available,scholarship_names,scholarship_coverage_level,tunisia_eligible,program_url,admissions_url,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,fit_notes
C-001,C,Master in Sound and Music Computing (SMC) / Master Universitari en Tecnologies del So i de la Musica,TBC (official Spanish master universitario),Universitat Pompeu Fabra (UPF) - Department of Engineering / Music Technology Group,public university,Barcelona,Spain,single_site,TBC (reported English; not confirmed on an official page opened this session),TBC,TBC,TBC,TBC,NOT VERIFIED. Aggregator/search snippets quote EUR 5750 first year for international students; upf.edu could not be opened this session so no UPF figure is recorded as fact.,TBC,TBC,TBC,TBC - upf.edu unreachable; search snippets referenced a 2026-2027 cycle (opened 14 Nov; deadlines 14 Jan / 4 Mar / 27 Apr / 5 Jun 2026) but this was NOT confirmed,TBC - admission reportedly weighted on academic excellence in the master's topics plus a motivation letter (unconfirmed),unclear,TBC,TBC,TBC,none_found,TBC,https://www.upf.edu/web/smc,https://www.upf.edu/web/smc/admission,TBC,https://www.upf.edu/web/smc|https://www.upf.edu/web/smc/overview|https://www.upf.edu/web/mtg/education-outreach/education,UNVERIFIED,W1-C,2026-08-22,"BLOCKED SOURCE: every upf.edu URL returned HTTP 403 (Cloudflare 'Just a moment' bot challenge) via WebFetch, curl with browser headers, and a reader proxy; web.archive.org is also unreachable from this environment. No UPF fact could be confirmed. Every field here must be re-verified manually before use.","HIGHEST-PRIORITY PATH C(a) TARGET IN SCOPE: the flagship dedicated Sound and Music Computing master, run by UPF's Music Technology Group (Xavier Serra) - audio signal processing, music information retrieval, musical interfaces, computational musicology. Barcelona is the client's top-priority city. Escalate to Wave 2 for manual verification."
C-002,C,Master in Intelligent Interactive Systems (MIIS),TBC (official Spanish master universitario),Universitat Pompeu Fabra (UPF) - Department of Engineering,public university,Barcelona,Spain,single_site,TBC (reported English; not confirmed on an official page opened this session),TBC,TBC,TBC,TBC,TBC - upf.edu unreachable this session.,TBC,TBC,TBC,TBC - upf.edu unreachable,"TBC. Reported (unconfirmed) three tracks: Big Data, Interactive Technologies, Computer Vision; three terms starting September.",unclear,no,TBC,TBC,none_found,TBC,https://www.upf.edu/web/iis,https://www.upf.edu/web/iis/academic-information,TBC,https://www.upf.edu/web/iis|https://www.upf.edu/web/iis/about|https://www.upf.edu/web/mtg,UNVERIFIED,W1-C,2026-08-22,BLOCKED SOURCE: upf.edu returned HTTP 403 (Cloudflare bot challenge) on every attempt this session. All fields TBC.,PATH C(b) TOP CANDIDATE: a general AI/interactive-systems MSc sitting in the SAME UPF Department of Engineering that hosts the Music Technology Group (MTG). If MTG supervision is open to MIIS students this is the client's strongest admission route into Barcelona music-AI as an engineer rather than a musician. Verify MTG thesis availability from MIIS in Wave 2.
C-003,C,Master's degree in Artificial Intelligence (Master en Intel-ligencia Artificial / Master en Inteligencia Artificial),Master's degree in Artificial Intelligence (official),"Universitat Politecnica de Catalunya - BarcelonaTech (UPC), jointly with Universitat de Barcelona (UB) and Universitat Rovira i Virgili (URV)",public university,Barcelona,Spain,single_site,English,TBC,18,90,TBC,"CONFLICT. Programme page: approx EUR 1743 for the master's degree (EUR 2700 for non-EU residents), excluding non-teaching academic fees and certificate issue. UPC news item (June 2025): price per credit for master's degrees cut to EUR 45 for a first-time enrolment for non-EU students (= EUR 4050 for 90 ECTS), down from EUR 102.52. Figures are per-degree, not per-year; not reconciled.",TBC,TBC - pre-enrolment shown as closed on 2026-08-22,TBC,TBC - UPC page showed pre-enrolment closed at time of check,"General UPC master's academic admission requirements; 50 places per intake; interdisciplinary programme spanning computer science, philosophy, psychology, linguistics and engineering. September start.",likely,no,TBC,TBC,none_found,TBC,https://www.upc.edu/en/masters/artificial-intelligence,https://www.upc.edu/en/masters/artificial-intelligence,https://www.upc.edu/en/press-room/news/the-upc-reduces-tuition-fees-for-non-eu-students-enrolling-in-master-degrees,https://www.upc.edu/en/masters/artificial-intelligence|https://www.upc.edu/en/press-room/news/the-upc-reduces-tuition-fees-for-non-eu-students-enrolling-in-master-degrees,PARTIALLY_VERIFIED,W1-C,2026-08-22,"Fee conflict between the programme page (EUR 2700 non-EU) and the June-2025 UPC news item (EUR 45/credit = EUR 4050 for 90 ECTS) - reconcile before relying on either. NO UPC audio or music research group was verified this session, so the Path C(b) music link is unproven for this row.",PATH C(b) FUNDING-FIRST STANDOUT: English-taught AI master in Barcelona at Spanish public-university prices - roughly one sixth of a Dutch institutional fee. 90 ECTS over 18 months. Client's 300-ECTS engineering diploma comfortably exceeds any 180/240-ECTS bar. WEAKNESS: no verified audio/music lab at UPC; Wave 2 must check UPC's speech/audio and signal-processing groups (e.g. TALP) before this can be ranked as a true Path C(b) hit.
C-004,C,Master Universitario en Inteligencia Artificial (Master's Degree in Artificial Intelligence),Master Universitario (official),Universidad de Alicante (UA) - Escuela Politecnica Superior / Dept. Lenguajes y Sistemas Informaticos,public university,Alicante,Spain,single_site,English,B2,12,60,TBC,Programme page 2026-27: EUR 35.34 per credit on first enrolment (EUR 56.51 on second and subsequent enrolments) = approx EUR 2120 for 60 ECTS. The page states explicitly that different prices exist for non-EU non-resident international students but does not publish that figure - non-EU rate is TBC.,TBC,16/03/2026 (2026-27 cycle),26/06/2026 at 14:00; extraordinary period from 17/07/2026 for masters with places left (2026-27 cycle),2026 cycle - 2027 TBC (expect a comparable mid-March to late-June window in 2027),Branch of knowledge: Engineering and Architecture. 25 places. Certified B2 English required. Blended delivery (semipresencial). The page does not enumerate admitted bachelor titles.,likely,no,TBC,TBC,none_found,TBC,https://web.ua.es/es/masteres/inteligencia-artificial/,https://eps.ua.es/es/master-en-inteligencia-artificial/master-universitario-en-inteligencia-artificial.html,TBC,https://web.ua.es/es/masteres/inteligencia-artificial/|https://cvnet.cpd.ua.es/curriculum-breve/es/perez-sancho-carlos/25661|https://eps.ua.es/es/master-en-inteligencia-artificial/master-universitario-en-inteligencia-artificial.html,PARTIALLY_VERIFIED,W1-C,2026-08-22,GRFIA's own group site (grfia.dlsi.ua.es) is DEAD - both /cm/ and /gen.php returned HTTP 404 via WebFetch and curl; group evidence rests on UA's institutional CV portal. Non-EU non-resident credit price is not published. Semipresencial (blended) delivery may complicate a Tunisian student visa - check residence requirement.,"PATH C(b) STRONG: UA's DLSI department hosts GRFIA (Grupo de Reconocimiento de Formas e Inteligencia Artificial). Verified on UA's official CV portal: GRFIA member Carlos Perez Sancho states 'Mis principales intereses de investigacion son las tecnicas de inteligencia artificial aplicadas a la recuperacion de informacion musical (Music Information Retrieval)'. GRFIA historically ran a Computer Music Laboratory (Jose M. Inesta; Jorge Calvo-Zaragoza - optical music recognition, MIR). English-taught 60-ECTS AI master with a MIR lab attached is an excellent engineer's route into music AI. 300-ECTS diploma far exceeds the entry bar."
C-005,C,Master Universitario en Aprendizaje Profundo para el Tratamiento de Senales de Audio y Video (Master's Degree in Deep Learning for Audio and Video Signal Processing / MUDLAVSP),Master Universitario (official),Universidad Autonoma de Madrid (UAM) - Escuela Politecnica Superior,public university,Madrid,Spain,single_site,English,B2 or higher (certificate required),12,60,5079,"Programme page, first enrolment: standard rate EUR 2736; non-resident international students EUR 5079. The page does not state which academic year these rates apply to. UAM's fees page confirms non-EU students without Spanish residency are charged at the higher 'third matriculation' rate band.",TBC,TBC,TBC - not published on the programme page opened; UAM postgraduate admission rounds run roughly February-May with a late round to early September,"TBC - 2026 cycle dates seen only in search summaries, not confirmed on a page opened this session","Engineers or holders of an Engineering bachelor's in an ICT-related field, whose degree includes at least 24 ECTS mathematical fundamentals (12 calculus, 6 linear algebra, 6 probability/statistics), at least 12 ECTS programming in a high-level language, at least 6 ECTS signal processing and at least 6 ECTS machine learning. English B2. 30 places. Selection: academic record 40-60 percent, CV/merits 10-30 percent, profile fit 10-40 percent.",yes_explicit,no,TBC,TBC,none_found,TBC,https://www.uam.es/uam/en/master-universitario-aprendizaje-profundo-tratamiento-senales-audio-video,https://www.uam.es/EPS/mudlavsp/1446816087686.htm,https://www.uam.es/uam/en/posgrado/matricula/tasas-y-precios,https://www.uam.es/uam/en/master-universitario-aprendizaje-profundo-tratamiento-senales-audio-video|https://www.uam.es/ss/Satellite?c=Page&cid=1446816087686&pagename=EscuelaPolitecnica/Page/UAM_contenidoFinal|https://www.uam.es/uam/en/posgrado/matricula/tasas-y-precios|https://audias.ii.uam.es/,VERIFIED,W1-C,2026-08-22,"Prerequisite ECTS are hard, itemised gates - 6 ECTS signal processing and 6 ECTS machine learning must be evidenced on the transcript, and a software-engineering curriculum may be short on signal processing. Non-resident international rate (EUR 5079) is about 1.9x the standard rate. Application dates not published on the pages opened.","TOP-3 FIND OF THIS PATH, and effectively Path C(a): a one-year, English-taught, 60-ECTS DEEP LEARNING FOR AUDIO master at a public Spanish university - the cheapest dedicated audio-AI master found anywhere in scope. Hosted by the EPS, home of AUDIAS (Audio, Data Intelligence and Speech research group, Dept. of Information Technology) whose verified research lines include 'audio event detection and MUSIC ANALYTICS' and which publishes master's thesis proposals and study grants for students. Client's 300-ECTS engineering diploma explicitly matches the 'engineers ... in an ICT-related field' admission profile."
C-006,C,Master Universitario en Ingenieria del Software e Inteligencia Artificial (Master's Degree in Software Engineering and Artificial Intelligence),Master Universitario (official),Universidad de Malaga (UMA) - E.T.S. de Ingenieria Informatica,public university,Malaga,Spain,single_site,"Spanish and English (Castellano, Ingles)",TBC,12,60,TBC,Not published on the pages opened. Andalusian public-university credit rates apply; UMA directs applicants to acceso_master@uma.es.,TBC,TBC,TBC,TBC - applications run through the Andalusian Distrito Unico Universitario portal; dates not confirmed on a page opened this session,"30 places, blended (semipresencial) delivery, three teaching periods Oct-Dec, Jan-Mar, Apr-Jul. Target profile is a Computer Science engineering graduate; Telecommunications and Industrial engineering, Mathematics and Physics graduates also admitted (per UMA access pages, not opened this session). Foreign non-homologated degrees at bachelor level that permit postgraduate study in the home country are accepted.",likely,no,TBC,TBC,none_found,TBC,https://www.uma.es/master-en-ingenieria-del-software-e-inteligencia-artificial/,https://www.uma.es/master-en-ingenieria-del-software-e-inteligencia-artificial/cms/menu/acceso/preinscripcion/,TBC,https://www.uma.es/master-en-ingenieria-del-software-e-inteligencia-artificial/cms/menu/informacion-general/|https://www.uma.es/atic/,PARTIALLY_VERIFIED,W1-C,2026-08-22,"Blended (semipresencial) delivery - check Tunisian student-visa implications, which usually require in-person enrolment. Fees and preinscription dates not published on the pages opened. ATIC sits in a DIFFERENT school (ETSI Telecomunicacion) from the one that runs this master (ETSI Informatica), so cross-school thesis supervision is unproven.","PATH C(b): UMA hosts ATIC (Aplicacion de las Tecnologias de la Informacion y Comunicaciones, group code TIC208), verified on uma.es as a signal-processing group whose research lines are explicitly musical: musical signal analysis and classification, music transcription (frequency and tonality detection), AUTOMATIC MUSICAL COMPOSITION (melody and harmonic progression generation), e-learning for music education, serious games, and brain activity during musical tasks. Wave 2 should check whether an ATIC-supervised TFM is reachable from this master or whether UMA's telecommunications master is the correct vehicle."
C-007,C,"Master Universitario en Inteligencia Artificial, Reconocimiento de Formas e Imagen Digital (Master's Degree in Artificial Intelligence, Pattern Recognition and Digital Imaging / MIARFID)",Master Universitario (official),Universitat Politecnica de Valencia (UPV),public university,Valencia,Spain,single_site,Spanish and Valencian,not required; Spanish B2 required,11,60,4240.8,2026-27 programme page: EUR 35.34 per credit for nationals/EU/international students resident in Spain; EUR 70.68 per credit for other international students. Total EUR 2120.40 to EUR 4240.80 for the 60-ECTS degree.,TBC - page describes the 2026-27 edition running September 2026 to July 2027,"17/11/2025 (Phase 0, reserved for international applicants, 2026-27 cycle)",Phase 0 13/02/2026 (international only); Phase 1 02/03-30/04/2026; Phase 2 15-26/06/2026; Phase 3 31/07-07/08 and 24/08-04/09/2026,2026 cycle - 2027 TBC (the Phase 0 international window opens the preceding November),"Spanish language proficiency at B2 level. Programme focuses on digital image processing, virtual reality and intelligent techniques.",likely,no,TBC,TBC,none_found,TBC,https://www.upv.es/titulaciones/MUIARFID/indexi.html,https://www.upv.es/titulaciones/MUIARFID/indexi.html,TBC,https://www.upv.es/titulaciones/MUIARFID/indexi.html,VERIFIED,W1-C,2026-08-22,"Taught in Spanish and Valencian with a Spanish B2 entry requirement - the client's languages are Arabic, French and English, so this is a genuine hard gate (logged, not excluded, per brief). NO audio or music research group was verified for this programme; its stated focus is image and pattern recognition.","PATH C(b), weaker: logged for completeness and because the Phase 0 window is reserved for international applicants (a useful early admission slot) and non-EU tuition is only about EUR 4241 for the whole degree. UPV does host audio research (iTEAM multimedia/audio signal processing; PRHLT speech and language technology) but neither was verified this session and neither is named on the programme page."
C-008,C,Master Universitario en Inteligencia Artificial (Master's Degree in Artificial Intelligence / MUIA),Master Universitario (official),"Universidad Politecnica de Madrid (UPM) - E.T.S. de Ingenieros Informaticos, Departamento de Inteligencia Artificial",public university,Madrid,Spain,single_site,"Spanish and English (Espanol, Ingles)",TBC,TBC,60,TBC,Not published on the page opened.,TBC,TBC,TBC,TBC - UPM programme record references curso 2026-27 but publishes no dates on the page opened,"Not specified on the page opened. Research-oriented master run by the Department of Artificial Intelligence; programme implemented in 2010. Coordinator Damiano Zanardini, masteria.dia@fi.upm.es.",unclear,no,TBC,TBC,none_found,TBC,https://www.upm.es/estudiantes/estudios_titulaciones/estudios_master/programas?id=10.9&fmt=detail,https://www.upm.es/estudiantes/estudios_titulaciones/estudios_master/programas?id=10.9&fmt=detail,TBC,https://www.upm.es/estudiantes/estudios_titulaciones/estudios_master/programas?id=10.9&fmt=detail,PARTIALLY_VERIFIED,W1-C,2026-08-22,"No fees, dates or admission criteria published on the UPM record opened. NO UPM audio or music research group verified this session - UPM's speech/audio expertise (Grupo de Tecnologia del Habla) sits in ETSI de Telecomunicacion, a different school from the one running this master.",PATH C(b) candidate held open pending Wave-2 verification of an audio or music supervisor. Research master (MUIA) run by UPM's dedicated Artificial Intelligence department; bilingual ES/EN delivery. Rank below UAM (C-005) and Alicante (C-004) unless an audio group link is found.
C-009,C,Artificial Intelligence (MSc),MSc Artificial Intelligence,"University of Amsterdam (UvA) - Faculty of Science / Institute for Logic, Language and Computation (ILLC)",public university,Amsterdam,Netherlands,single_site,English,Proof of English proficiency required (TOEFL / academic IELTS / Cambridge); test result due by the application deadline,24,120 (TBC - not stated on the pages opened),26000,UvA fee table for 2026-2027 lists Faculty of Science institutional (non-EEA) rates: Master's (two years) EUR 26000; Master's Computer Science EUR 24150; Master's (one year) EUR 34300. MSc Artificial Intelligence is a two-year Faculty of Science master but is NOT itemised by name in the table - confirm the exact AI rate. Plus a EUR 100 non-refundable application fee. 2027-2028 rate TBC.,TBC,1 October,"31 January, 23:59 CEST (non-EU/EEA applicants)",Page is not year-stamped; this is the recurring annual pattern. For September 2027 entry expect applications open 1 October 2026 and close 31 January 2027 - 2027 TBC,"A Dutch bachelor's in Artificial Intelligence or Computer Science, or a comparable foreign qualification, plus at least 12 EC computer science, 12 EC programming, 6 EC calculus, 6 EC linear algebra and 6 EC probability and statistics. Proof of English proficiency due with the application.",likely,no,TBC,TBC,none_found,TBC,https://www.uva.nl/en/programmes/masters/artificial-intelligence/artificial-intelligence.html,https://www.uva.nl/shared-content/programmas/en/masters/artificial-intelligence/application-and-admission/international-prior-education/international-prior-education-foldout-menu.html,https://www.uva.nl/en/education/fees-and-funding/tuition-fees/tuition-fees.html,https://www.uva.nl/shared-content/programmas/en/masters/artificial-intelligence/application-and-admission/international-prior-education/international-prior-education-foldout-menu.html|https://www.uva.nl/en/education/fees-and-funding/tuition-fees/tuition-fees.html|https://aihr.uva.nl/humanities-labs/music-lab/music-lab.html,PARTIALLY_VERIFIED,W1-C,2026-08-22,"Non-EU tuition around EUR 26000/yr over two years is the single largest cost in this path - under a funding-first strategy this row only works with a full scholarship, and no UvA scholarship was verified this session. EUR 100 non-refundable application fee. The Music Cognition Group's own site (mcg.uva.nl) returned HTTP 503 at time of check. Henkjan Honing is professor EMERITUS - confirm an active music-AI supervisor before committing.","PATH C(b) STRONG: UvA's ILLC hosts the MUSIC COGNITION GROUP (MCG), housed at LAB42 on Science Park alongside the AI programme, affiliated with the Department of Musicology, ILLC and Amsterdam Brain and Cognition, and doing explicitly 'cognitive and computational music research' (verified on aihr.uva.nl). Amsterdam is the client's top-priority Dutch city and this is a flagship EU AI master. Client's 300-ECTS engineering diploma exceeds the degree bar; the itemised EC prerequisites are the real gate."
C-010,C,Artificial Intelligence (MSc),MSc Artificial Intelligence,Utrecht University - Department of Information and Computing Sciences,public university,Utrecht,Netherlands,single_site,English,'EMI-experienced' level per UU's English language requirements (official test score or certificate),24,120 (TBC; includes a 44 EC research project),25306,"UU programme page: 'Non-EU/EEA students (institutional fee) 2026-2027: 25,306'. 2027-2028 rate TBC.",TBC,1 October (September start),"1 April (non-EU passport holders, September start); 1 September for the February start",Page is not year-stamped; recurring annual pattern. For September 2027 entry expect 1 April 2027 - 2027 TBC,"A sufficient bachelor's degree from a research university - AI, Computer Science, or Cognitive Science / Linguistics / Philosophy / Psychology / Data Science / Mathematics with complementary coursework. Expected foundations: logic, programming, AI fundamentals, mathematics for AI, cognitive psychology, linguistics/NLP, philosophy of AI, machine learning. Selective research master; admissions committee selects among qualified applicants.",likely,no,TBC,TBC,none_found,TBC,https://www.uu.nl/en/masters/artificial-intelligence,https://www.uu.nl/en/masters/artificial-intelligence/admission-and-application/degree-from-a-non-dutch-university,TBC,https://www.uu.nl/en/masters/artificial-intelligence|https://www.uu.nl/en/masters/artificial-intelligence/admission-and-application/degree-from-a-non-dutch-university|https://www.uu.nl/staff/AVolk,VERIFIED,W1-C,2026-08-22,Institutional fee EUR 25306 (2026-2027) is among the highest in the Netherlands and no UU scholarship was verified this session. Selective admission. A software-engineering curriculum may be light on the expected cognitive-psychology / linguistics / philosophy foundations.,"PATH C(b) STRONG - possibly the single best general-AI-with-a-music-lab match found: Utrecht's Department of Information and Computing Sciences contains the MUSIC INFORMATION COMPUTING group, chaired by Prof. Anja Volk (verified on uu.nl/staff/AVolk) - music information retrieval, computational musicology, music cognition, mathematical music theory, music technology for health and wellbeing, music-driven serious games. She teaches a master course 'Sound and Music Technology' that has produced student work on music generation and AI including AI Song Contest entries. The 44 EC research project is a ready-made music-AI thesis slot. Client's 300-ECTS diploma exceeds the entry bar."
