id,path_letter,program_name,degree_awarded,institution,institution_type,city,country,mobility,language_of_instruction,english_level_required,duration_months,ects,tuition_non_eu_eur_per_year,tuition_notes,intake_2027_confirmed,application_opens,application_deadline,deadline_source_cycle,entry_requirements_summary,accepts_engineering_bachelor,portfolio_or_audition_required,scholarship_available,scholarship_names,scholarship_coverage_level,tunisia_eligible,program_url,admissions_url,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,fit_notes
G-001,G,Master of Music - pathway Music Design (strand: Sound Design),Master of Music (MMus) - NVAO-accredited Dutch hbo master,HKU University of the Arts Utrecht (Hogeschool voor de Kunsten Utrecht),University of applied sciences / art school (hbo),Utrecht,Netherlands,single_site,English (lessons taught in English; approx. two-thirds Dutch student body),Proof of English proficiency required; exact score TBC,24,120,12258,EUR 12258 institutional fee for master students 2026-2027 per HKU visa page; HKU Talent grant of EUR 3500 automatically reduces this to EUR 8758 if no prior Dutch bachelor/master. HKU warns non-EEA institutional rates 'may rise considerably in the coming years'. 2027-2028 rate TBC.,yes - applications for 2027-2028 open as of 1 October,1 October (for the 2027-2028 academic year),Non-EU/EEA candidates advised to apply before 1 April to complete immigration procedures,2027 cycle (page states 2027-2028),"Bachelor's degree in a relevant field, or professional experience at comparable level, or comparable training abroad. Two-stage selection.",likely,"YES - PORTFOLIO + INTERVIEW. Stage 1: motivation letter, study plan, CV and portfolio. Stage 2: online interview with the admissions committee.",yes,HKU Talent grant (EUR 3500); NL Scholarship (Holland Scholarship),partial,likely - NL Scholarship is for non-EEA nationals; Tunisia not excluded; confirm at studyinnl.org,https://www.hku.nl/en/study-at-hku/music-and-technology/master-of-music-pathway-music-design,https://www.hku.nl/en/study-at-hku/music-and-technology/master-of-music-pathway-music-design,https://www.hku.nl/en/study-at-hku/explore-and-apply/nl-scholarship,https://www.hku.nl/en/study-at-hku/music-and-technology/master-of-music-pathway-music-design|https://www.hku.nl/en/study-at-hku/explore-and-apply/application-and-admission/visa-and-residence-permit,VERIFIED,W1-G,2026-08-22,None on accreditation - NVAO-accredited Dutch MMus. Visa: HKU requires proof of EUR 1145/month living costs (EUR 13740/yr) PLUS tuition upfront; states there are 'none to very limited possibilities to work in the Netherlands'.,STRONGEST NL FIT ON THIS PATH. Explicit Sound Design strand alongside Music Technology / Music Production / Composition - directly serves the software-engineer + electronic-music dual career. 300-ECTS engineering diploma far exceeds the bachelor bar. Portfolio-gated: client's music portfolio must be ready by ~March 2027.
G-002,G,Master of Film,MA (Master of Film) - NVAO-accredited,Netherlands Film Academy / Nederlandse Filmacademie (Amsterdam University of the Arts - AHK),Film school within a university of the arts (hbo),Amsterdam,Netherlands,single_site,English,TBC,TBC,TBC,TBC,AHK institutional (non-EEA) master rate not opened this session.,TBC,TBC,TBC,TBC,TBC - artistic-research oriented master for practising filmmakers.,unclear,"TBC - expected yes (film school, artistic research proposal)",TBC,TBC,TBC,TBC,https://www.filmacademie.ahk.nl/master-film/programme/,TBC,TBC,https://www.filmacademie.ahk.nl/|https://www.filmacademie.ahk.nl/bachelor-film/sound-design/,UNVERIFIED,W1-G,2026-08-22,COULD NOT OPEN OFFICIAL PAGE THIS SESSION (filmacademie.nl 302s to filmacademie.ahk.nl; sub-pages returned 404 through the fetch tool). Dedicated Sound Design provision at the Filmacademie is at BACHELOR level - admission for the bachelor Sound Design track ran to 7 April 2026. NO dedicated sound-design MASTER confirmed.,"WAVE-2 PRIORITY RE-CHECK. The Netherlands' leading film school; the only master-level routes appear to be Master of Film (artistic research) and a Composing for Film master. Verify whether a sound designer can enter Master of Film with a sound-led research project, and check the Composing for Film master separately."
G-003,G,Master Art of Sound,Master of Music - NVAO-accredited,Royal Conservatoire The Hague (Koninklijk Conservatorium),"Conservatoire (hbo, part of University of the Arts The Hague)",The Hague,Netherlands,single_site,English,TBC,24,120 (2-year Dutch MMus; page does not state figure - TBC),11488,EUR 11488 institutional tuition fee for non-EEA students 2026-2027 (standard master rate; DNOA and conducting masters pay EUR 8250). Statutory EEA fee EUR 2694 does NOT apply to Tunisian nationals. 2027-2028 rate TBC.,TBC - 2026 cycle page currently shows 'Applications closed',TBC,26 February 2026 for pre-selection materials; interviews 13-18 April 2026; final admission decisions 31 August 2026,2026 cycle - 2027 TBC,"Bachelor of Music with a Tonmeister / Music Recording specialisation or equivalent; clear professional vision, independent research capability, relevant technical skills; a defined research question and graduation-project concept.",unclear,"YES - PORTFOLIO + INTERVIEW. Portfolio of THREE self-initiated projects: lossless/uncompressed audio-video files, a 300-600 word written report per project, one PDF per project. Plus a Master Project Plan, Europass CV and motivation form. Then a max-30-minute online motivation interview with three jury members via MS Teams.",TBC,TBC,TBC,TBC,https://www.koncon.nl/en/programmes/master/art-of-sound/master-artofsound,https://www.koncon.nl/en/programmes/master/art-of-sound/master-artofsound/toelatingseisen,https://www.koncon.nl/en/application-process/tuitionfees,https://www.koncon.nl/en/programmes/master/art-of-sound/master-artofsound|https://www.koncon.nl/en/programmes/master/art-of-sound/master-artofsound/toelatingseisen|https://www.koncon.nl/en/application-process/tuitionfees,VERIFIED,W1-G,2026-08-22,Entry text names a Tonmeister / Music Recording BACHELOR as the expected background - the client has neither a music degree nor a recording bachelor. 'or the equivalent' is the only opening; the portfolio must carry the whole case. Accreditation itself is clean (NVAO Master of Music).,"Content fit is excellent: 3D sound, object-based audio, immersive audio mixing, INTERACTIVE AUDIO DESIGN and SOUND DESIGN FOR FILM are named semester-project topics. Portfolio bar is the highest on this path (3 fully documented self-initiated projects) - client's in-progress music portfolio needs targeted sound-to-picture work, not just tracks."
G-004,G,Master of Music in Sonology,Master of Music - NVAO-accredited,Royal Conservatoire The Hague - Institute of Sonology,Conservatoire research institute (hbo),The Hague,Netherlands,single_site,English,TBC,24,TBC,11488,Same Royal Conservatoire institutional non-EEA master rate of EUR 11488 for 2026-2027. 2027-2028 TBC.,TBC - page shows 'Applications closed' for the current cycle,TBC,TBC,TBC,"Bachelor of Music in Sonology or equivalent; students from composition, COMPUTER SCIENCE, musicology and performance are explicitly also accepted.",likely,YES - entrance exam plus portfolio/audition process (specific contents TBC),TBC,TBC,TBC,TBC,https://www.koncon.nl/en/programmes/master/sonology/master-sonology,https://sonology.org/masters-admission/,https://www.koncon.nl/en/application-process/tuitionfees,https://www.koncon.nl/en/programmes/master/sonology/master-sonology|https://www.koncon.nl/en/application-process/tuitionfees,PARTIALLY_VERIFIED,W1-G,2026-08-22,Not a film/game sound-design programme - it is electroacoustic/computer music and sound art. Accreditation clean (NVAO MMus).,"EXPLICITLY WELCOMES COMPUTER SCIENCE BACKGROUNDS - the single best accepts-engineering signal on this path. Specialisations: live electronics, algorithmic composition, field recording, sound installations, Wave Field Synthesis. Also the gateway to the TU Berlin double degree (see G-005)."
G-005,G,Audio Communication and Sonology (double-degree master specialisation),DOUBLE DEGREE: M.Sc. from TU Berlin + Master of Music (M.Mus.) from the Royal Conservatoire The Hague,"Technische Universitat Berlin (Audio Communication Group) with the Institute of Sonology, Royal Conservatoire The Hague",Public technical university + conservatoire,Berlin (year 1) and The Hague (year 2),Germany and Netherlands,rotating,German (year 1 at TU Berlin) and English (year 2 in The Hague),IELTS 6.0 minimum or TOEFL iBT 83,24,120 (year 1: 60 ECTS = 39 compulsory + 21 elective; year 2: 60 ECTS = 20 compulsory + 10 elective + 30 research project),0 at TU Berlin (semester fee only) + Royal Conservatoire tuition in year 2,"TU Berlin charges no tuition, only a compulsory semester fee (exact amount TBC). The Royal Conservatoire charges its regular tuition fees in year 2 - the non-EEA institutional master rate there is EUR 11488 for 2026-2027. Travel, accommodation and living costs are the student's own.",TBC - deadline stated as an annual recurring date,TBC,15 February (annually); admission notification by 15 April,recurring annual deadline stated on the official page - 2027 date to be re-confirmed,"Entry runs through the TU Berlin M.Sc. Audio Communication and Technology: a first university degree in science, ENGINEERING, humanities, social science, arts, business or law; higher mathematics (analysis, linear algebra) at roughly 10+ credit points; competence in a programming language or computer algebra system. GERMAN at TestDaF TDN 4 / equivalent CEFR level required.",yes_explicit,"A RESEARCH PROJECT PROPOSAL must be submitted with the application; selection is on academic, artistic, personal and linguistic qualifications. No formal audition detailed on the official page.",TBC - DAAD Study Scholarships are the obvious route,DAAD Study Scholarship (to verify); NL Scholarship for the Dutch year (to verify),TBC,TBC - DAAD schemes are generally open to Tunisian nationals; confirm on the DAAD scholarship database,https://www.tu.berlin/en/ak/study-and-teaching/degree-programs/audio-communication-and-sonology,https://www.tu.berlin/en/ak/study-and-teaching/degree-programs/audio-communication-and-sonology,TBC,https://www.tu.berlin/en/ak/study-and-teaching/degree-programs/audio-communication-and-sonology|https://www.koncon.nl/en/application-process/tuitionfees,VERIFIED,W1-G,2026-08-22,"GERMAN LANGUAGE GATE: TestDaF TDN 4 / equivalent required for the Berlin year - a hard, time-consuming prerequisite the client does not currently hold. Otherwise no accreditation concerns: both awards are fully state-recognised (TU Berlin M.Sc., NVAO M.Mus.).","in_scope = yes for both halves (Berlin city + The Hague, NL). BEST FUNDING PROFILE ON THE ENTIRE PATH: TU Berlin charges no tuition. Explicitly accepts engineering first degrees and demands exactly the maths and programming the client already has - the 300-ECTS engineering diploma is an asset here, not a stretch. mobility = rotating. The German requirement is the one blocker; German is disprefered but in scope, so this should be ranked, not dropped."
G-006,G,"Audiokommunikation und -technologie (Audio Communication and Technology), M.Sc.",Master of Science - state accredited German university degree,Technische Universitat Berlin - Fachgebiet Audiokommunikation,Public technical university,Berlin,Germany,single_site,GERMAN (some course literature and some courses in English),B2 English required alongside C1 German,24 (4 semesters),120,0,No tuition fee - TU Berlin is a public German university. A compulsory semester fee applies (exact amount TBC on the official page this session).,TBC,TBC,TBC (not stated on the programme page opened this session),TBC,"A first university degree in a science, ENGINEERING, humanities, social science, arts, business or law programme, or an equivalent teaching degree; higher mathematics (analysis, linear algebra) at approx. 10+ credit points; programming language or computer algebra system competency; German C1; English B2.",yes_explicit,NO portfolio requirement mentioned on the official programme page.,TBC,DAAD Study Scholarship (to verify),TBC,TBC,https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/audio-communication-and-technology-m-sc,https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/audio-communication-and-technology-m-sc,TBC,https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/audio-communication-and-technology-m-sc,VERIFIED,W1-G,2026-08-22,"GERMAN-TAUGHT, C1 GERMAN REQUIRED. Tagged, not dropped, per brief. No accreditation concerns.","THE BEST FUNDING-FIRST OPTION IN BERLIN: zero tuition at a top public technical university, and the ONLY programme on this path whose stated entry requirements (engineering degree + analysis/linear algebra + programming) the client already meets outright with no portfolio gate. 300 ECTS far exceeds any bar. Research-and-engineering rather than creative sound design - pairs naturally with G-005 for the artistic year in The Hague. German C1 is the single obstacle and should be a Wave-4 ranking penalty, not an exclusion."
G-007,G,Master in Immersive Audio (Focus Master within Master of Music),Master of Music (MMus) - NVAO-accredited,Conservatorium van Amsterdam (Amsterdam University of the Arts - AHK),Conservatoire (hbo),Amsterdam,Netherlands,single_site,English,TBC,24,120,TBC,AHK non-EEA institutional master rate not confirmed this session (tuition page returned 404). Expect a five-figure institutional fee comparable to other Dutch art-school masters.,TBC,TBC,TBC,TBC,"Bachelor's in Music or a related field; ALTERNATIVELY a sound-engineering / music-technology qualification (Abbey Road Institute, SAE or equivalent) is explicitly accepted. Significant professional-level audio engineering experience required, plus DAW proficiency (Pro Tools / Ableton).",unclear,"YES - PORTFOLIO + PRACTICAL TEST. Motivation letter (max 500 words), portfolio of minimum THREE high-quality stereo recordings, optional research proposal; then a 10-minute interview and a 10-minute practical stereo-mix test in Pro Tools.",TBC,"Holland Scholarship / NL Scholarship (scheme-level, confirm at AHK)",TBC,TBC,https://www.conservatoriumvanamsterdam.nl/en/study/focus-masters/immersive-audio/,https://www.conservatoriumvanamsterdam.nl/en/study/focus-masters/immersive-audio/,TBC,https://www.conservatoriumvanamsterdam.nl/en/study/focus-masters/immersive-audio/,PARTIALLY_VERIFIED,W1-G,2026-08-22,Requires 'significant experience in audio engineering at a professional level' - the hardest non-portfolio gate for the client. Accreditation clean (NVAO MMus). Tuition unconfirmed.,"Amsterdam (client's top NL city). Covers Dolby Atmos, binaural, ambisonics applied to IMMERSIVE STORYTELLING, THEATRE, GAMING and VR/AR - genuinely on-path. Year-2 split: Composing for Immersive Audio or Production for Immersive Audio. Practical Pro Tools test means the client must be fluent in Pro Tools, not just Ableton."
G-008,G,Master The Sound of Innovation,Master of Music - NVAO-accredited,ArtEZ University of the Arts - Academy of Pop Music,University of the arts (hbo),Enschede,Netherlands,single_site,English,Proof of English proficiency required; exact level TBC,24,TBC,13030,ArtEZ institutional tuition fee for all master programmes stated as EUR 13030 (year TBC). Statutory EEA fee does not apply to Tunisian nationals.,NO - PROGRAMME DISCONTINUED,n/a,n/a,n/a,"Bachelor's or master's in a creative field (music, art, musicology, cultural history) or another relevant field (communication, sociology, CMD, education, psychology, TECHNOLOGY, law, economy, business administration).",yes_explicit,"YES - motivation letter, portfolio, project case and promotional video, then a 30-minute admission interview.",TBC,TBC,TBC,n/a,https://www.artez.nl/en/programmes/master/the-sound-of-innovation-enschede,https://www.artez.nl/en/courses/master/the-sound-of-innovation/admission,https://www.artez.nl/en/study-at-artez/arrange-your-study/tuition-fees,https://www.artez.nl/en/courses/master/the-sound-of-innovation/admission|https://www.artez.nl/en/study-at-artez/arrange-your-study/tuition-fees,PARTIALLY_VERIFIED,W1-G,2026-08-22,"DISCONTINUED - 'From the 2025-2026 academic year onwards, no new students will be admitted.' NOT AVAILABLE FOR SEPTEMBER 2027. Logged so it is not re-chased in a later wave.",Would have been an outstanding fit (explicitly admitted TECHNOLOGY backgrounds). DO NOT PURSUE. Re-check in Wave 2 only to see whether ArtEZ has launched a successor master at the Academy of Pop Music.
G-009,G,Sound Studies and Sonic Arts (Master of Arts),Master of Arts - continuing-education (Weiterbildung) master at a state university of the arts,Universitat der Kunste Berlin (UdK Berlin),Public university of the arts,Berlin,Germany,single_site,English,"C1 (TOEFL iBT 100, IELTS 6.5 or equivalent)",TBC,TBC,TBC,"Described on the official page as 'a continuing education program, this study is tuition-driven' - i.e. a fee-paying Weiterbildung master. Exact fee not published on the pages opened this session. Application fee EUR 30.",NO - ADMISSIONS DISCONTINUED,1 February 2026,"1 March 2026 (FINAL EVER INTAKE, for winter semester 2026/27)",2026 cycle - there is no 2027 cycle,"Bachelor's degree or equivalent (minimum 6 semesters); RELEVANT PROFESSIONAL EXPERIENCE IN THE FIELD OF SOUND, MINIMUM ONE YEAR; artistic and creative talent assessed by entrance examination; English C1.",likely,"YES - PORTFOLIO + ENTRANCE EXAM + INTERVIEW. Portfolio of max 5 work samples, total runtime <=20 minutes, plus an information document per sample (title, genre, year, context, your role), uploaded to bemus.udk-berlin.de. Formal PDF set (max 20MB) with EUR 30 application-fee proof, uni-assist VPD where applicable, transcripts, English certificate, 1-page motivation letter, CV and third-party evidence of professional experience. Then a theoretical or practical assignment in April, an aptitude test for some tracks, and an admission interview; notifications in May.",TBC,TBC,TBC,n/a,https://www.udk-berlin.de/en/courses/sound-studies-and-sonic-arts-master-of-arts/,https://www.udk-berlin.de/en/courses/sound-studies-and-sonic-arts-master-of-arts/apply/how-to-apply/,TBC,https://www.udk-berlin.de/en/courses/sound-studies-and-sonic-arts-master-of-arts/|https://www.udk-berlin.de/en/courses/sound-studies-and-sonic-arts-master-of-arts/apply/requirements/|https://www.udk-berlin.de/en/courses/sound-studies-and-sonic-arts-master-of-arts/apply/how-to-apply/,VERIFIED,W1-G,2026-08-22,"CONFLICT IN THE LEAD DATA RESOLVED THIS SESSION: the programme is BEING PHASED OUT. The official application page states 'No new students will be admitted to the Master's program in Sound Studies and Sonic Arts for the 2026/27 winter semester.' The Feb-Mar 2026 window was the last. NOT AVAILABLE FOR SEPTEMBER 2027. Secondary issue even if it were open: fee-paying Weiterbildung master, and it required one year of documented professional sound experience.",DO NOT PURSUE for a 2027 start. Logged in full because it is Berlin's flagship sound master and its absence is the single biggest gap in Berlin coverage on this path. Wave 2 should check whether UdK launches a successor programme.
G-010,G,Tonmeister*in fur audiovisuelle Medien (Sound Design for Audiovisual Media),Master of Fine Arts (M.F.A.) - state film university degree,Filmuniversitat Babelsberg KONRAD WOLF,Public film university,Potsdam-Babelsberg,Germany,single_site,German,n/a - German required,36 (6 semesters),120 LP,0,Public German university - no tuition fee; a semester contribution and an administrative application fee apply (amounts not published on the pages opened this session).,YES - application period 12 April to 18 May 2027 for the following winter semester,12 April 2027,18 May 2027,2027 cycle - stated explicitly on the official application page,Applicants should have successfully completed the Sound B.F.A. programme or have comparable qualifications. Proof of German at least at DSH-1 level or an equivalent certificate is required where the university entrance qualification came from a non-German-speaking institution.,unclear,"YES - HEAVY. Work samples: documentation of projects from the past three years (max 12 pages); VIDEO MATERIAL TOTALLING 15 MINUTES showing AT LEAST THREE FILMS on which the applicant handled the sound design; and one self-recorded or self-mixed music piece. Three-part admission test: (1) music test - interval, rhythm and chord identification plus a PIANO AUDITION; (2) interview presenting the submitted works; (3) practical exam creating a score for a short film in Pro Tools.",TBC,"DAAD Study Scholarship - Postgraduate Studies in the Fields of Fine Art, Design, Film (to verify)",TBC,TBC,https://www.filmuniversitaet.de/en/studies/study-programs/master-programs/sound-design-for-audiovisual-media,https://www.filmuniversitaet.de/en/studies/study-programs/master-programs/sound-design-for-audiovisual-media/application,TBC,https://www.filmuniversitaet.de/en/studies/study-programs/master-programs/sound-design-for-audiovisual-media|https://www.filmuniversitaet.de/en/studies/study-programs/master-programs/sound-design-for-audiovisual-media/application,VERIFIED,W1-G,2026-08-22,"in_scope = flagged_exception - POTSDAM IS OUTSIDE BERLIN CITY. Logged deliberately per the brief's exception rule, NOT silently included. Other blockers: German at DSH-1; a PIANO AUDITION and ear-training test; and a portfolio requiring three completed films with the applicant credited on sound design - the client currently has none. 300-ECTS engineering diploma does not substitute for the expected Sound B.F.A.","in_scope = flagged_exception. THE MOST PRECISE CONTENT FIT ON THE ENTIRE PATH - it is literally the German film-sound master, tuition-free, at Europe's largest film university, 25 minutes from central Berlin by S-Bahn. Deadline is genuinely the 2027 cycle (12 April - 18 May 2027) which lands exactly on the client's target. Realistically a 2028+ target unless the portfolio and German both come together fast. Escalate the exception decision to the human."
