id,path_letter,program_name,degree_awarded,institution,institution_type,city,country,mobility,language_of_instruction,english_level_required,duration_months,ects,tuition_non_eu_eur_per_year,tuition_notes,intake_2027_confirmed,application_opens,application_deadline,deadline_source_cycle,entry_requirements_summary,accepts_engineering_bachelor,portfolio_or_audition_required,scholarship_available,scholarship_names,scholarship_coverage_level,tunisia_eligible,program_url,admissions_url,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,fit_notes
L-001,L,Master Cultural Economics and Entrepreneurship,MA,"Erasmus University Rotterdam (Erasmus School of History, Culture and Communication)",public research university,Rotterdam,Netherlands,single_site,English,IELTS Academic 7.0 (min 6.5 per section) / TOEFL iBT 100 (min 23); Cambridge C1-C2 185; PTE 75; scores max 2 years old,12,60,21000,ESHCC institutional fee for non-EEA students 2026-2027 = EUR 21000; EEA statutory fee EUR 2694. Programme fee page defers to central tuition page. 2027-2028 rate not yet published.,TBC,TBC,1 May (non-EEA); 1 August (EEA),"cycle year not stated on admission page - 2027 TBC (a secondary source cited 15 April non-EEA / 15 May EEA for 2026-2027: CONFLICT, use official 1 May)",Bachelor's from a recognised research university (or equivalent international qualification) with good overall result; some university-level training in economics; documented sustained interest in arts and culture; academic training in empirical research methods. Pre-master route available for applicants who fall short.,unclear,no,yes,Erasmus Trustfonds Scholarship|Fulbright (US only)|LPDP (Indonesia only)|StuNed (Indonesia only),partial,TBC - Erasmus Trustfonds is aimed at non-EEA students generally; Tunisian eligibility not stated on the official page,https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship,https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship/admission,https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship/fees-and-finances,https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship|https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship/admission|https://www.eur.nl/en/master/cultural-economics-and-entrepreneurship/fees-and-finances|https://www.eur.nl/en/education/practical-matters/registration/tuition-fee/tuition-fee-2026-2027,PARTIALLY_VERIFIED,W1-L,2026-08-22,NVAO-accredited public university - no accreditation concern. High English bar (IELTS 7.0) and no test taken yet. Economics prerequisite may require the pre-master. Erasmus Trustfonds amount could not be confirmed on eur.nl this session (its scholarship page returned 404).,"THE flagship programme for Path L: cultural economics + cultural entrepreneurship in one 60-ECTS MA. Client's 300-ECTS engineering diploma far exceeds the bachelor bar; the risk is the economics/empirical-methods prerequisite, not the level. Thesis can plausibly be an economics-of-music-tech venture study. Mild overlap with Path J (music industry economics is taught within the cultural sector frame) but the programme is squarely venture/economics, not industry-jobs."
L-002,L,"Master Arts, Culture and Society",MA,"Erasmus University Rotterdam (Erasmus School of History, Culture and Communication)",public research university,Rotterdam,Netherlands,single_site,English,IELTS Academic 7.0 (min 6.5 per section) / TOEFL iBT 100 (min 23); Cambridge 185; PTE 75; max 2 years old,12,60,21000,ESHCC institutional non-EEA fee 2026-2027 = EUR 21000 (same faculty tier as L-001); statutory EEA fee EUR 2694.,TBC,TBC,1 May (non-EEA); 1 August (EEA) per admission page - programme overview page shows 15 May for EEA,cycle year not stated - 2027 TBC; internal CONFLICT between overview and admission page,"Bachelor's from a recognised research university or equivalent; academic background in arts and culture studies combined with sociology or a relevant social science (political science, organisational science, marketing, didactics); training in empirical research methods mandatory. Motivation, CV, GPA and international background also weighed.",unclear,no,yes,Erasmus Trustfonds Scholarship,partial,TBC,https://www.eur.nl/en/master/arts-culture-and-society,https://www.eur.nl/en/master/arts-culture-and-society/admission,https://www.eur.nl/en/master/arts-culture-and-society/fees-and-finances,https://www.eur.nl/en/master/arts-culture-and-society|https://www.eur.nl/en/master/arts-culture-and-society/admission|https://www.eur.nl/en/education/practical-matters/registration/tuition-fee/tuition-fee-2026-2027,PARTIALLY_VERIFIED,W1-L,2026-08-22,Subject-background requirement (arts/culture + sociology) is stricter than L-001 and does not match an engineering profile. Deadline conflict between two official EUR pages.,"Sibling programme to L-001 at the same faculty; less entrepreneurship, more policy/organisation of culture. Logged for completeness - L-001 dominates it for this client. Overlaps Path J only lightly."
L-003,L,"MA Arts and Culture - track Arts, Policy and Cultural Entrepreneurship",MA in Arts and Culture,"University of Groningen (Rijksuniversiteit Groningen), Faculty of Arts",public research university,Groningen,Netherlands,single_site,English,IELTS Academic 6.5 / TOEFL iBT 90 / Cambridge C1 180 (Faculty of Arts one-year MA level),12,60,19900,Non-EU/EEA fee 2026-2027 = EUR 19900; EU/EEA statutory fee EUR 2694. 2027-2028 rate not yet published.,yes - RUG pages already show a September 2027 start with a 1 May 2027 non-EU deadline,TBC,"1 May 2027 (non-EU/EEA, September 2027 start)",2027 cycle (stated on RUG page),"Direct admission for a BA in Arts, Culture and Media; related fields (arts philosophy, sociology, arts policy, film, music, theatre, literature) assessed by the admissions board. Non-cognate degrees are individually assessed; no technical/engineering bachelor is listed as directly eligible.",unclear,no,yes,NL Scholarship (Holland Scholarship)|University of Groningen Talent Grant / OTS (restricted nationalities),partial,"TBC - NL Scholarship is open to non-EEA students generally; the Talent Grant/OTS was described for Russia, India and Indonesia only, so Tunisia likely excluded from that one",https://www.rug.nl/masters/arts-policy-and-cultural-entrepreneurship/,https://www.rug.nl/education/application-enrolment-tuition-fees/admission/procedures/non-dutch-qualification/master-non-dutch-qualification,https://www.rug.nl/education/master/international-students/financial-matters/holland-scholarship/,https://www.rug.nl/masters/arts-policy-and-cultural-entrepreneurship/|https://www.rug.nl/masters/cultural-leadership/,PARTIALLY_VERIFIED,W1-L,2026-08-22,"The fetched track page served content that partly described the sibling 'Arts in Society' track - the fee, deadline and English data are faculty-wide and reliable, but the track-specific entry text needs a re-read in Wave 2. Humanities-cognate entry profile is the main admission risk.",Only Dutch MA that puts 'Cultural Entrepreneurship' in the track title. Explicit 2027-cycle deadline already published - rare and useful. Client's 300 ECTS clears the level bar; the subject bar is the question. Music-venture thesis plausible (arts policy + entrepreneurship). Path J overlap: low.
L-004,L,MA Arts and Culture (Research) - track Cultural Leadership,MA in Arts and Culture (research),"University of Groningen (Rijksuniversiteit Groningen), Faculty of Arts",public research university,Groningen,Netherlands,single_site,English,IELTS Academic 7.0 / TOEFL iBT 100 / Cambridge C1 Advanced 185,24,120,19900,Non-EU/EEA fee 2026-2027 = EUR 19900 per year (x2 years); EU/EEA statutory EUR 2694.,yes - 1 May 2027 deadline for a September 2027 start is published,TBC,"1 May 2027 (non-EU/EEA, September 2027 start)",2027 cycle (stated on RUG page),"Bachelor in any humanities discipline or a discipline relevant to leadership in the cultural domain (archaeology, history, language and culture, arts and culture, media studies, religious studies). Social sciences, business administration and international organisation graduates admitted if they demonstrate clear affinity with and knowledge of the arts and humanities.",unclear,no,yes,NL Scholarship (Holland Scholarship),partial,TBC,https://www.rug.nl/masters/cultural-leadership/,https://www.rug.nl/masters/cultural-leadership/,https://www.rug.nl/education/master/international-students/financial-matters/holland-scholarship/,https://www.rug.nl/masters/cultural-leadership/,PARTIALLY_VERIFIED,W1-L,2026-08-22,"Two-year research master at EUR 19900/year = ~EUR 39800 tuition with only partial scholarships found - poor fit with a funding-first strategy unless a full award is secured. IELTS 7.0 bar. Research-track, not venture-track.","Explicitly names 'cultural entrepreneurs, designing, promoting and organizing cultural events' as an outcome. Research orientation makes it the weaker RUG option for a founder profile, but it is the only 120-ECTS cultural-leadership research master found in scope. No Path J overlap."
L-005,L,MSc Business Administration - Entrepreneurship and Management in the Creative Industries,MSc Business Administration,"University of Amsterdam (UvA), Amsterdam Business School",public research university,Amsterdam,Netherlands,single_site,English,TBC - not published on the programme's admission page fetched this session,12,60,24050,"UvA central tuition page 2026-2027 lists institutional (non-EEA) master fees of EUR 24050 for Amsterdam Business School and EUR 21800 for Amsterdam School of Economics; statutory fee EUR 2694. The programme-specific fee page did not restate a figure, so the ABS tier is an inference - re-confirm in Wave 2.",TBC,TBC,15 January (non-EU/EEA scholarship applicants); 1 April (non-EU/EEA needing visa/housing) - September 2026 intake now closed,2026 cycle - 2027 TBC,"Bachelor's degree; separate requirement pages for international-degree, Dutch-university and HBO applicants (not fetched). A pre-master's route exists for applicants who do not meet the standard entry requirements. Specific ECTS in business/economics/methods not stated on the page fetched.",unclear,no,yes,TBC - the programme page refers to 'several scholarships' without naming them (Amsterdam Merit Scholarship and Holland Scholarship not confirmed this session),partial,TBC,https://www.uva.nl/en/programmes/masters/business-administration-entrepreneurship-and-management-in-the-creative-industries/business-administration-entrepreneurship-and-management-in-the-creative-industries.html,https://www.uva.nl/en/programmes/masters/business-administration-entrepreneurship-and-management-in-the-creative-industries/application-and-admission/application-and-admission.html,https://www.uva.nl/en/education/fees-and-funding/tuition-fees/tuition-fees.html,https://www.uva.nl/en/programmes/masters/business-administration-entrepreneurship-and-management-in-the-creative-industries/business-administration-entrepreneurship-and-management-in-the-creative-industries.html|https://www.uva.nl/en/programmes/masters/business-administration-entrepreneurship-and-management-in-the-creative-industries/application-and-admission/application-and-admission.html|https://www.uva.nl/en/programmes/masters/business-administration-entrepreneurship-and-management-in-the-creative-industries/tuition-fee/tuition-fee.html|https://www.uva.nl/en/education/fees-and-funding/tuition-fees/tuition-fees.html,PARTIALLY_VERIFIED,W1-L,2026-08-22,Highest non-EU tuition of any NL row here (~EUR 24050). Scholarship deadline is roughly 3.5 months earlier than the standard deadline (mid-January) - a hard planning constraint for a Sept 2027 start. English requirement and exact entry ECTS still unread.,"Second flagship for Path L and the most business-school-shaped of the NL options: one of the very few BA/MSc programmes worldwide studying the cultural and creative industries (explicitly music, fashion, arts) from a business-science angle, in Amsterdam - the client's top-priority region. Engineering + programming background is a genuine differentiator here. Music-tech venture thesis is a natural fit. Path J overlap: moderate - it teaches the music industry, but from the founder/manager side."
L-006,L,Master Arts and Society,MA Arts and Culture,Utrecht University,public research university,Utrecht,Netherlands,single_site,English,TBC,12 (full-time) or 24 (part-time),TBC (not stated on the page fetched; NL one-year MA is normally 60),21342,Institutional (non-EU/EEA) fee 2026-2027 = EUR 21342 per the programme page. 2027-2028 rate not yet published.,TBC,TBC,TBC,TBC,Selective programme; the overview page states entry requirements are on a separate page which returned 404 this session. Bachelor-level qualification required; specific accepted disciplines not confirmed.,unclear,TBC,TBC,TBC (Utrecht Excellence Scholarships not confirmed for this programme this session),TBC,TBC,https://www.uu.nl/en/masters/arts-and-society,TBC - https://www.uu.nl/en/masters/arts-and-society/entry-requirements returned 404 this session,TBC,https://www.uu.nl/en/masters/arts-and-society,PARTIALLY_VERIFIED,W1-L,2026-08-22,Entry-requirements and funding pages could not be opened this session. Fee is the highest of the NL public-university rows.,"Includes internships in cultural enterprises and frames graduates for the arts/media/cultural sector, but 'entrepreneurship' is not a named curriculum strand - weaker Path L fit than L-001/L-003/L-005. Needs a Wave 2 re-verification pass. No Path J overlap."
L-007,L,MBA Imagineering,MBA,Breda University of Applied Sciences (BUas),university of applied sciences (hogeschool),Breda,Netherlands,single_site,English,IELTS Academic 6.0 / TOEFL iBT 80 / Cambridge B2 First 169 / PTE 61 / LanguageCert Academic 65,12 (full-time) or 18 (executive part-time),60,17250,"EUR 17250 stated for 2026-2027 on the programme page; the page does not split EU vs non-EU rates, so the single figure is taken as applying to non-EU too - confirm in Wave 2.",TBC,TBC,15 August (1 July recommended),cycle year not stated - 2027 TBC,"Bachelor's degree (or equivalent) plus relevant work experience and strong personal motivation. Bachelors in tourism, leisure, sports, culture or business management/economics are named; applicants from other fields may be admitted with additional coursework depending on test results, work experience and first-degree field.",likely,no,TBC,TBC,TBC,TBC,https://www.buas.nl/en/programmes/master-imagineering,https://www.buas.nl/en/programmes/master-imagineering/admission-requirements,TBC,https://www.buas.nl/en/programmes/master-imagineering|https://www.buas.nl/en/programmes/master-imagineering/admission-requirements,PARTIALLY_VERIFIED,W1-L,2026-08-22,"Work experience is listed as a requirement - the client is a fresh graduate, so this is the main eligibility risk. NVAO accreditation not stated on the pages read (BUas is a funded Dutch UAS so it is expected, but confirm). No scholarship found.","Experience-economy / creative business design MBA with an explicit startup track (BUas Startup Support, BUSS) - a genuine venture-building master rather than a cultural-policy one. Lowest English bar of the NL rows (IELTS 6.0), which matters given no test taken yet. Music-experience venture (events, live, immersive audio) is exactly the kind of graduation project this programme runs. No Path J overlap."
L-008,L,"Master Crossover Creativity (deeltijd) [Crossover Creativity Master, part-time]",MA,HKU University of the Arts Utrecht (Hogeschool voor de Kunsten Utrecht),university of applied sciences / art school,Utrecht,Netherlands,single_site,Dutch (programme states 'This programme is in Dutch only'),not applicable - Dutch proficiency required instead,24 (part-time),60,TBC,"HKU official pages read this session did not publish the fee. A secondary Dutch study portal reported statutory EUR 2209 and institutional EUR 10051 - NOT confirmed on hku.nl, treat as a lead only.",TBC,TBC,TBC,TBC,"Bachelor's degree; demonstrable designing, creative and exploratory knowledge and skills; critical and open mindset; proven Dutch-language proficiency. Selection is via four assignments about your own fascinations, talents and cross-sector idea (creative engineering / applied design / social entrepreneurship).",likely,yes - four selection assignments plus an own cross-sector project idea (portfolio-equivalent),TBC,TBC,TBC,TBC,https://www.hku.nl/en/study-at-hku/creative-transformation/master-crossover-creativity-(part-time),https://www.hku.nl/en/study-at-hku/creative-transformation/master-crossover-creativity-(part-time),TBC,https://www.hku.nl/en/study-at-hku/explore-and-apply/masters|https://www.hku.nl/en/study-at-hku/creative-transformation/master-crossover-creativity-(part-time),PARTIALLY_VERIFIED,W1-L,2026-08-22,"DUTCH-ONLY instruction and Dutch-proficiency entry requirement - effectively closed to the client for a Sept 2027 start. Part-time only (HKU's masters index now lists only the part-time variant), which is normally incompatible with a Dutch student residence permit for a non-EU national. Fee unpublished on the official site.","Conceptually a very strong Path L fit - creative engineering + social entrepreneurship + own cross-sector venture, at an arts university - but the Dutch-only, part-time structure makes it near-unusable for a Tunisian applicant. Logged so the orchestrator does not re-discover it. No Path J overlap."
L-009,L,Master Universitari en Gestio Cultural / Master Universitario en Gestion Cultural (Official Master's degree in Cultural Management),Master Universitario Oficial,Universitat de Barcelona (UB),public university,Barcelona,Spain,single_site,"Catalan 78%, Spanish 12%, English 10% (final project may also be in French, Italian or Portuguese)",not required as an entry test - the programme is Catalan-dominant,18 (3 semesters over 2 academic years),90,TBC,"Price per credit 2025-2026: EUR 19.37/credit for EU students-residents and EUR 82.00/credit for non-EU non-residents. 90 ECTS at the non-EU rate; UB does not publish a single annual figure and the credit split across the three semesters was not stated, so no annual figure is asserted here.",TBC,29 January 2026 (first pre-registration period),"26 March 2026 (first period, entrance test 27 March 2026); second period 28 March - 9 July 2026 (test 10 July 2026)",2026 cycle (for a September 2026 start) - 2027 TBC,Open to university graduates from any bachelor background; the programme states it values a real interest in cultural management. Pre-registration includes an entrance test on a fixed date.,likely,no - but a written entrance test is part of pre-registration,yes,UB general master's grants (beques i ajuts de master)|50% credit-price discount in year 2 for top-performing students,partial,TBC,https://www.ub.edu/cultural/master-universitari-en-gestio-cultural/?lang=en,https://www.ub.edu/acad/pops/acces/identificacio3.php,http://www.ub.edu/web/ub/es/estudis/suport_estudi/beques_ajuts/master/beques_master.html,https://www.ub.edu/cultural/master-universitari-en-gestio-cultural/?lang=en|https://web.ub.edu/en/web/estudis/w/masterdegree-m0304,PARTIALLY_VERIFIED,W1-L,2026-08-22,"Titulo OFICIAL - accreditation fine for visa and scholarships. Main risk is language: 78% Catalan instruction, which is a harder barrier than Spanish. Non-EU credit price is 4.2x the EU price. 90 ECTS over 3 semesters means a longer, costlier programme than the 60-ECTS NL options.","Barcelona is the client's highest-priority city and this is the reference official cultural-management master there, at a low absolute cost (roughly EUR 7.4k total at the published non-EU per-credit rate). Any bachelor is accepted, so the 300-ECTS engineering diploma is not a barrier. Entrepreneurship is a component, not the spine - it sits between Path L and cultural administration. No Path J overlap."
L-010,L,Master universitario online en Gestion Cultural (interuniversitario UOC-UdG) [Cultural Management],Master Universitario Oficial (joint UOC / Universitat de Girona),Universitat Oberta de Catalunya (UOC) with Universitat de Girona (UdG),public online university (UOC) + public university (UdG),Barcelona / Girona (fully online),Spain,single_site,Spanish and Catalan (separate cohorts),not required,12 (full-time) or 24 (part-time),60,TBC,"EUR 25.82 per credit plus EUR 18.30 per credit for learning resources for EU students; indicative total EUR 2900 for EU full-time students and EUR 4330-4840 for non-EU students depending on duration, per the UOC programme page. Because the non-EU total spans one or two years, no single annual figure is asserted.",TBC,April (for the September/October start); October (for the February/March start),June (for the September/October start) - exact date not published on the page read,2026 cycle (October 2026 start shown) - 2027 TBC,"An official university degree is required; any bachelor gives access. Recommended backgrounds are humanities, social sciences or communication, but the programme is not restricted to them.",likely,no,TBC,TBC,TBC,TBC,https://www.uoc.edu/es/estudios/masters/master-universitario-gestion-cultura,https://www.uoc.edu/es/estudios/masters/master-universitario-gestion-cultura,TBC,https://www.uoc.edu/es/estudios/masters/master-universitario-gestion-cultura,PARTIALLY_VERIFIED,W1-L,2026-08-22,"100% ONLINE - a fully online master does not normally support a Spanish student visa/residence permit for a Tunisian national, which undercuts the whole relocation goal. Titulo oficial (accreditation fine). Taught in Spanish/Catalan only.","By far the cheapest official Spanish route into cultural management (EUR ~4.3-4.8k total for non-EU) and it explicitly trains students to run their own cultural project, but the online format conflicts with the client's move-to-Europe objective. Worth keeping as a fallback/parallel credential. No Path J overlap."
