id,path_letter,program_name,degree_awarded,institution,institution_type,city,country,mobility,language_of_instruction,english_level_required,duration_months,ects,tuition_non_eu_eur_per_year,tuition_notes,intake_2027_confirmed,application_opens,application_deadline,deadline_source_cycle,entry_requirements_summary,accepts_engineering_bachelor,portfolio_or_audition_required,scholarship_available,scholarship_names,scholarship_coverage_level,tunisia_eligible,program_url,admissions_url,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,fit_notes
N-001,N,Master in Sound and Music Computing (SMC),"Master's degree (master universitari, UPF)",Universitat Pompeu Fabra (Music Technology Group),Public university,Barcelona,Spain,single_site,English,TBC,12,60,TBC,Not verified this session: www.upf.edu returns HTTP 403 to every automated fetch (WebFetch and curl).,TBC,TBC,TBC,2026 cycle - 2027 TBC,Selection on academic CV relevant to sound/music computing plus motivation letter; up to 50 ECTS of complementary undergraduate credits may be added for applicants missing background (extending to 2 years).,likely,no,TBC,TBC,none_found,TBC,https://www.upf.edu/web/smc,https://www.upf.edu/web/smc/faq,TBC,https://www.upf.edu/web/smc|https://www.upf.edu/web/smc/academic-program|https://www.upf.edu/web/mtg/news/-/asset_publisher/WM181VyAQipW/content/application-open-for-the-master-in-sound-and-music-computing-2026-2027/maximized,UNVERIFIED,W1-N,2026-08-22,upf.edu blocks automated access (403) - every figure here must be re-checked by hand in a browser. Search-surfaced text from the official UPF pages indicates 60 ECTS and four 2026-27 application rounds (14 Jan / 4 Mar / 27 Apr / 5 Jun 2026); NOT logged as fact.,"The single most on-target program in Spain for this client: a computer-science-grade master built inside the Music Technology Group (Freesound, Essentia, AI music research). A software engineer is the archetypal applicant - the syllabus is DSP, machine learning for audio and audio software engineering, and the thesis is a music-tech artefact. Highest priority for manual verification in Wave 2."
N-002,N,Master in Human Interaction and Artificial Intelligence (MHIAI),"Master's degree awarded by UVic-UCC and Elisava (own-degree title, not a master universitario oficial)",Elisava Barcelona School of Design and Engineering (UVic-UCC),Private university-affiliated design and engineering school,Barcelona,Spain,single_site,English,TBC,10,60,12400,"EUR 12,400 for academic year 2026-27 plus EUR 500 registration fee; same price quoted for all nationalities.",no,TBC,TBC,2026 cycle - 2027 TBC,"Official university degree or equivalent in design, engineering, architecture or related disciplines. Evening timetable (Tue/Thu/Fri 17:00-21:15) in Barcelona.",yes_explicit,no,yes,Elisava Masters' Scholarships (28 x 50% of tuition; next call March 2027),partial,"likely - the call states anyone applying to an Elisava master may apply, no nationality restriction stated",https://ai.elisava.net/master/human-interaction-ai/,https://www.elisava.net/en/how-to-apply/,https://www.elisava.net/en/masters/elisava-masters-scholarships/,https://ai.elisava.net/master/human-interaction-ai/|https://www.elisava.net/en/masters/|https://www.elisava.net/en/masters/elisava-masters-scholarships/,VERIFIED,W1-N,2026-08-22,"Own-degree (titulo propio-style) award issued by UVic-UCC, NOT a Spanish master universitario oficial - check consequences for the Tunisian student visa and for any later doctoral route. Evening schedule means the year is compatible with freelance/part-time work.","Maker-studio master where an engineer builds interactive AI-driven interfaces; a generative-music instrument or an adaptive-audio interface is a plausible final project. Engineering degrees are named explicitly in the admission text, so the 300-ECTS diploma clears the bar with room to spare. Cheapest of the Elisava options that is taught in English."
N-003,N,University Master in Interdisciplinary Design and Communication Studies (Master Universitario en Estudios Interdisciplinarios en Diseno y Comunicacion),Master universitario oficial (official Spanish master's degree) awarded by UVic-UCC,Elisava Barcelona School of Design and Engineering (UVic-UCC),Private university-affiliated design and engineering school,Barcelona,Spain,single_site,Spanish (some classes and workshops in English),TBC,10,60,11700,"EUR 11,700 plus EUR 500 pre-registration; university administrative fees not included.",no,TBC,TBC,2026 cycle - 2027 TBC (start date 26 September 2026 published),"Bachelor in design, communication, marketing, multimedia, digital creation, product development, architecture, urbanism or fine arts; humanities/social-science graduates by committee evaluation; other graduates need 3+ years professional experience in design or communication.",unclear,yes,yes,Elisava Masters' Scholarships (1 x 50% reserved for this official master; next call March 2027),partial,likely - no nationality restriction stated in the call,https://www.elisava.net/en/masters/university-master-in-design/,https://cdnmedia.elisava.net/main-web/2023/01/02160744/eng-20260702_requisits-dadmissio-i-criteris-de-seleccio-del-mueidc.pdf,https://www.elisava.net/en/masters/elisava-masters-scholarships/,https://www.elisava.net/en/masters/university-master-in-design/|https://www.elisava.net/en/masters/elisava-masters-scholarships/,VERIFIED,W1-N,2026-08-22,"Taught in Spanish - the client has no Spanish, so this needs a language plan. Engineering is not in the named list of accepted bachelors, so admission would rest on committee evaluation; 'product development' is the closest listed field.",The only Elisava route that ends in an OFFICIAL Spanish master's degree - materially better for the student visa and for any later PhD. Research-and-prototype structure (theoretical report + material prototype + scientific poster) suits an engineer who wants a documented music-interface artefact rather than a portfolio piece.
N-004,N,Master in Design and Management of User Experience (UX) and Digital Services,Own-degree master issued by UVic-UCC (not official),Elisava Barcelona School of Design and Engineering (UVic-UCC),Private university-affiliated design and engineering school,Barcelona,Spain,single_site,Spanish (some material/lectures in English),TBC,10,60,11250,"EUR 11,250 plus EUR 500 pre-registration fee.",no,TBC,TBC,2026 cycle - 2027 TBC (start 26 September 2026 published),"Preferred backgrounds design, engineering, communication or advertising; junior UX/UI designers and project managers; professional experience can substitute for a formal degree.",yes_explicit,TBC,yes,Elisava Masters' Scholarships (50% of tuition; next call March 2027),partial,likely,https://www.elisava.net/en/masters/master-in-design-and-management-of-user-experience-ux-and-digital-services/,https://www.elisava.net/en/how-to-apply/,https://www.elisava.net/en/masters/elisava-masters-scholarships/,https://www.elisava.net/en/masters/master-in-design-and-management-of-user-experience-ux-and-digital-services/|https://www.elisava.net/en/masters/elisava-masters-scholarships/,VERIFIED,W1-N,2026-08-22,"Spanish-language delivery at a high level is required. Own-degree award, not official - visa and recognition implications.","Product-side complement to an engineering degree: service design, UX research and digital product management. Useful if the target is founding or leading a music-app product team rather than doing DSP; weaker on the audio-technology side than N-001 or N-002."
N-005,N,Master in Applied AI for Arts and Design,Own-degree master issued by UVic-UCC (not official),Elisava Barcelona School of Design and Engineering (UVic-UCC),Private university-affiliated design and engineering school,Barcelona,Spain,single_site,English (Barcelona campus); Spanish (Madrid campus),TBC,10,60,13450,"EUR 13,450 plus EUR 500 pre-registration fee.",no,TBC,TBC,2026 cycle - 2027 TBC (start 26 September published),Aimed at designers and artists working with technology; specific degree requirements not published on the programme page.,unclear,TBC,yes,Elisava Masters' Scholarships (50%),partial,likely,https://www.elisava.net/en/masters/master-ai-design/,https://www.elisava.net/en/how-to-apply/,https://www.elisava.net/en/masters/elisava-masters-scholarships/,https://www.elisava.net/en/masters/master-ai-design/|https://ai.elisava.net/,PARTIALLY_VERIFIED,W1-N,2026-08-22,"Programme text targets designers and artists rather than engineers - the client would be the technical outlier (which can be an advantage, but confirm admission). Own-degree award.",Generative-AI creative practice with an English-taught Barcelona cohort; a generative-music or AI-assisted production tool is an obvious final project for someone who can already code the models.
N-006,N,Master in Design for Interaction and Extended Experiences,IED own master diploma (not a Spanish official degree),IED Barcelona (Istituto Europeo di Design),Private design school,Barcelona,Spain,single_site,English,TBC,11,TBC,15300,"EUR 15,300 total for the 11-month programme as published on the course page.",yes,TBC,TBC,2027 cycle (programme start January 2027 published on the official course page),"Design graduates and professionals interested in AI, technology, UX/UI, interaction and immersive projects; other profiles considered with a suitable portfolio. Evening classes, on campus in Gracia.",likely,yes,yes,IED Spain scholarships and grants (see funding_url),partial,TBC,https://www.ied.edu/courses/barcelona/master/design-for-interaction-and-extended-reality,https://www.ied.edu/apply-now?courseId=01tSX000003UfC5YAK,https://www.ied.edu/study-in-spain/scholarships-grants-and-fees,https://www.ied.edu/courses/barcelona/master/design-for-interaction-and-extended-reality,VERIFIED,W1-N,2026-08-22,"Private-school diploma, NOT a titulo oficial - check whether it supports the Tunisian student visa and later recognition. ECTS load not published. January start (not September), which breaks the September-2027 intake assumption.","Studio culture with four client-brief projects plus a thesis, in English, at a price well under the Dutch non-EU fees. Portfolio is required but 'other profiles with a suitable portfolio' is explicit, so the in-progress music portfolio can carry the application. Strong for building interactive/immersive audio experiences."
N-007,N,"Master Universitari en Estudis Avancats en Disseny - Barcelona (MBDesign), specialty Disseny, Innovacio i Tecnologia (Design, Innovation and Technology)",Master universitario oficial (interuniversity UPC-UB),Universitat Politecnica de Catalunya with Universitat de Barcelona,Public university,Barcelona,Spain,single_site,"English for the Contemporary Design and Design, Innovation and Technology specialties; Catalan/Spanish elsewhere",TBC,12,60,TBC,Public Catalan master fee; non-EU surcharge not verified this session.,TBC,TBC,TBC,2026-2027 catalogue confirmed on upc.edu; 2027-28 dates TBC,"Interuniversity official master run by ETSAB, EPSEVG and ESEIAAT (UPC) with the UB Fine Arts faculty; 15 ECTS common core, 30 ECTS specialty, 15 ECTS final thesis.",likely,TBC,TBC,TBC,none_found,TBC,https://etsab.upc.edu/ca/estudis/mbdesign,https://www.upc.edu/ca/masters,TBC,https://etsab.upc.edu/ca/estudis/mbdesign|https://www.upc.edu/ca/masters|https://etsab.upc.edu/ca/shared/b-estudis/pdf/mbdesign/Trptic_MBDesign.pdf,PARTIALLY_VERIFIED,W1-N,2026-08-22,"Fees, deadlines and admission criteria not published on the pages opened this session - must be confirmed on the UPC master admissions portal. One of the five specialties is Industrial Design Engineering, so engineer intake is normal, but this is not stated as an explicit rule.","A public-university OFFICIAL master in design innovation and technology at roughly one third of Dutch non-EU fees - the strongest funding-first Spanish option found on this path. The Design, Innovation and Technology specialty is English-taught, and a 60-ECTS thesis year lets an engineer build and document a music-hardware or music-software product."
N-008,N,Master in Entrepreneurship and Open Innovation (MEINN),Official master's degree (Mondragon Unibertsitatea),Mondragon Unibertsitatea - Faculty of Business Studies / Mondragon Team Academy,Private cooperative university (official degrees),Bilbao,Spain,single_site,"Spanish, Basque and English",TBC,12,60,TBC,TBC,TBC,TBC,TBC,enrolment open at time of check; 2027 dates TBC,"Open to students from diverse educational backgrounds; team-entrepreneurship (Team Academy) pedagogy with coaches, real ventures and international learning journeys; in-person in Bilbao.",likely,no,TBC,TBC,none_found,TBC,https://www.mondragon.edu/en/master-degree-entrepreneurship-open-innovation,https://www.mondragon.edu/en/master-degree-entrepreneurship-open-innovation,TBC,https://www.mondragon.edu/en/master-degree-entrepreneurship-open-innovation|https://www.mondragonteamacademy.com/,PARTIALLY_VERIFIED,W1-N,2026-08-22,"Tuition not published on the official page. Bilbao, not Barcelona/Madrid. Language mix means some sessions may be in Spanish or Basque.","Venture-building master where the deliverable is a real company, not a dissertation - the right shape if the ambition is to found a music-tech product company. Official degree status protects the visa route. Team Academy alumni network is unusually strong for founders."
N-009,N,Master in User Experience (and the related La Salle-URL degree in Design and Creation of Interactive Products),TBC - La Salle runs both official masters and titulo propio programmes,La Salle Campus Barcelona - Universitat Ramon Llull,Private university,Barcelona,Spain,single_site,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,TBC,Not verified - the master page fetched this session returned content for a different (marketing) programme.,unclear,TBC,TBC,TBC,none_found,TBC,https://www.salleurl.edu/en/education/master-user-experience,TBC,TBC,https://www.salleurl.edu/en/education/master-user-experience|https://www.url.edu/en/press/news/institutional/2023/la-salle-url-launches-new-degree-design-and-creation-interactive-products|https://www.url.edu/en/node/867,UNVERIFIED,W1-N,2026-08-22,"The programme URL served content for the Marketing and Social Media Management master (titulo propio, Spanish, 60 ECTS, EUR fees not shown) - the UX master could not be confirmed. Treat this whole row as a lead to re-check by hand.","La Salle-URL is the Barcelona engineering-plus-creative-media school (games, interactive products, telecom engineering) and runs a Master of Lifelong Learning in Technology Management and Digital Innovation as well - the closest Spanish private-university analogue to a product-engineering master. Worth one manual pass in Wave 2 before discarding."
N-010,N,MSc Interaction Technology,Master of Science,University of Twente,Public research university,Enschede,Netherlands,single_site,English,TBC,24,120,21700,"Institutional (higher-rate) fee for non-EU/EEA students, EUR 21,700 for 2026-2027 (2025-2026 was EUR 18,900). 2027-2028 not yet published. February entrants pay 7/12 of the annual amount for the first period.",TBC,15 October 2026 (scholarship round),1 April 2027 (scholarship deadline; programme admission deadline TBC),2027 cycle for scholarships (window 15 Oct 2026 - 1 Apr 2027 published); programme admission deadline 2027 TBC,Research-university bachelor in a related field; a pre-master exists for HBO applicants; international applicants pass an online eligibility check. September and February starts.,likely,no,yes,"University of Twente Scholarship (UTS); NL/Holland Scholarship (EUR 5,000 first year); Kipaji Scholarship",partial,likely - UTS and NL Scholarship are open to excellent students from non-EU/EEA countries; Tunisia not named on the pages opened,https://www.utwente.nl/en/education/master/programmes/interaction-technology/,https://www.utwente.nl/en/education/master/programmes/interaction-technology/admission-application/,https://www.utwente.nl/en/education/scholarship-finder/,https://www.utwente.nl/en/education/master/programmes/interaction-technology/|https://www.utwente.nl/en/education/master/programmes/interaction-technology/finance/|https://www.utwente.nl/en/education/scholarship-finder/,VERIFIED,W1-N,2026-08-22,"Non-EU fee rose 15 percent in one year (18,900 to 21,700) - budget for a further rise in 2027-28. UTS is competitive and its deadline (1 April) precedes the usual admission deadline, so the scholarship drives the timetable.","The best pure fit on this path in the Netherlands for a software engineer: Interaction Technology is a technical HMI/affective-computing master with heavy prototyping (game-engine and XR development, experience design), taught in the Human Media Interaction group. It is also an EIT Digital HCID entry point, so the same application can open a double-degree route. A gesture/DJ-controller or adaptive-audio thesis sits naturally here."
