id,path_letter,program_name,degree_awarded,institution,institution_type,city,country,mobility,language_of_instruction,english_level_required,duration_months,ects,tuition_non_eu_eur_per_year,tuition_notes,intake_2027_confirmed,application_opens,application_deadline,deadline_source_cycle,entry_requirements_summary,accepts_engineering_bachelor,portfolio_or_audition_required,scholarship_available,scholarship_names,scholarship_coverage_level,tunisia_eligible,program_url,admissions_url,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,fit_notes
R-001,R,Veranstaltungstechnik und -management (Event Technology and Management),Master of Engineering (M.Eng.),Berliner Hochschule fuer Technik (BHT) - formerly Beuth Hochschule,public university of applied sciences (Fachhochschule),Berlin,Germany,single_site,German,none stated; German-taught. German proficiency proof required for foreign qualifications - level TBC,18,90,0,No tuition fees at Berlin public universities; only the Semesterbeitrag (semester contribution) applies - amount TBC on pages opened,no,TBC,TBC for Sommersemester. BHT master deadlines published for Wintersemester 2026/27: 04.05.2026-15.06.2026 (restricted) and 04.05.2026-15.09.2026 (admission-free). This programme starts only in Sommersemester and its window was not published on the pages opened.,2026 cycle - 2027 TBC,Assumes knowledge as taught in BHT's own Bachelor Theater- und Veranstaltungstechnik und -management. Bachelor graduates from other institutions holding fewer than 210 credits must complete additional modules before applying for the thesis. Kein NC (no admission restriction).,unclear,no,TBC,TBC,none_found,TBC,https://www.bht-berlin.de/m-vtm,https://www.bht-berlin.de/bewerbung,TBC,https://www.bht-berlin.de/m-vtm|https://studiengang.bht-berlin.de/veranstaltungstechnik/|https://www.bht-berlin.de/bewerbung|https://www.bht-berlin.de/termine,PARTIALLY_VERIFIED,W1-R,2026-08-22,"Accredited (page states Akkreditierung: Ja) M.Eng. at a staatlich anerkannt public Hochschule - a REAL master's degree, best-in-class for the visa. BUT: SUMMER-SEMESTER-ONLY INTAKE - a September 2027 start is impossible; nearest starts are Sommersemester 2027 (approx. March 2027) or Sommersemester 2028. German language of instruction. Admission is subject-specific and expects a theatre/event-technology bachelor; a generalist software-engineering diploma may require bridging modules or be refused. Summer-semester deadline not published on pages opened.","masters_degree - THE strongest genuine fit on this path anywhere in scope: a full engineering master's in event and theatre technology (rigging, stage machinery, event electrics, sound and lighting systems, safety, production management) at a public German university of applied sciences, tuition-free. Client's 300-ECTS engineering diploma far exceeds the 210-credit threshold mentioned, so the additional-modules clause on credit volume should not bite - the risk is subject match, not credit volume. Intake timing conflicts with the September 2027 target: raise with BHT directly."
R-002,R,Audiokommunikation und -technologie (Audio Communication and Technology),Master of Science (M.Sc.),Technische Universitaet Berlin (TU Berlin),public research university,Berlin,Germany,single_site,German,English B2 (CEFR) required in addition to German C1,24,120,0,No tuition fees; Semesterbeitrag only - amount not stated on the page opened,TBC,TBC,TBC - winter-semester intake; exact 2027 dates not published on the page opened,2026 cycle - 2027 TBC,"A first university degree in science, engineering, humanities, social science, arts, business or law. Prerequisites: mathematics at basic lecture level (min. 10 LP: analysis and linear algebra) and demonstrated competence in a programming language or computer algebra system. Open admission (no NC).",yes_explicit,no,TBC,TBC,none_found,TBC,https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/audio-communication-and-technology-m-sc,https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/audio-communication-and-technology-m-sc,TBC,https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/audio-communication-and-technology-m-sc|https://www.tu.berlin/en/ak,PARTIALLY_VERIFIED,W1-R,2026-08-22,"Fully accredited public-university M.Sc. (staatlich anerkannt), tuition-free - the cleanest visa and funding profile in Berlin. HARD BARRIER: German C1 certificate required for applicants with foreign qualifications; the whole programme is taught in German. Not a live-sound production degree: it is an audio technology and acoustics research master (electroacoustics, room and virtual acoustics, DSP, psychoacoustics), so PA/line-array system design appears only as underlying theory.","masters_degree - the best ENGINEERING-side fit for a software engineer in Berlin: admission explicitly names engineering degrees and requires exactly the maths and programming the client already has (yes_explicit; 300 ECTS massively exceeds any credit bar). Winter-semester intake aligns with a September/October 2027 start. Language is the gate, not the credential - German C1 by 2027 would be the whole project."
R-003,R,Master Universitario en Ingenieria Acustica (Master's Degree in Acoustic Engineering),Master Universitario Oficial (official Spanish master's degree),Universitat Politecnica de Valencia (UPV) - Campus de Gandia,public university,Gandia (Valencia),Spain,single_site,Spanish,not stated on the page opened (Spanish-taught),12,60,4240.80,"Type 2 rate for international non-resident students: EUR 70.68 per credit; from EUR 4,240.80 for the 60 ECTS. Fees page: https://www.upv.es/tuitionfees",TBC,Phase 0 (non-EU international applicants): 17 Nov 2025; Phase 1: 2 Mar 2026,Phase 0: 13 Feb 2026 (non-EU); Phase 1: 30 Apr 2026; Phase 2: 15-26 Jun 2026; Phase 3: 31 Jul-7 Aug and 24 Aug-4 Sep 2026,2026 cycle - 2027 TBC,Admission decided by the Master's Academic Commission on the undergraduate academic record plus postgraduate training and prior professional experience in acoustic engineering. Feeder degree is the UPV Telecommunications Engineering in Sound and Image degree.,likely,no,TBC,TBC,none_found,TBC,https://www.upv.es/estudios/master/muia/en/home/,https://www.upv.es/estudios/master/muia/en/admission/,https://www.upv.es/tuitionfees,https://www.upv.es/estudios/master/muia/en/home/|https://www.upv.es/estudios/master/muia/en/admission/|https://www.upv.es/tuitionfees|https://www.upv.es/contenidos/CGANDIA/noticiaf_1186280i.html,PARTIALLY_VERIFIED,W1-R,2026-08-22,"Genuine TITULO OFICIAL (official Spanish master's, RUCT-registered) at a public university - fully visa-safe and the only official Spanish master's found that touches sound-system engineering. Taught in Spanish. Content is acoustics engineering (architectural, environmental, underwater, electroacoustics, materials) - NOT live sound, front-of-house or touring production; the overlap is electroacoustics and system measurement. Gandia is a small coastal campus 65 km south of Valencia, not Barcelona/Madrid.","masters_degree - a real official master's where the client's credential is unambiguously sufficient (300 ECTS vs a 240-ECTS Spanish engineering norm; admission is by record, so likely rather than yes_explicit). Dedicated non-EU application phase opening in November is unusually early - diarise. Best Spanish option if the client will accept acoustics engineering as the academic frame for a live-sound career."
R-004,R,Master Universitario en Ingenieria Acustica (Master's Degree in Acoustic Engineering),Master Universitario Oficial (official Spanish master's degree),Universidad Politecnica de Madrid (UPM) - E.T.S. de Ingenieria y Sistemas de Telecomunicacion (ETSIST),public university,Madrid,Spain,single_site,Spanish,not stated on the pages opened,12,60,TBC,UPM rule: non-resident foreign students over 18 outside the EU/community regime pay the fourth-enrolment rate for masters in Annex I; exact per-credit figure not published on the pages opened - confirm with the ETSIST secretariat,TBC,TBC,TBC - the programme blog still showed 'plazo de admision para el curso 2024/2025' when opened; UPM central admission portal holds current dates,stale page - 2027 TBC,"Aimed mainly at graduates in Engineering and Architecture. 60 ECTS: 36 ECTS common core (Fundamentals, Technologies, Applications) plus 24 ECTS specialisation, including a 15-ECTS Master's thesis. 25 places, on-campus.",likely,no,TBC,TBC,none_found,TBC,https://www.etsist.upm.es/estudios-ingenieria-sistemas-telecomunicaciones-madrid/masters-ingenieria-madrid/master_ingenieria_acustica,https://www.upm.es/Estudiantes/Estudios_Titulaciones/Estudios_Master/Admision,https://www.upm.es/Estudiantes/Estudios_Titulaciones/Estudios_Master/Matricula,https://www.upm.es/Estudiantes/Estudios_Titulaciones/Estudios_Master/Programas?id=59.5&fmt=detail|https://blogs.upm.es/masteracustica/|https://www.upm.es/masters/acustica/?page_id=476,PARTIALLY_VERIFIED,W1-R,2026-08-22,"TITULO OFICIAL at a top public technical university - visa-safe. Spanish-taught. Programme content is environmental/architectural acoustics, noise control and ultrasonics - the live-sound overlap is thinner than at UPV Gandia. The dedicated programme blog was last updated for the 2024/25 admission round, so currency of published dates is poor; the UPM central catalogue does confirm the programme runs in 2026-27 with 25 places. ETSII UPM lists a same-named older plan as 'en extincion' - do not confuse the two.",masters_degree - Madrid's only official master's on this path. Client's 300-ECTS engineering diploma comfortably clears entry (programme is explicitly aimed at engineering graduates). Tuition figure is the key unknown; UPM's non-EU surcharge rule can push the price well above the headline public rate.
R-005,R,Master de Formacion Permanente en Produccion de Audio por UDIMA (Master in Audio Production),Master de Formacion Permanente (60 ECTS) awarded by UDIMA + Diploma Profesional from SAE Creative Media Education; a shorter 'Master Profesional' variant also exists,"SAE Institute Spain (SAE Creative Media Education), accredited by Universidad a Distancia de Madrid (UDIMA)",private academy (with private-university validation),Barcelona (also offered in Madrid),Spain,single_site,Spanish,not required; Spanish proficiency required,24,60,TBC,Price not disclosed on the programme page; 'Becas y Ayudas' referenced without detail,yes,TBC,TBC - rolling admission with interview,2026/2027 intakes published: Barcelona Oct 2026 and Feb 2027; Madrid Feb 2026 and Oct 2026,Bachelor's degree or equivalent for the 60-ECTS Master de Formacion Permanente (or 2+ years professional experience for the Master Profesional route); minimum age 18; Spanish language; admission interview.,likely,no,TBC,Becas y Ayudas (unspecified),none_found,TBC,https://www.sae.edu/esp/courses/produccion-de-audio/,https://www.sae.edu/esp/courses/produccion-de-audio/,TBC,https://www.sae.edu/esp/courses/produccion-de-audio/|https://www.sae.edu/esp/insights/firma-acuerdo-sae-udima-masters-especializados/|https://www.sae.edu/esp/campuses/sae-barcelona/,PARTIALLY_VERIFIED,W1-R,2026-08-22,"ACCREDITATION: this is a TITULO PROPIO - a 'Master de Formacion Permanente' issued by UDIMA (a private distance university), NOT a titulo oficial in the RUCT register. It does not give access to a Spanish doctorate, is not recognised as an official master's for public-sector purposes, and carries materially higher risk for the Tunisian student-visa file than an official master's. Price is not published anywhere on the site. SAE Barcelona separately describes itself as a private higher arts education school in music regulated by AQU - that applies to its music degree, not to this master.","masters_degree (titulo propio) - only PARTLY on-path: it is a studio/production master with 'Sonido en Directo' as one dedicated year-2 module, not a live-sound systems programme. Client's engineering diploma satisfies the bachelor requirement. Include only if the client accepts a non-official award; funding-first strategy argues against it."
R-006,R,MA/MSc Professional Practice in Creative Media Industries (audio pathway),MA or MSc awarded by the University of Hertfordshire (UK); pre-2022 cohorts were awarded by Middlesex University,SAE Institute Amsterdam,private academy (UK-validated),Amsterdam,Netherlands,single_site,English,TBC - not stated on the pages reachable this session,TBC,TBC,TBC,Not published on any SAE Netherlands page reachable this session,TBC,TBC,TBC,TBC,Bachelor degree with Honours (2:1 or higher) in a relevant field plus strong evidence of creative media work experience.,unclear,likely - 'strong evidence of creative media work undertaken' is required,TBC,TBC,none_found,TBC,https://www.sae.edu/nld/courses/ma-msc-professional-practice/,https://www.sae.edu/nld/,TBC,https://www.sae.edu/nld/|https://www.sae.edu/nld/about-us/standards-accreditation/|https://www.sae.edu/nld/masters/,DEAD_LINK,W1-R,2026-08-22,"ACCREDITATION WARNING: the degree is awarded and quality-assured by the University of Hertfordshire (UK) and delivered in Amsterdam. SAE's own Dutch accreditation page makes NO claim of NVAO accreditation. A non-NVAO programme is normally NOT an 'erkende opleiding' for Dutch study-visa purposes, which would block the MVV/VVR route for a Tunisian national - this must be checked directly with SAE and the IND before any effort is spent. The course page (linked from SAE's own site) returned HTTP 404 twice this session; the masters index also 404s. No fees, no duration, no intake dates published.","masters_degree (UK award, NL delivery) - the ONLY master's-level award of any kind found at an audio institution in the Netherlands, which is why it is logged despite weak evidence. It is a generic professional-practice wrapper around SAE's disciplines, not a live-sound engineering master. Treat as a lead requiring direct contact, not as a verified option."
R-007,R,Master en Sistemas de Sonido Directo (Master in Live Sound Systems),Private school certificate ('master' used as a marketing title; no university validation stated),Trade Formacion (in partnership with Fluge Audiovisuales),private vocational training centre,Madrid,Spain,single_site,Spanish,not required,5,0 (500 taught hours),TBC,Price not published on the page; enquiry form only,TBC,TBC,TBC - cohort starts 5 October 2026,2026 cycle - 2027 TBC,Not published on the page. One-month internship with Fluge Audiovisuales included.,unclear,no,no,none found,none_found,n/a - no scholarship,https://tradeformacion.es/master-sistemas-sonido-directo/,https://tradeformacion.es/master-sistemas-sonido-directo/,TBC,https://tradeformacion.es/master-sistemas-sonido-directo/,PARTIALLY_VERIFIED,W1-R,2026-08-22,"NOT AN ACCREDITED DEGREE. No titulo oficial, no titulo propio universitario, no ECTS, no NVAO/RUCT/staatlich-anerkannt equivalent - a private certificate only. A 5-month, 500-hour private course will NOT support a Tunisian long-stay student visa as higher education and attracts no scholarship. Price undisclosed.","certificate - CONTENT-wise this is the single most precisely on-target programme found anywhere in scope: RF and microphone systems (Shure, Sennheiser), Dante audio networking, DiGiCo/Yamaha consoles, FOH and monitor mixing, PA/line-array system configuration on Meyer Sound, L-Acoustics and DAS Audio, plus a placement with a major Spanish touring supplier. Logged so the client can see what real live-sound-systems training looks like - but as a credential it is worth nothing for the visa or funding strategy. Possible as a post-master add-on, not as the master's."
R-008,R,Curso de especializacion en Sonorizacion de espectaculos en vivo (Specialisation course in Live Show Sound Reinforcement),Private school certificate (Microfusa own certificate),Escuela Microfusa,private academy,Barcelona (also Madrid),Spain,single_site,Spanish,not required,3,"0 (11 weeks, part-time)",1240,"EUR 1,240 paid in advance, or EUR 1,296 in monthly instalments - total course price, not per year",TBC,TBC,TBC - cohorts start 7 April 2026 (Barcelona) and 6 April 2026 (Madrid),2026 cycle - 2027 TBC,Minimum age 16; must have completed Microfusa's Curso de Sonido Profesional or pass an entrance test. In-person with virtual learning support; Barcelona timetable Tue 10:00-13:00 and Thu 10:00-15:00.,n/a - no degree requirement,no,no,none found,none_found,n/a - no scholarship,https://microfusa.com/products/sonorizacion-de-espectaculos-en-vivo,https://microfusa.com/products/sonorizacion-de-espectaculos-en-vivo,TBC,https://microfusa.com/products/sonorizacion-de-espectaculos-en-vivo|https://escuela.microfusa.com/cursos-de-sonido|https://escuela.microfusa.com/barcelona,VERIFIED,W1-R,2026-08-22,"NOT A DEGREE and not even a full-time programme: 11 weeks, two part-days a week, private certificate with no ECTS and no official recognition. Cannot support a student visa. Requires a Microfusa prerequisite course or an entrance test, so it is not directly enterable.","certificate - included because Microfusa is named in the search floor and is Barcelona's best-known live-sound school; the honest finding is that its live-sound offer tops out at an 11-week specialisation, far below master's level. Useful only as paid skills training alongside a real degree elsewhere in Barcelona."
R-009,R,Postgrau en Escena i Tecnologia Digital (Postgraduate in Stage and Digital Technology),Postgrau propi (own postgraduate diploma) of the Institut del Teatre,Institut del Teatre (Diputacio de Barcelona),public performing-arts institute / conservatory,Barcelona,Spain,single_site,Catalan,not required,TBC,TBC,TBC,Not published on the page opened,TBC,TBC,16 July 2026 for the 2026-27 intake,2026 cycle - 2027 TBC,"Not detailed on the page opened; enquiries to postgraus@institutdelteatre.cat. Focus on the expressive value of digital tools from the perspective of the live arts, delivered with performance-creation centres.",unclear,unclear - likely for an arts postgraduate,TBC,TBC,none_found,TBC,https://www.institutdelteatre.cat/ca/estudis/oferta/masterspostgraus/postgrau-escenificacio-i-tecnologia-digital,https://www.institutdelteatre.cat/ca/estudis/oferta/masterspostgraus,TBC,https://www.institutdelteatre.cat/ca/estudis/oferta|https://www.institutdelteatre.cat/ca/estudis/oferta/masterspostgraus/postgrau-escenificacio-i-tecnologia-digital,PARTIALLY_VERIFIED,W1-R,2026-08-22,"A POSTGRAU PROPI, not a titulo oficial - no RUCT registration found, so it does not carry official master's status for funding or for the Tunisian visa (short postgraduate diplomas are also often below the hours threshold for a long-stay student visa). Taught in Catalan. Institut del Teatre's only official master is the Master Universitari en Estudis Teatrals (theatre studies - academic, not technical). ECTS, duration and price all unpublished on the page opened.","postgraduate_diploma - the technology-facing postgraduate at Spain's leading public theatre institution, but the framing is artistic/scenographic (digital tools in live performance) rather than sound-system or event-systems engineering. Logged for completeness of the Barcelona stage-technology landscape; weak against a funding-first, degree-first strategy."
R-010,R,Sonoritzacio per a les Arts Esceniques (Sound for the Performing Arts) - CFGS in Tecniques de les Arts de l'Espectacle,"Tecnic Superior - CFGS (official Spanish higher vocational qualification, EQF level 5)","ESTAE - Escola Superior de Tecniques de les Arts de l'Espectacle, Institut del Teatre (with Universitat Politecnica de Catalunya)",public higher vocational school within a performing-arts institute,Terrassa (Barcelona),Spain,single_site,Catalan,not required,24,"TBC (2,000 taught hours: 1,260 in-centre teaching, 360 in-centre practice, 380 external placement)",TBC,Not disclosed on the page opened,TBC,TBC,TBC - see Institut del Teatre proves d'acces calendar,2025-26 restructuring confirmed - 2027 TBC,"Minimum age 18; Batxillerat in any modality or equivalent (applicants 19+ without formal qualifications via preparatory route). Compulsory entrance exam held on site in Terrassa. From 2025-26 the school awards the state CFGS Tecnic Superior in three specialities (stage lighting, stage machinery, sound for the performing arts); previously it awarded its own Institut del Teatre / Fundacio Politecnica de Catalunya title.",n/a - entry is at post-secondary level,no - but an entrance exam is compulsory and must be sat in Terrassa,TBC,TBC,none_found,TBC,https://www.institutdelteatre.cat/ca/estudis/futursestudiants/estae-luminotecnia-maquinaria-escpenica-i-so,https://www.institutdelteatre.cat/ca/estudis/provesacces,TBC,https://www.institutdelteatre.cat/ca/estudis/futursestudiants/estae-luminotecnia-maquinaria-escpenica-i-so|https://www.institutdelteatre.cat/ca/escoles/estae/normativa|https://www.diba.cat/documents/553295/7153783/Presentaci%C3%B3%20ESTAE.pdf,PARTIALLY_VERIFIED,W1-R,2026-08-22,"VOCATIONAL, BELOW DEGREE LEVEL. A CFGS is an official Spanish qualification but sits at EQF 5 - below a bachelor and far below the client's 300-ECTS engineering diploma. Taking it would be a downward move academically, gives no master's credential, and while FP does support a Spanish student visa it does not build toward a European master's. Catalan-language; compulsory on-site entrance exam in Terrassa is a real obstacle for an applicant abroad.","vocational - the most genuinely on-path live-sound training in Spain by content (sound and acoustics for live performance, sound control during concerts and events, taught with UPC and industry professionals). Logged so the client sees the actual shape of Spanish provision: the country trains live-sound engineers at vocational level, not at master's level."
