scholarship_id,region,scholarship_name,scholarship_name_original,provider,provider_type,applies_to_institution,applies_to_city,applies_to_programs,degree_level_covered,coverage_level,amount_eur_per_year,amount_notes,duration_covered,number_of_awards,nationality_restrictions,tunisia_eligible,tunisia_eligible_evidence,other_eligibility,requires_admission_first,application_window,deadline,deadline_source_cycle,apply_via,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,notes
FEM-001,erasmus_mundus,Erasmus Mundus Joint Masters (EMJM) student scholarship - scheme-level baseline,Erasmus Mundus Joint Masters (EMJM),European Commission / European Education and Culture Executive Agency (EACEA),eu,any (EMJM consortium listed in the official EACEA catalogue),rotating - at least two study periods in two different countries,all,"master (joint master, 60/90/120 ECTS)",full+stipend,16800,"1400 EUR/month flat unit cost. Programme Guide: 'The scholarship is calculated as: 1 400 Euros/month x DS'. The scholarship 'shall cover travel, visa, installation and subsistence costs' - i.e. travel and installation are INSIDE the 1400/month, there is no separate travel or installation line under the 2021-2027 EMJM rules. Separately the consortium receives up to 750 EUR/month/student for institutional costs and 'projects cannot charge tuition fees or other mandatory costs related to student participation in the course to Erasmus Mundus scholarship holders' and 'cannot charge student application fees'. A 24-month EMJM scholarship is therefore worth 33600 EUR cash to the student plus a tuition waiver typically worth 9000-34000 EUR. NOTE: unlike the pre-2021 EMJMD there is NO higher Partner Country rate and NO separate 3000/4000 EUR travel top-up - do not quote legacy figures.","full programme duration - 12, 18 or 24 months","max 50 regular scholarships per consortium over the whole grant (4+ editions), plus up to 18 extra NDICI scholarships and up to 3 IPA III scholarships for targeted regions; in practice most consortia award ~10-20 per intake",Open to students of all nationalities worldwide. Consortium-level balance rule: 'no more than 10% of the total number of scholarships awarded during project implementation should be awarded to candidates from the same nationality' (does not apply to targeted-region top-ups). Students who already held an EMJM scholarship cannot get a second one.,yes,"""Region 3 (Neighbourhood South): 18% of the budget available from NDICI. At least 20% of this amount should be allocated to Tunisia.""","Must hold a first-cycle higher education degree (or be in the final year of one) recognised as giving access to master studies; each consortium sets its own ECTS floor (usually 180 ECTS). No 12-month residence rule appears anywhere in the 2021-2027 EMJM section of the Erasmus+ Programme Guide - that rule belonged to the pre-2021 EMJMD Partner Country rate, which no longer exists. Compulsory physical mobility: two study periods in two different countries, both different from the student's country of residence at enrolment - a Tunisia-resident applicant satisfies this automatically.",no,"Set by each consortium. Typical EMJM window for a September 2027 start: opens Oct-Nov 2026, closes Dec 2026 - Feb 2027. There is no central EU application - you apply to each consortium separately and the same form serves as the scholarship application.",Varies by consortium - see individual FEM rows,2026-2027 Erasmus+ Programme Guide (funding rules); per-programme 2027 deadlines mostly not yet published as of 2026-08-22,Directly to each EMJM consortium via its own online application portal,https://erasmus-plus.ec.europa.eu/programme-guide/part-b/key-action-2/erasmus-mundus-action,https://erasmus-plus.ec.europa.eu/programme-guide/part-b/key-action-2/erasmus-mundus-action|https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en|https://erasmus-plus.ec.europa.eu/erasmus-mundus-catalogue,VERIFIED,F-EM,2026-08-22,The catalogue mixes projects selected 2017-2025; some listed programmes have exhausted their EU grant and no longer recruit (e.g. WAVES). Always confirm the consortium is still recruiting for the intake you want. Scholarship competition is severe - typically 1000+ applications for 10-20 funded places.,"SCHEME-LEVEL ROW - read this first, then the per-programme rows FEM-002 onward. Official EACEA catalogue holds 220 project entries / 212 distinct programmes as of 2026-08-22. THE HEADLINE FOR THIS CLIENT: Tunisia is not merely eligible, it is a named budget target - Region 3 (Neighbourhood South) takes 18% of the NDICI envelope and at least 20% of that is earmarked for Tunisia. Tunisian nationality is therefore an ADVANTAGE in EMJM selection, not a barrier. A 300-ECTS 5-year engineering diploma clears every EMJM entry bar (180 or 240 ECTS) with room to spare. Applies to paths A|C|N|G|H|R|J|L|AC|AD."
FEM-002,erasmus_mundus,ReSound - Joint Master of Arts in Sound Design for Media Arts (EMJM scholarship),ReSound - Joint Master of Arts in Sound Design for Media Arts,ReSound consortium (IADT Dublin / Universidade Lusofona Lisbon / Lithuanian Academy of Music and Theatre Vilnius) funded by EACEA,eu,Institute of Art Design and Technology (IADT),Dublin (IE) | Lisbon (PT) | Vilnius (LT),G|A|H|N,"master (joint MA, 120 ECTS, 4 semesters)",full+stipend,16800,"1400 EUR/month Erasmus Mundus scholarship (site states '1,400 EUR per month'), 24 months = 33600 EUR, PLUS waiver of the 15000 EUR participation cost. Self-funded tuition is 15000 EUR for the full four semesters, payable in two instalments of 7500 EUR.",24 months,Max 24 places offered annually; scholarships go to only a percentage of those places - exact number of EMJM scholarships per intake not published (TBC),Open worldwide,yes,"""ReSound is open to both European and non-European students.""","Bachelor's degree in sound, music, film or media studies (or equivalent field with relevant experience), EQF level 6 or above. English: IELTS 6.0 with no component below 6.0 (or TOEFL iBT 79, Duolingo 110, Cambridge B2, LanguageCert ESOL), taken within 2 years. PORTFOLIO GATE: no more than 3 examples with a reflective paragraph on the applicant's role; reviewers allow 10-15 minutes of material per application. No 12-month residence rule stated.",no,2026 intake window has closed. 2027 window not yet published as of 2026-08-22 - expect it to open ~Oct-Nov 2026 and close ~Jan-Feb 2027 in line with the EMJM norm.,TBC,2026 cycle closed - 2027 TBC,ReSound online application at resound-ma.eu/application,https://resound-ma.eu/application/,https://resound-ma.eu/|https://resound-ma.eu/application/|https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en,VERIFIED,F-EM,2026-08-22,"NO Spain / Netherlands / Berlin partner - Ireland, Portugal, Lithuania only. Logged as an OUTSTANDING-FIT EXCEPTION under the brief's rule, not on the geography rule. Portfolio gate is real and the client's music portfolio is still in progress. Entry text names sound/music/film/media BACHELORS - a software-engineering diploma is not the named background, so admission depends on the portfolio carrying the case. 2027 dates unpublished.","THE SINGLE BEST CONTENT FIT IN THE ENTIRE EMJM CATALOGUE for paths G (sound design) and A (sound and music computing), with H (spatial audio) and N (music-tech) secondary. Consortium: IADT Dun Laoghaire, Dublin, Ireland; Universidade Lusofona, Lisbon, Portugal; Lithuanian Academy of Music and Theatre, Vilnius, Lithuania. Part of the FilmEU alliance. Degree: joint MA. Language: English. 300-ECTS engineering diploma far exceeds the EQF-6 / bachelor bar - qualification is not the issue, the portfolio is. ACTION: watch resound-ma.eu/application from October 2026."
FEM-003,erasmus_mundus,RE_PLAY - European Joint Masters in Games (EMJM scholarship),RE_PLAY: EUROPEAN JOINT MASTERS IN GAMES,RE_PLAY consortium (Universidade Lusofona / LUCA School of Arts / Aalto University) funded by EACEA,eu,Universidade Lusofona,Lisbon (PT) | Genk (BE) | Helsinki (FI),G|N|H,"master (joint, 4 semesters)",full+stipend,16800,"Site: Erasmus Mundus Scholarships provide 'a monthly allowance of 1.400 EUR for the duration of the academic activities and/or maximum of 24 months' = 33600 EUR over 24 months, plus waiver of the 15000 EUR participation cost. Self-funded tuition 15000 EUR for the complete four-semester programme.",24 months,Max 24 students selected per intake; only a percentage receive scholarships - exact count TBC,Open worldwide,yes,"""Students from all over the world are welcome to apply""","BA or MA degree, minimum EQF level 6 / Irish NFQ level 8; bachelor with at least 180 ECTS when taught in English. Relevant professional experience in game design and production is required. English IELTS 6.0 or equivalent (or an English-taught degree). PORTFOLIO GATE: max 5 games/projects across up to 7 pages on the provided template.",no,"2026-2028 call is closed. Site states 'A new call will open in October this year' - i.e. OCTOBER 2026, for the 2027-2029 cohort. This is one of the earliest EMJM openings relevant to the client.","TBC - call opens October 2026, deadline expected Dec 2026 - Jan 2027",2026-2028 cycle closed; next call announced for October 2026 (2027-2029 cohort) - exact 2027 deadline TBC,RE_PLAY online application via replaymasters.eu,https://www.replaymasters.eu/admissions-and-requirements,https://www.replaymasters.eu/|https://www.replaymasters.eu/admissions-and-requirements|https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en,VERIFIED,F-EM,2026-08-22,"NO Spain / Netherlands / Berlin partner (Portugal, Belgium, Finland). Requires PRIOR PROFESSIONAL EXPERIENCE in game design and production plus a games portfolio - the client has neither, so this is a stretch unless he builds game-audio work in the next 12 months. Game AUDIO is not confirmed as a taught strand on the pages read this session. Exact 2027 deadline not yet published.","Consortium: Universidade Lusofona, Lisbon, Portugal (coordinator); LUCA School of Arts, Genk, Belgium; Aalto University, Helsinki, Finland. FilmEU alliance, same family as ReSound. Serves G (sound design for games) and N (music-tech product) only if the client can evidence game work. 300-ECTS engineering diploma clears the 180-ECTS bar comfortably. HIGH-VALUE TIMING SIGNAL: the October 2026 call opening is roughly six weeks from today - set a reminder."
FEM-004,erasmus_mundus,MULTICOM - Data Science of Human Multimodal Communication (EMJM scholarship),Data Science of Human Multimodal Communication: European and International Joint Masters (MULTICOM),"MULTICOM consortium coordinated by Universidad de Murcia, funded by EACEA",eu,Universidad de Murcia,Murcia (ES) | Lund (SE) | Erlangen-Nuremberg (DE),C|A,"master (Erasmus Mundus joint degree co-awarded by all three universities, 120 ECTS)",full+stipend,16800,"Site: 'Scholarships cover participation costs (tuition, insurance, admin/cultural costs) and include a pro-rata 1,400 EUR/month stipend for the full duration'. 24 months = 33600 EUR cash PLUS a tuition waiver worth 34000 EUR (self-funded tuition is 17000 EUR/year, 34000 EUR for the full programme). Total value to a scholarship holder therefore approx 67600 EUR - the highest-value EMJM package found in this sweep. Site also estimates a further 35000 EUR of living/travel/visa cost over two years, which the stipend is meant to offset.",24 months,"10-15 regular Erasmus Mundus scholarships planned per edition, PLUS additional NDICI/IPA targeted-region scholarships on top",Open worldwide. Site: 'Regular Erasmus Mundus Scholarships will be evenly distributed between EU and non-EU students throughout the first four editions (2026-2031)',yes,"""Regular Erasmus Mundus Scholarships will be evenly distributed between EU and non-EU students throughout the first four editions (2026-2031)"" plus a separate NDICI targeted-region allocation","Bachelor equivalent to at least 180 ECTS in 3 years, OR a one-year 60-ECTS master. Plus a language/communication background: 30+ ECTS in linguistics/psychology of language/cognitive science, OR a related master, OR 3 years professional experience where language/communication was central. Plus basic quantitative training (min 5 ECTS statistics or equivalent) - candidates strong in language but light on quantitative certification may be admitted subject to online bridging training. English C1-C2 (TOEFL 105 iBT / IELTS 7.5). No 12-month residence rule mentioned.",no,Applications closed; site states they 'will reopen in fall 2026'. The 2026 intake deadline was 15 March 2026 for a 1 September 2026 start - the 2027 equivalent is not yet published.,TBC - reopens fall 2026; 2026-cycle comparator was 15 March 2026,"2026 cycle (deadline 15 March 2026) - 2027 TBC, applications reopen fall 2026",MULTICOM online application via multicom-em.eu/how-to-apply,https://multicom-em.eu/costs-and-financial-aid/,https://multicom-em.eu/|https://multicom-em.eu/costs-and-financial-aid/|https://multicom-em.eu/how-to-apply/|https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en,VERIFIED,F-EM,2026-08-22,"SPAIN NODE CONFIRMED (Murcia) but content fit is only partial - the multimodal data is speech, gesture, gaze, facial expression and pose; there is NO music or audio-production strand. Entry demands a language/communication background (30 ECTS or 3 years experience) that a software-engineering graduate does NOT automatically have - this is the real barrier, not the ECTS count. German node (Erlangen) is outside Berlin.","Consortium: Universidad de Murcia, Murcia, Spain (coordinator, Cristobal Pagan Canovas); Lund University, Lund, Sweden; Friedrich-Alexander-Universitaet Erlangen-Nuernberg, Germany. Language: English (with optional Spanish/Swedish/German). Serves C (AI/ML, applied to human communication signals including speech) and weakly A. 300-ECTS engineering diploma massively exceeds the 180-ECTS bar and the quantitative requirement; the gap is the language/communication prerequisite. Deadline is notably LATE for an EMJM (March), which makes it a useful second-wave backup after the December-January programmes."
FEM-005,erasmus_mundus,WAVES - Waves Acoustics Vibrations Engineering Sound (EMJM scholarship) - RECRUITMENT SUSPENDED,"WAVES ACOUSTICS VIBRATIONS ENGINEERING SOUND / Master Universitario Erasmus Mundus en Ondas, Acustica, Vibraciones, Ingenieria y Sonido",WAVES consortium (Aix-Marseille Universite / Centrale Mediterranee / Universitat Politecnica de Valencia / Universidade de Coimbra) funded by EACEA,eu,Universitat Politecnica de Valencia,Coimbra (PT) | Gandia-Valencia (ES) | Marseille (FR),H|R|A,"master (multiple national masters plus a joint diploma supplement, 2 years)",none_found,0,"No scholarship is currently offered because recruitment is suspended. When running, this was a standard EMJM at 1400 EUR/month. The consortium has NOT announced a 2027 cohort.",n/a - suspended,0 for the 2026-2028 cohort,n/a - no call open,unclear,No call open; no current eligibility text to quote. Standard EMJM rules would make Tunisia eligible if a call reopens.,"When running: engineering/physics background, English-taught throughout. Stated selection criteria were 'high motivation, above-average academic ability, task commitment and creativity'.",no,CLOSED / SUSPENDED. Site notice dated 1 October 2025: 'it has been decided not to open the recruitment campaign for a 2026-2028 cohort. The application platform is therefore unavailable.',none - no call open,Suspension notice of 1 October 2025; no 2027 call announced as of 2026-08-22,n/a - application platform unavailable,https://master-waves.eu/,https://master-waves.eu/|https://www.upv.es/estudios/master/muemwaves/en/home/|https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en,VERIFIED,F-EM,2026-08-22,"DEAD FOR 2027 ON CURRENT EVIDENCE. Recruitment suspended since 1 October 2025 and no 2027-2029 cohort announced. Confirms the lead passed from the other agent. Do not build any plan around WAVES. The UPV Gandia acoustics teaching still exists as a purely Spanish national master (Master Universitario en Ingenieria Acustica, MUIA) but that carries no EMJM scholarship - see the Spain funding file.","Consortium was: Universidade de Coimbra, Coimbra, Portugal (semester 1); Universitat Politecnica de Valencia, Campus de Gandia, Valencia, SPAIN (semester 2); Aix-Marseille Universite and Centrale Mediterranee, Marseille, France (semester 3); semester 4 internship worldwide. English-taught. Would have been an excellent fit for H (spatial audio), R (live sound / event systems engineering) and A. RE-CHECK master-waves.eu in Oct-Nov 2026 in case the consortium wins a new EMJM grant, but plan as if it is gone."
FEM-006,erasmus_mundus,MAGMa - Managing Art and Cultural Heritage in Global Markets (EMJM scholarship),Managing Art and Cultural Heritage in Global Markets (IntM),"MAGMa consortium coordinated by University of Glasgow, funded by EACEA",eu,University of Glasgow,Glasgow (UK) | Lisbon (PT) | Paris (FR) | Rotterdam (NL),J|AC|AD|L,"master (International Master IntM, multiple degree, 24 months)",full+stipend,16800,"'a total of 33,600 EUR over the course of the two-year programme' paid as monthly stipends (1400 EUR/month), PLUS all tuition fees 'fully waived' PLUS travel insurance. Self-funded tuition is 22224 EUR / 19000 GBP per year for international students (44448 EUR / 38000 GBP total); UK/EU rate 11183 EUR / 9560 GBP per year. Scholarship therefore worth roughly 78000 EUR to a Tunisian student.",24 months,"Up to 90 across four intakes: 60 regular (max 6 per nationality over the four intakes) plus 30 targeted-region scholarships for EC Regions 1 and 3 and 5-11, which carry NO 10% nationality cap","Open worldwide. Regular scholarships capped at 6 per nationality across the four intakes; targeted-region scholarships (Region 3 = Neighbourhood South, includes Tunisia) are exempt from that cap.",yes,"""targeted scholarships for regions 1, 3, 5-11 (as specified by the European Commission) exist without the 10% geographical cap"" - Tunisia sits in Region 3 (Neighbourhood South)","A 2:1 Honours degree or international equivalent, preferably in a related field. Transcripts, degree certificate, CV, references, passport scan. English test if not a native speaker. Mandatory physical mobility across partner countries. No 12-month residence rule found.",no,"For 2026 entry the portal opened 1 October 2025 and the Erasmus Mundus scholarship deadline was 19 January 2026 (results by 7 April 2026); the self-funded deadline ran to late July/August 2026. The 2027 cycle is expected to follow the identical pattern - portal open ~1 October 2026, EM scholarship deadline ~mid-late January 2027.","19 January 2026 (2026 entry, EM scholarship route) - 2027 equivalent expected ~mid-January 2027, not yet published","2026 cycle (EM deadline 19 Jan 2026) - 2027 TBC; the same consortium used 19 Jan 2025 for 2025 entry, so the pattern is stable",University of Glasgow online application portal (single form serves as the scholarship application),https://www.gla.ac.uk/postgraduate/erasmusmundus/magma/scholarships/,https://www.gla.ac.uk/postgraduate/erasmusmundus/magma/|https://www.gla.ac.uk/postgraduate/erasmusmundus/magma/scholarships/|https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en,VERIFIED,F-EM,2026-08-22,"NETHERLANDS NODE CONFIRMED (Erasmus University Rotterdam, a mandatory mobility city) but CONTENT FIT IS WEAK FOR MUSIC - this is art market, museums and cultural heritage management, not music business. Confirms the lead passed from the other agent: full tuition + 33600 EUR stipend, Tunisian-eligible, but art/heritage rather than music. UK partner means one mobility period outside the EU. Exact 2027 dates unpublished as of 2026-08-22.","Consortium: University of Glasgow, Glasgow, United Kingdom (coordinator); ISCTE-Instituto Universitario de Lisboa, Lisbon, Portugal; Universidade de Lisboa Faculty of Humanities, Lisbon, Portugal; IESA Arts and Culture, Paris, France; ERASMUS UNIVERSITY ROTTERDAM, Rotterdam, NETHERLANDS. Mandatory cities Lisbon, Paris, Rotterdam; optional seasonal schools Glasgow and Mumbai; semester 4 dissertation at a chosen previous location. English-taught. Serves J (music business/management) only by analogy - it is arts-sector management. A 300-ECTS engineering diploma clears the 2:1 honours bar on credit volume; the discipline mismatch is the real risk. Useful mainly as a FUNDING fallback if no music-adjacent EMJM lands."
FEM-007,erasmus_mundus,"CLMCE - Children's Literature, Media and Cultural Entrepreneurship (EMJM scholarship)","Children's Literature, Media and Cultural Entrepreneurship","CLMCE consortium coordinated by University of Glasgow, funded by EACEA",eu,University of Glasgow,Glasgow (UK) | Aarhus (DK) | Nantes (FR) or Tilburg (NL) or Wroclaw (PL),L|AD,"master (multiple degree, 24 months)",full+stipend,16800,"Monthly stipend EUR 1,400 x 24 months = maximum grant EUR 33,600. Covers 'All Tuition Fees: Full coverage of tuition costs for the duration of the programme. Travel Insurance: Complete travel insurance for the duration of the programme. Monthly Allowance: A monthly stipend to assist with living expenses throughout your studies.'",24 months,Up to 90 across four editions 2024-2029: 60 regular (max 6 per nationality = 10%) plus 30 targeted at EC Regions 1 and 3 and 5-11 with no nationality cap,Open worldwide; regular scholarships capped at 6 per nationality over four editions; targeted-region awards uncapped,yes,"""Thirty additional scholarships target specific regions (Regions 1, 3, 5-11 as defined by the European Commission) without nationality caps"" - Tunisia is in Region 3",A first higher education degree or equivalent; English-taught throughout; mandatory physical mobility across three consortium countries. No 12-month residence rule found.,no,"2026 intake: portal opened 1 October 2025, Erasmus Mundus scholarship deadline 23 January 2026 at 13:00 UK time, results April 2026. Self-funded applications for September 2026 entry ran to 21 August 2026 23:59 UK time. Erasmus Mundus scholarship applications for 2026 are now closed. 2027 window expected to open ~1 October 2026 with a ~late-January 2027 EM deadline.","23 January 2026 13:00 UK (2026 intake, EM scholarship) - 2027 equivalent TBC, expect ~late January 2027",2026 cycle (EM deadline 23 Jan 2026) - 2027 TBC,University of Glasgow online application portal,https://www.gla.ac.uk/postgraduate/erasmusmundus/clmce/scholarships/,https://www.gla.ac.uk/postgraduate/erasmusmundus/clmce/|https://www.gla.ac.uk/postgraduate/erasmusmundus/clmce/scholarships/|https://www.gla.ac.uk/postgraduate/erasmusmundus/clmce/programmestructure/,VERIFIED,F-EM,2026-08-22,"CORRECTION TO AN EARLIER LEAD: Universitat Autonoma de Barcelona is NOT a CLMCE partner - the confirmed partners are Glasgow, Aarhus, Nantes, Tilburg and Wroclaw. The Netherlands node is TILBURG UNIVERSITY (one of three semester-3 options, so the NL placement is not guaranteed). Content fit for this client is very weak: children's literature and media. Only the 'Cultural Entrepreneurship' strand touches path L. Do not prioritise.","Consortium: University of Glasgow, Glasgow, UK (coordinator, Semester 1); Aarhus University, Aarhus, Denmark (Semester 2); then ONE of Nantes University, Nantes, France / TILBURG UNIVERSITY, Tilburg, NETHERLANDS / University of Wroclaw, Wroclaw, Poland (Semester 3). 24 months full-time, three mandatory mobility periods, English-taught, multiple degree, dissertation 20000-25000 words. Logged for completeness and because the scholarship terms (33600 EUR + full tuition waiver + Region 3 targeted awards) are documented in detail here and are representative of the whole Glasgow EMJM family."
FEM-008,erasmus_mundus,EMAI - Erasmus Mundus Joint Master in Artificial Intelligence (EMJM scholarship),Erasmus Mundus Joint Master In Artificial Intelligence (EMAI),"EMAI consortium coordinated by Universitat Pompeu Fabra Barcelona, funded by EACEA",eu,Universitat Pompeu Fabra,Barcelona (ES) | Nijmegen (NL) | Rome (IT) | Ljubljana (SI),C|A|N,"master (Erasmus Mundus joint degree, 120 ECTS, 24 months)",full+stipend,16800,Standard EMJM package: full tuition covered plus a monthly stipend of approximately 1400 EUR for up to 24 months (33600 EUR). UPF also operates a separate Tuition Fee Waiver (TFW) route with its own application period for candidates who do not win an EMJM scholarship. Exact self-funded tuition figure NOT confirmed this session - upf.edu was unreachable (Cloudflare 403).,24 months,TBC - not confirmed on an official page this session,Open worldwide (standard EMJM rules); the first application period is reserved for Erasmus Mundus Scholarship candidates,likely,Not quotable from the official domain this session - upf.edu returned a Cloudflare 403. Standard EMJM rules (Programme Guide) make Tunisian nationals eligible and Region-3 targeted.,"Bachelor in computer science, mathematics, engineering or a closely related field (standard for this programme family); English-taught. EXACT requirements NOT confirmed on the official domain this session.",no,2026 intake ran in four periods: 1st 15/11/2025-20/12/2025 23:59 CET for Erasmus Mundus Scholarship candidates; 2nd 21/12/2025-18/03/2026 for Tuition Fee Waiver candidates; 3rd 19/03/2026-05/06/2026 worldwide self-funded; 4th 06/06/2026-06/07/2026 EU self-funded only. The 2027 equivalent should open ~15 November 2026 with a ~20 December 2026 scholarship deadline - THE EARLIEST DEADLINE OF ANY PROGRAMME IN THIS FILE.,"20 December 2025 (2026 intake, scholarship period) - 2027 equivalent expected ~20 December 2026, not yet published",2026 cycle - 2027 TBC,UPF online application (upf.edu/web/emai/access-admission),https://www.upf.edu/web/emai/access-admission,https://emai-master.eu|https://www.upf.edu/web/emai/|https://www.upf.edu/web/emai/access-admission|https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en,PARTIALLY_VERIFIED,F-EM,2026-08-22,"COULD NOT READ THE OFFICIAL SITE THIS SESSION: emai-master.eu 301-redirects to www.upf.edu/web/emai/ and every upf.edu URL returned a Cloudflare 403 challenge to both WebFetch and curl with browser headers. Presence in the official EACEA catalogue (project 101082433) and the redirect target are confirmed; partner list, deadlines and fees come from search-result summaries of the official UPF pages and MUST be re-checked directly before relying on them. Project selected in 2022, so the EU grant may cover editions up to about 2027-28 - confirm the 2027 intake is still funded. No music/audio strand confirmed.","BOTH A SPAIN AND A NETHERLANDS NODE: Universitat Pompeu Fabra, Barcelona, SPAIN (coordinator); Radboud University, Nijmegen, NETHERLANDS; Sapienza University of Rome, Rome, Italy; University of Ljubljana, Slovenia. STRATEGICALLY THE MOST INTERESTING EMJM IN THIS FILE: UPF Barcelona is the home of the Music Technology Group and of the Sound and Music Computing master, so an AI master coordinated there is the closest thing in the catalogue to a funded route into path A/C for this client - a UPF-based AI thesis can plausibly be supervised on music-information-retrieval or audio-ML topics. Serves C primarily, A and N by thesis choice. A 300-ECTS software-engineering diploma is an ideal profile for the entry bar. ACTION: this is the highest-priority verification job for the next agent - reach upf.edu from a normal browser."
FEM-009,erasmus_mundus,"GLOCAL - Global Markets, Local Creativities (EMJM scholarship)","Global Markets, Local Creativities (GLOCAL)","GLOCAL consortium coordinated by University of Glasgow, funded by EACEA",eu,University of Glasgow,Glasgow (UK) | Barcelona (ES) | Rotterdam (NL) | Gottingen (DE) | Uppsala (SE) | Bogota (CO) | Kyoto (JP),L|J|AC|AD,"master (combination of degrees depending on pathway, 24 months full-time)",full+stipend,16800,"Standard EMJM: 1400 EUR/month for 24 months = 33600 EUR plus a full tuition waiver. Self-funded 2026-27 tuition: 'Programme Country students (EU/EEA/UK) 9,654 GBP per annum or 11,360 EUR per annum'; 'All other countries 20,700 GBP per annum or 24,360 EUR per annum' - so a Tunisian self-funder would pay about 48720 EUR over two years, making the scholarship worth roughly 82000 EUR. Exact scholarship count not published on the page read.",24 months,TBC - not stated on the Glasgow programme page; the Glasgow EMJM family typically runs 60 regular plus 30 targeted-region awards across four editions,"Open worldwide (standard EMJM); expect the 10% per-nationality cap on regular awards and uncapped Region-3 targeted awards, as documented for the sibling Glasgow programmes MAGMa and CLMCE",likely,"Not quoted from the GLOCAL page itself; the sibling Glasgow EMJMs state targeted scholarships for ""regions 1, 3, 5-11"" without nationality caps, and Tunisia is Region 3.",'a strict 2:1 UK Honours degree or international equivalent' in specified disciplines; English IELTS 6.5 minimum or equivalent. Mandatory mobility across consortium countries.,no,"Not published on the page read this session. The Glasgow EMJM family opens ~1 October and closes its Erasmus Mundus scholarship round in mid-to-late January, so expect ~1 October 2026 to ~mid-January 2027 for the 2027 intake.",TBC - expect ~mid-January 2027 by analogy with the other Glasgow EMJMs,2026-27 fee figures confirmed; 2027-intake deadline not published as of 2026-08-22,University of Glasgow online application portal,https://www.gla.ac.uk/postgraduate/taught/globalmarketslocalcreativities/,https://www.gla.ac.uk/postgraduate/taught/globalmarketslocalcreativities/|https://www.gla.ac.uk/postgraduate/erasmusmundus/|https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en,PARTIALLY_VERIFIED,F-EM,2026-08-22,"The consortium's own domain globallocal-erasmusmundus.eu is behind a bot-challenge and could not be read this session; facts come from the University of Glasgow (a full consortium partner, so an official domain) but the scholarship count and exact deadline are still TBC. Subject is global economic and business history plus creative industries - it is NOT a music-business master, and there is no technical or production content at all. UK partner sits outside the EU.","BOTH A SPAIN AND A NETHERLANDS NODE: Universitat de Barcelona, Barcelona, SPAIN and Erasmus University Rotterdam, Rotterdam, NETHERLANDS, alongside University of Glasgow (coordinator), Georg-August-Universitaet Gottingen, Germany, Uppsala Universitet, Sweden, Universidad de Los Andes, Colombia, and Kyoto University, Japan. Serves L (creative entrepreneurship) and AC/AD/J at a strategic rather than practical level - it is a history-and-markets programme about creative industries. Barcelona placement is a genuine draw given the city's electronic-music scene. A 300-ECTS engineering diploma satisfies the credit bar; the 'specified disciplines' clause is the risk for a software-engineering applicant."
FEM-010,erasmus_mundus,IPCVai - Image Processing and Computer Vision AI (EMJM scholarship),Image Processing and Computer Vision ai (IPCVai),"IPCV consortium (Pazmany Peter Catholic University / Universidad Autonoma de Madrid / Universite de Bordeaux), funded by EACEA",eu,Universidad Autonoma de Madrid,Budapest (HU) | Madrid (ES) | Bordeaux (FR),C,"master (three national master's degrees, 120 ECTS, 24 months)",full+stipend,16800,Standard EMJM 1400 EUR/month for 24 months = 33600 EUR plus tuition waiver. The site also offers 'a limited number of half-fee waivers' for non-scholarship candidates. Exact scholarship count and self-funded tuition NOT published on the page read this session.,24 months,"TBC. Cohort size is 25, selected 'from over 1600 applications worldwide' - roughly a 1.5% acceptance rate, so this is one of the most competitive programmes in the catalogue.",Open worldwide (standard EMJM),likely,Not quotable from the page read this session; standard EMJM rules apply and Tunisia is a Region-3 targeted country.,Bachelor in a relevant engineering/computing field; fully taught in English. Detailed requirements not on the page read.,no,2026 intake self-funded call ran 9 March - 7 April 2026; the Erasmus Mundus scholarship call runs earlier (typically Nov-Jan). 2027 dates not published as of 2026-08-22.,TBC - 2026 self-funded window was 9 March to 7 April 2026; the 2027 scholarship deadline is unpublished,2026 cycle - 2027 TBC,IPCV consortium online application via ipcv.eu,http://ipcv.eu/,http://ipcv.eu/|https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en,PARTIALLY_VERIFIED,F-EM,2026-08-22,"SPAIN NODE CONFIRMED (Universidad Autonoma de Madrid) but the content is IMAGE processing and computer vision - there is NO audio, music or sound strand. Brutally competitive: 25 places from 1600+ applications. Scholarship amounts and Tunisian eligibility not quotable from the official page read this session. Logged as a technically strong but content-mismatched option for path C only.","Consortium: Pazmany Peter Catholic University, Budapest, Hungary; UNIVERSIDAD AUTONOMA DE MADRID, Madrid, SPAIN; Universite de Bordeaux, Bordeaux, France. Three master's degrees awarded, 120 ECTS, 2 years, fully English-taught. Serves C only, and only in the sense that the ML/signal-processing toolkit transfers to audio. A 300-ECTS software-engineering diploma is an excellent fit for the entry profile. Keep as a fallback if the audio-specific programmes fail."
