scholarship_id,region,scholarship_name,scholarship_name_original,provider,provider_type,applies_to_institution,applies_to_city,applies_to_programs,degree_level_covered,coverage_level,amount_eur_per_year,amount_notes,duration_covered,number_of_awards,nationality_restrictions,tunisia_eligible,tunisia_eligible_evidence,other_eligibility,requires_admission_first,application_window,deadline,deadline_source_cycle,apply_via,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,notes
FNL-001,netherlands,NL Scholarship (formerly Holland Scholarship),NL Scholarship,Dutch Ministry of Education Culture and Science (OCW) + participating Dutch institutions (administered via Nuffic/Study in NL),government_national,any,various,all_masters,bachelor and master,partial,5000,EUR 5000 paid in the FIRST YEAR only; some institutions (VU Amsterdam) list EUR 5000 or EUR 10000 for the whole study period. Not a tuition waiver.,first year only,varies by institution; 11 research universities and 24 universities of applied sciences participated for 2026-2027,non-EEA nationals only; Switzerland and Suriname excluded,yes,"""Your nationality is non-EEA."" / ""You do not have a degree from an education institution in the Netherlands.""",Full-time bachelor's or master's at a participating institution; must meet that institution's own selection criteria; no prior Dutch degree,unclear,Opened 1 November 2025 for 2026-2027; closing dates set per institution (e.g. AHK 1 Feb - 30 Apr 2026; HKU deadline 1 May 2026; VU automatic with VUFP by 1 Feb 2026),varies by institution (1 Feb to 1 May typical),2026 cycle - 2027 TBC,the chosen participating institution (not centrally),https://www.studyinnl.org/finances/nl-scholarship,https://www.studyinnl.org/finances/nl-scholarship|https://www.ahk.nl/en/nl-scholarship/|https://www.hku.nl/en/study-at-hku/explore-and-apply/nl-scholarship|https://vu.nl/en/education/more-about/incoming-master-scholarships|https://www.amsterdamuas.com/study/international-admissions/financial-matters/scholarships,VERIFIED,F-NL,2026-08-22,"EUR 5000 against non-EU tuition of EUR 13000-34000/yr is nowhere near sufficient on its own. Wageningen states on its own site: ""It is currently not yet known whether NL Scholarships will be available for students starting their master's programme in September 2027."" - 2027 continuation is NOT guaranteed.",Only useful as a TOP-UP stacked on an institutional waiver (VU and Maastricht explicitly bundle it). Institution list changes annually - re-check for 2027.
FNL-002,netherlands,Orange Knowledge Programme (OKP),Orange Knowledge Programme,Dutch Ministry of Foreign Affairs / Nuffic,government_national,any,various,all,master and short courses (historic),none_found,0,DISCONTINUED - no funding available,n/a,0,n/a - programme ended,no,"""In 2024, the Orange Knowledge Programme ended. That means that there are no new application rounds for this programme.""",n/a,no,closed permanently,n/a - closed,programme terminated 31 December 2024,n/a,https://www.studyinnl.org/finances/scholarships,https://www.studyinnl.org/finances/scholarships,VERIFIED,F-NL,2026-08-22,DEAD SCHEME. Many aggregator sites still advertise OKP for 2026/2027 - they are wrong. Do not plan around it.,Tunisia was in any case never a core OKP country. Nuffic phased out most non-Europe development work from 1 Jan 2025.
FNL-003,netherlands,MENA Scholarship Programme (MSP) - Tunisia,MENA Scholarship Programme (MSP),"Dutch Ministry of Foreign Affairs (Shiraka programme), managed by Nuffic",government_national,any (9 listed Dutch partner institutions),various,short courses only (2-13 weeks) in listed priority themes,SHORT COURSES ONLY - not a master's degree,full+stipend,TBC,"Fully funded short course (fee, travel, subsistence); exact euro figure not published on the provider page",2-13 weeks,approximately 20 scholarships a year for Tunisia,"Nationals of and living/working in: Algeria, Egypt, Iran, Iraq, Jordan, Lebanon, Libya, Mauritania, Morocco, Oman, Sudan, Tunisia",yes,"Country list includes ""Tunisia""; applicants must be ""living and working in Tunisia"", ""20 to 45 years old"", ""proficient in English""","Working professional with at least BSc-level education AND relevant work experience; signed employer statement; priority themes only (water, local governance, food security, sustainable tourism, women entrepreneurship etc.)",no,"Twice a year, usually February and September (2025 round ran 1 April - 20 May 2025)",TBC for 2027,2025/2026 rounds documented - 2027 TBC,the Dutch institution offering the course,https://www.studyinnl.org/finances/mena-scholarship-programme-msp/msp-tunisia,https://www.studyinnl.org/finances/mena-scholarship-programme-msp|https://www.studyinnl.org/finances/mena-scholarship-programme-msp/msp-tunisia,VERIFIED,F-NL,2026-08-22,DOES NOT FUND MASTER'S DEGREES. Short courses only. Also requires an employer and work experience - a fresh graduate does not qualify.,"This is the one national scheme that names Tunisia explicitly, and it is useless for the client's goal. Record and exclude."
FNL-004,netherlands,StuNed,StuNed (Studeren in Nederland),Dutch government via Nuffic Neso Indonesia,government_national,any,various,all_masters,master,full+stipend,TBC,Not verified this session,TBC,TBC,Indonesian nationals only,no,TBC - provider domain (nesoindonesia.or.id) was unreachable this session; StuNed is administered by Nuffic Neso INDONESIA for Indonesian nationals and is not listed on the general Study in NL scholarship page,TBC,unclear,TBC,TBC,not verified,Nuffic Neso Indonesia,https://www.studyinnl.org/finances/scholarships,https://www.studyinnl.org/finances/scholarships,UNVERIFIED,F-NL,2026-08-22,"Provider domain unreachable this session - nationality restriction recorded from the scheme's administering body, not from a page opened today.",Logged only to close it out per brief. Country-bound to Indonesia; excluded for a Tunisian applicant.
FNL-005,eu_wide,Erasmus+ International Credit Mobility (KA171),Erasmus+ International Credit Mobility,European Commission via Dutch host institutions,eu,any (Erasmus+ Charter holders),various,exchange periods only,exchange semester within a master - NOT a full degree,partial,TBC,Travel + individual support grant set per project; not published centrally,typically 3-12 months exchange,set per inter-institutional agreement,"Open to Partner Countries including Tunisia, but only through an existing agreement between the student's HOME university and the Dutch host",likely,"""Grant agreements are signed by your sending or receiving institution. They apply for funding on behalf of their students."" - the student cannot apply directly",Must be registered at a higher education institution participating in Erasmus+ and covered by a bilateral agreement,no,set by the home institution,varies,rolling / institution-set,the student's home university international office,https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/studying-abroad,https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/studying-abroad,PARTIALLY_VERIFIED,F-NL,2026-08-22,NOT a route to a funded Dutch master's degree. It funds exchange mobility inside a degree the student is already enrolled in elsewhere.,Irrelevant to the client's objective of a full master's IN the Netherlands. Kept for completeness.
FNL-006,erasmus_mundus,Erasmus Mundus Joint Masters (EMJM) scholarship,Erasmus Mundus Joint Masters,European Commission / EACEA,eu,any consortium including a Dutch partner,rotating,specific EMJM consortia,master,full+stipend,TBC,"Full scholarship contributing to ""Travel, Visa, Living allowance""; per-programme amounts published by each consortium, not centrally",full programme (12-24 months),varies per consortium,Open worldwide including Partner Countries,yes,"""Students from all over the world are welcome.""",Bachelor's degree (or completing one before start); apply directly to the consortium,no - the scholarship application IS the admission application,"""submit your application between October and January for courses starting the following academic year""",typically January (consortium-specific),2026 cycle - 2027 TBC per consortium,directly to each EMJM consortium,https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/erasmus-mundus-joint-masters-scholarships,https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/erasmus-mundus-joint-masters-scholarships,PARTIALLY_VERIFIED,F-NL,2026-08-22,Amounts and deadlines must be taken from each individual consortium page - none verified here. Consortium-level detail belongs to the Erasmus Mundus agent.,Structurally the single strongest EU-level route for a non-EU applicant and applies to any EMJM with a Dutch partner. Cross-reference the Erasmus Mundus file.
FNL-007,netherlands,Justus and Louise van Effen Excellence Scholarship,Justus & Louise van Effen Excellence Scholarships,Delft University of Technology,university,Delft University of Technology (TU Delft),Delft,all 2-year regular TU Delft MSc programmes (International Joint Education Programmes excluded),master,full+stipend,TBC,"""Full tuition fees per year for a TU Delft MSc programme"" plus a ""contribution for the living expenses""; the living contribution figure is not published on the scholarship page. Tuition value alone is EUR 25633 for 2026/2027.",2 years (2027-2029 cohort),2 scholarships per faculty,International applicants (no country list published; not restricted to a region),likely,"""You are an excellent international applicant (conditionally) admitted to one of the 2-year regular TU Delft MSc programmes"" - no nationality exclusion is stated",Excellent academic record; complete MSc application submitted before the scholarship deadline,yes - conditional admission required,"alongside the MSc application, autumn 2026","1 December 2026, 23:59 CET",2027 cycle CONFIRMED (2027-2029 intake),TU Delft MSc application portal,https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/scholarships/justus-louise-van-effen-excellence-scholarships,https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/scholarships/justus-louise-van-effen-excellence-scholarships|https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/scholarships,VERIFIED,F-NL,2026-08-22,"EARLIEST HARD DEADLINE IN THE WHOLE NL FILE: 1 December 2026 - nine months before the September 2027 start, and the full MSc application must already be complete by then (transcripts, English test, references).","One of the best packages in Europe: full tuition (EUR 25633+) plus living contribution. Only ~2 per faculty, so extremely competitive. Directly relevant to the client: EEMCS faculty covers Computer Science and Embedded Systems."
FNL-008,netherlands,TU Delft EEMCS Microelectronics Scholarship,"Faculty of Electrical Engineering, Mathematics and Computer Science - Microelectronics Scholarship","Delft University of Technology, Faculty EEMCS",university,Delft University of Technology (TU Delft),Delft,MSc Electrical Engineering (Microelectronics track),master,full_tuition,25633,"""Full tuition fees per year"" at the rate registered for the student's nationality; institutional MSc rate 2026/2027 is EUR 25633",2 years subject to an average grade of 8 (80%) in year one,up to two,International students; no country list published,likely,"""Promising excellent international students and (conditionally) admitted to the 2-year Regular TU Delft's MSc programme in Electrical Engineering (track Microelectronics)""",GPA 80% or higher from an internationally renowned university outside the Netherlands; MSc thesis must be done in the Microelectronics Department,yes,with the MSc application,1 December (listed as 1 December 2025 for the 2027-2029 intake page),"2026 cycle listed alongside a 2027-2029 intake - 2027 date TBC, assume 1 December 2026",TU Delft MSc application,https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/scholarships,https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/scholarships,PARTIALLY_VERIFIED,F-NL,2026-08-22,Deadline year on the index page is internally inconsistent (1 December 2025 stated next to a 2027-2029 intake). Confirm with TU Delft before relying on it.,"Narrow track fit - Microelectronics, not software. Listed for completeness."
FNL-009,netherlands,Radboud Scholarship Programme,Radboud Scholarship Programme,Radboud University,university,Radboud University,Nijmegen,all English-taught Master's programmes (Erasmus Mundus and joint-degree master's excluded),master,full_tuition,15000-19000,"Effect is a tuition reduction from the institutional rate (up to about EUR 18000 depending on programme, 2026/2027) down to EUR 2694, PLUS costs for visa, residence permit, health insurance and liability insurance. NO living stipend.",full programme duration,TBC,All non-EU/non-EEA countries,yes,"""All non-EU/non-EEA countries"" are eligible; you must ""hold a non-EU/non-EEA passport"" and ""are not eligible for the lower EU/EEA tuition fee for other reasons""",Must be FULLY admitted to the English-taught Master's programme starting 1 September; excellent academic record,yes - full (not conditional) admission required,autumn to early February,"31 January and 14 February (two deadlines, programme-dependent)",2026 cycle - 2027 TBC (dates given as 31 January 2026 / 14 February 2026),Radboud online application,https://www.ru.nl/en/education/scholarships/radboud-scholarship-programme,https://www.ru.nl/en/education/scholarships/radboud-scholarship-programme,VERIFIED,F-NL,2026-08-22,"Requires FULL admission (all documents, English test, verified diploma) before the deadline - functionally this pulls the real deadline forward to roughly December. No living stipend, so the IND financial-means proof of about EUR 13600 still has to be met from own funds.","Historically the most generous broad-access non-EU scheme in NL: any English-taught master, any non-EU nationality. Strong realistic target for a Tunisian engineer (Radboud has MSc Computing Science and MSc Artificial Intelligence)."
FNL-010,netherlands,University of Twente Scholarship (UTS),University Twente Scholarship (UTS),University of Twente,university,University of Twente,Enschede,all UT Master's programmes except those of the ITC Faculty of Geo-Information Science and Earth Observation,master,partial,3000-22000,"""EUR 3,000 - EUR 22,000 for one year"", renewable for the second year of a 2-year programme on performance. At the top of the band it effectively covers tuition; at the bottom it is a token amount.","1 year, extendable to 2",TBC,non-EU/EEA countries; a list of 190+ eligible nations is published and includes Tunisia,yes,"""The University Twente Scholarship (UTS) is a scholarship for excellent students from non-EU/EER countries, applying for a graduate programme (MSc) at the University of Twente."" Tunisia appears on the published country list.","Must belong to ""the best 5 to 10 percent of your graduation class at your home university""; (provisional) admission required",yes - (provisional) admission needed before applying for funding,portal opens 15 October 2026; closes 1 April 2027,"1 April 2027, 16:00 CET",2027 cycle CONFIRMED,UT scholarship portal after admission,https://www.utwente.nl/en/education/scholarship-finder/university-of-twente-scholarship/,https://www.utwente.nl/en/education/scholarship-finder/university-of-twente-scholarship/,VERIFIED,F-NL,2026-08-22,"Award band is enormous (EUR 3000 to EUR 22000) - a low award leaves a large unfunded gap. Results only announced first week of May 2027, which is late for visa/MVV processing.","The most applicant-friendly timeline of any Dutch scheme (1 April 2027, four months later than TU Delft/Leiden) and Tunisia is explicitly on the country list. UT has strong CS/Interaction Technology/Embedded Systems masters. STRONG FIT."
