scholarship_id,region,scholarship_name,scholarship_name_original,provider,provider_type,applies_to_institution,applies_to_city,applies_to_programs,degree_level_covered,coverage_level,amount_eur_per_year,amount_notes,duration_covered,number_of_awards,nationality_restrictions,tunisia_eligible,tunisia_eligible_evidence,other_eligibility,requires_admission_first,application_window,deadline,deadline_source_cycle,apply_via,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,notes
FES-001,spain,MAEC-AECID Scholarships - Africa-Med Master Programme,Becas MAEC-AECID para la ciudadania de paises de Africa y Oriente Medio - Programa Africa-Med Master,Agencia Espanola de Cooperacion Internacional para el Desarrollo (AECID) / MAEUEC,government_national,any,any (Spain),all_masters (official on-site master universitario of max 60 ECTS),master,full+stipend,24000,2000 EUR/month living allowance for the scholarship period plus health-insurance policy in Spain of up to 80 EUR/month per beneficiary. Total 2026-27 budget 686400 EUR. The BOE extract does NOT state that tuition (matricula) is covered - treat tuition as NOT covered until the full resolucion is read.,1 Sep to 31 Jul (one academic year; master of max 60 ECTS),30 (max),Nationals of a closed list of African and Middle-East countries; Tunisia is explicitly on the list,yes,"""nacionales de Angola, Argelia, Cabo Verde, ... Marruecos, Mauritania, Mozambique, Namibia, Niger, Nigeria, Palestina, ... Sudan, Tanzania, Tunez y Zimbabue.""","Must hold admission to the master BEFORE applying for the scholarship; application only via AECID Sede Electronica after registering in Carpeta Ciudadana; master must be official (titulo oficial), on-site, max 60 ECTS",yes,2 July 2026 to 15 July 2026 (10 working days after BOE publication) for the 2026/2027 course,15 July 2026,"2026/2027 cycle - 2027/2028 call TBC (expect BOE publication ~late June 2027, window ~early July 2027)",AECID Sede Electronica (sede.aecid.gob.es) - Carpeta Ciudadana registration required,https://www.aecid.es/w/la-aecid-abre-la-convocatoria-de-becas-maec-aecid-2026/2027-del-programa-%C3%A1frica-med-m%C3%A1ster,https://www.aecid.es/w/la-aecid-abre-la-convocatoria-de-becas-maec-aecid-2026/2027-del-programa-%C3%A1frica-med-m%C3%A1ster|https://www.boe.es/buscar/doc.php?id=BOE-B-2026-22411,VERIFIED,F-ES,2026-08-22,Extremely short application window (10 working days) and it opens AFTER most Spanish master admission decisions - the client must already hold a written admission letter by early July 2027. Only 30 awards for ~33 countries. Tuition coverage not confirmed in the BOE extract.,"THIS IS THE SINGLE BEST ROUTE for a Tunisian national. 2000 EUR/month is well above the Spanish student cost of living. The 2027/2028 call is the one the client needs; the 2026/2027 call closed 15 July 2026. Plan: secure master admission by June 2027, then apply in the ~2-week July 2027 window."
FES-002,spain,General State Scholarship for post-compulsory studies (master included),Becas de caracter general para estudiantes que cursen estudios postobligatorios,"Ministerio de Educacion, Formacion Profesional y Deportes",government_national,any,any (Spain),all_masters (master universitario oficial) plus grado and non-university post-compulsory studies,master,full_tuition,1700-4525,Beca de matricula = full public price of credits enrolled for the first time; plus cuantia fija ligada a la renta 1700 EUR; plus cuantia fija ligada a la residencia 2700 EUR; plus cuantia ligada a la excelencia academica 50-125 EUR. Components are cumulative and means-tested.,"one academic year, renewable","not capped (entitlement-based, subject to income and academic thresholds)",Spanish or EU nationality; non-EU nationals only with a PERMANENT RESIDENCE permit - a student stay authorisation (estancia por estudios) does NOT qualify,no,"""Pel que fa als estudiants no comunitaris, s'aplica ... la normativa sobre drets i llibertats dels estrangers ... unicament podran accedir ... aquells que disposin d'un permis de residencia permanent.""",Income and asset thresholds; academic thresholds; requirements must be met as at 31 December of the year preceding the course,no (applied for before/при enrolment),7 April 2026 08:00 to 19 May 2026 15:00 (peninsular time) for course 2026-2027,19 May 2026,2026-2027 cycle - 2027-2028 call TBC (historically opens late March / early April 2027),Sede electronica del Ministerio (becaseducacion.gob.es),https://www.educacionfpydeportes.gob.es/servicios-al-ciudadano/catalogo/general/05/050130/ficha/050130-2026.html,https://www.educacionfpydeportes.gob.es/servicios-al-ciudadano/catalogo/general/05/050130/ficha/050130-2026.html|https://www.upc.edu/sga/ca/Beques/beques-per-a-estudis/beques-fundacions-i-empreses/becaallianztechnologyupc|https://www.boe.es/diario_boe/txt.php?id=BOE-B-2026-9261,PARTIALLY_VERIFIED,F-ES,2026-08-22,CONFLICT on the closing date: the ministry catalogue ficha I opened says 19 May 2026 15:00; secondary pages say 18 May 2026. Nationality quote is UPC's restatement of the state rule (in Catalan) because the full BOE convocatoria text is a PDF I could not parse this session.,"CLOSED to the client in practice. The bar is a permiso de residencia permanente, which a first-time student visa holder will not have. Only becomes relevant if the client later obtains long-term residence in Spain."
FES-003,spain,Fundacion Carolina Postgraduate Scholarships,Becas de Postgrado de la Fundacion Carolina,Fundacion Carolina,foundation,any (203 partner programmes at Spanish universities),any (Spain),specific list of ~203 partner master programmes,master,partial,TBC,"Two modalities (beca and ayuda de estudio) with differing economic contributions shared between the Foundation, the Spanish academic institution and the applicant. Exact figures not published on the pages opened.",one academic year,"228 postgraduate scholarships in the 26th (2026-2027) call, out of 736 total","Nationals and residents of a Latin American country of the Comunidad Iberoamericana de Naciones, or Portugal",no,"""licenciados nacionales y residentes de un pais de America Latina, miembro de la Comunidad Iberoamericana de Naciones, o Portugal""",Outstanding CV; B2 or higher in English or in Spanish where not a native speaker,unclear,12 January 2026 to 2 March 2026 (postgraduate and institutional) for 2026-2027,2 March 2026,2026-2027 cycle - 2027-2028 call TBC (historically opens mid-January),fundacioncarolina.es online application,https://www.fundacioncarolina.es/formacion/postgrado/,https://www.fundacioncarolina.es/formacion/postgrado/|https://www.fundacioncarolina.es/convocatoria-de-becas-2026-2027/,VERIFIED,F-ES,2026-08-22,Hard nationality bar. Confirmed CLOSED to Tunisians.,"Answering the brief plainly: Fundacion Carolina is Ibero-America only. A Tunisian national cannot apply, no matter the programme. Do not spend time here."
FES-004,spain,Fundacion la Caixa Postgraduate Fellowships Abroad,Becas de posgrado en el extranjero - Fundacion la Caixa,Fundacion Bancaria la Caixa,bank,"any (EHEA, North America, Asia-Pacific) - NOT Spain as a destination",outside Spain,all_masters except MBA; also doctorate and predoctoral research,master|doctorate,full+stipend,TBC,Tuition plus monthly allowance; exact figures not retrieved - fundacionlacaixa.org is behind Cloudflare and returned HTTP 403 to every request this session.,up to 24 months,100,Spanish or Portuguese nationality only,no,"""Tener la nacionalidad espanola o portuguesa"" (per fundacionlacaixa.org call page summary; page itself returned HTTP 403)",Bachelor degree from a Spanish (Spanish candidates) or Portuguese (Portuguese candidates) university; degree completed between Jan 2017 and Jul 2026; advanced level in the language of the destination studies,no (admission must be proven later),closed 19 January 2026 for the 2026 call,19 January 2026,2026 call - 2027 call TBC,fundacionlacaixa.org,https://fundacionlacaixa.org/es/becas-posgrado-extranjero-convocatoria,https://fundacionlacaixa.org/es/becas-posgrado-extranjero-convocatoria|https://fundacionlacaixa.org/es/becas-posgrado-extranjero,UNVERIFIED,F-ES,2026-08-22,"Provider domain is Cloudflare-protected and returned HTTP 403 to WebFetch AND to curl. Facts here come from the search engine's index of the provider domain, not from a page I successfully rendered. RE-VERIFY before relying on it.","Doubly closed: nationality is Spanish/Portuguese only, AND the destination must be outside Spain. la Caixa's separate Spain-based postgraduate award line could not be located on the provider domain this session - flagged as a coverage gap."
FES-005,spain,Fundacion Ramon Areces Postgraduate Scholarships for Studies Abroad (Social Sciences / Humanities),Becas Fundacion Ramon Areces para Estudios de Postgrado - Convocatoria para Ampliacion de Estudios en el Extranjero,Fundacion Ramon Areces,foundation,any university abroad - NOT Spain,outside Spain,"postgraduate study in economics, applied economics, commercial distribution, EU law and related fields",master|doctorate,full+stipend,25200,"2100 EUR/month NET, plus registration and tuition fees at the foreign university, plus one annual return economy flight with a travel insurance package","one academic year, extendable by one more for two-year masters",TBC,Spanish nationality only,no,"""I. Requisitos de los candidatos: Tener la nacionalidad espanola.""",Degree giving access to the requested studies; admission to the destination programme; excellent command of the language of instruction; not holding any other study grant,no (admission must be evidenced by 30 June),21 January 2026 to 23 February 2026 for course 2026/2027,23 February 2026,2026-2027 cycle - 2027-2028 call TBC (historically opens ~21 January),fundacionareces.es online form,https://www.fundacionareces.es/fundacionareces/es/convocatorias/becas-y-ayudas/,https://www.fundacionareces.es/fundacionareces/es/convocatorias/becas-y-ayudas/|https://www.fundacionareces.es/fundacionareces/es/convocatorias/becas-fundacion-ramon-areces-para-estudios-de-postgrado-xl-convocatoria-para-ampliacion-de-estudios-en-el-extranjero-en-ciencias-sociales.html,VERIFIED,F-ES,2026-08-22,Doubly closed: Spanish nationality required AND the studies must be outside Spain.,"Logged so the client does not waste time. Areces funds Spaniards leaving Spain, not foreigners coming in."
FES-006,spain,Fundacion Botin University Studies Scholarships,Becas para Estudios Universitarios - Fundacion Botin,Fundacion Botin,foundation,"any (Cantabrian universities, or other Spanish universities where the degree is unavailable in Cantabria)",Cantabria / Spain,undergraduate (grado) only,bachelor,partial,1500-5000,28 awards of 1500 EUR for study within Cantabria; 19 awards of 5000 EUR for other Spanish universities when the degree is not offered in Cantabria,"9 months, annually renewable",47 (54th edition),"Must be a native of, or resident in, Cantabria for at least three years",no,"""natural y vecino de Cantabria o haber residido en la comunidad como minimo los tres anos"" (previos a la solicitud)",Aged 25 or under; must not already hold a bachelor degree; high GPA (7.5 for engineering),no,closes 31 July 2026,31 July 2026,2026/2027 cycle - 2027 call TBC,fundacionbotin.org,https://fundacionbotin.org/becas-convocatorias/becas-para-estudios-universitarios/,https://fundacionbotin.org/becas-convocatorias/becas-para-estudios-universitarios/,VERIFIED,F-ES,2026-08-22,Cantabria residency AND undergraduate-only. Not a master's route.,Closed on two independent grounds. Logged for completeness.
FES-007,spain,Fundacion BBVA Leonardo Grants,Becas Leonardo - Fundacion BBVA,Fundacion BBVA,foundation,any,Spain / Latin America,individual research and cultural-creation projects,postdoctoral / researcher,none_found,TBC,Amounts not published on the calls index page opened.,TBC,TBC,"Open calls at 2026-08-22 are country-scoped: Becas Leonardo 2026 - Mexico, and Becas Leonardo 2026 - Argentina, Colombia y Peru",no,"Only two calls were open on the provider's convocatorias index: ""Becas Leonardo 2026 - Mexico"" and ""Becas Leonardo 2026 - Argentina, Colombia y Peru"" - no Africa/MENA call exists","Aimed at researchers and cultural creators mid-career, not at master's students",no,TBC,TBC,2026 calls open at time of check - no master's-level call published,fbbva.es / redleonardo.es,https://www.fbbva.es/convocatorias,https://www.fbbva.es/convocatorias,PARTIALLY_VERIFIED,F-ES,2026-08-22,"Fundacion BBVA runs no master's-degree scholarship. Becas Leonardo target researchers, and the live geographic calls are Latin America only.",Not a route for this client. Logged so the orchestrator can close it out.
FES-008,spain,Fundacion ONCE Oportunidad al Talento scholarship programme,Programa de Becas Oportunidad al Talento - Fundacion ONCE,Fundacion ONCE,foundation,any,any (Spain),"all_masters plus doctorate, research, study-and-sport modalities",master|doctorate,partial,TBC,Amounts not published on the pages I could open (becas.fundaciononce.es is a SharePoint site whose call detail pages returned 404 this session).,TBC,TBC,TBC,unclear,"""apostar por la educacion y el acceso al conocimiento de los jovenes con discapacidad"" - the site states disability as the defining criterion; no nationality clause was published on the pages reachable","Certified disability required. Modalities visible include Beca Master, Beca Doctorado, Beca Investigacion, Beca Estudio y Deporte",unclear,TBC,TBC,TBC,becas.fundaciononce.es,https://becas.fundaciononce.es/,https://becas.fundaciononce.es/|https://becas.fundaciononce.es/Paginas/BecasExcelencia.aspx,PARTIALLY_VERIFIED,F-ES,2026-08-22,Requires a certified disability - not applicable to this client on the profile as briefed. Call detail pages were unreachable.,Logged for completeness only.
FES-009,spain,Fundacion Repsol - no scholarship programme found,Fundacion Repsol - Becas,Fundacion Repsol,foundation,any,any (Spain),none,n/a,none_found,0,"No scholarship product exists on the provider's /becas page. What is published there is Catedras Universitarias (funded university chairs), Fondo de Emprendedores (startup accelerator) and Zinkers (schools education platform).",n/a,0,n/a,no,"No scholarship call is published; the /es/becas page lists only Catedras Universitarias, Fondo de Emprendedores and Zinkers",n/a,no,n/a,n/a,checked 2026-08-22,n/a,https://www.fundacionrepsol.com/es/becas,https://www.fundacionrepsol.com/es/becas,VERIFIED,F-ES,2026-08-22,No individual master's scholarship offered.,Closed out. Do not chase.
FES-010,spain,Santander Open Academy scholarships,Becas Santander / Santander Open Academy,Banco Santander / Santander Universidades,bank,any (delivered mostly through partner universities),any,"varies by call - study aid, academic mobility, research, professional internships",bachelor|master|other,partial,TBC,Amounts are set call-by-call. The Santander Open Academy landing page publishes no amounts. Individual university-channel calls exist (see FES-011).,varies,varies,Set per call; the platform page states only that each call has its own requirements,unclear,"""The scholarships are aimed at a wide variety of profiles, from university students to professionals. Each call may have specific requirements, so review the eligibility criteria.""",Most Santander study-aid calls in Spain are channelled through the enrolling university and require existing enrolment,yes (for the university-channel calls),"rolling, per call",TBC,rolling calls - 2027 TBC,santanderopenacademy.com,https://www.santanderopenacademy.com/en/scholarships.html,https://www.santanderopenacademy.com/en/scholarships.html,PARTIALLY_VERIFIED,F-ES,2026-08-22,"No country list published at platform level. Amounts unknown. Most Spain calls require prior enrolment, so they cannot fund the decision to come.","Useful as a top-up once enrolled, not as a primary funding route."
