id,path_letter,program_name,degree_awarded,institution,institution_type,city,country,mobility,language_of_instruction,english_level_required,duration_months,ects,tuition_non_eu_eur_per_year,tuition_notes,intake_2027_confirmed,application_opens,application_deadline,deadline_source_cycle,entry_requirements_summary,accepts_engineering_bachelor,portfolio_or_audition_required,scholarship_available,scholarship_names,scholarship_coverage_level,tunisia_eligible,program_url,admissions_url,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,fit_notes
A-001,A,"M.A. Musik, Sound, Performance (joint FU Berlin / HU Berlin)",Master of Arts (MA),Freie Universität Berlin (Institut für Theaterwissenschaft) with Humboldt-Universität zu Berlin (Institut für Musikwissenschaft und Medienwissenschaft),Public university,Berlin,Germany,single_site,German,TBC,TBC,TBC,0,"German public universities - no tuition, Semesterbeitrag only. Amount not confirmed on an official page this session.",TBC,TBC,TBC,TBC,"A professionally qualifying German or equivalent foreign university degree with at least 20 credit points earned in courses with musicological content, or equivalent. International applicants must evidence German proficiency.",no,TBC,TBC,TBC,TBC,TBC,https://www.fu-berlin.de/studium/studienangebot/master/musik_-sound_-performance/index.html,https://www.hu-berlin.de/de/studium/bewerbung,TBC,https://www.musikundmedien.hu-berlin.de/de/musikwissenschaft/ma-studiengang-musik-sound-performance|https://www.fu-berlin.de/studium/studienangebot/master/musik_-sound_-performance/index.html,UNVERIFIED,W1-A,2026-08-22,"No FU/HU page was opened this session (search budget exhausted) - all content derives from search extracts. ELIGIBILITY BLOCKER: at least 20 credit points of musicological coursework required, which a software-engineering diploma does not provide. German-taught. Content is musicology/theatre/performance studies, not audio computing.","Included only to close the Humboldt/Berlin coverage question. It is not a sound-and-music-computing programme and the client is almost certainly ineligible. HU's Institut für Musikwissenschaft und Medienwissenschaft does host systematic musicology and media-technology research, so a follow-up should check the separate MA Medienwissenschaft for computational/audio content."
N-141,N,"Creative Computing, M.A.",Master of Arts,UE University of Europe for Applied Sciences,Private university of applied sciences,Berlin (campus to be confirmed),Germany,single_site,English,TBC,12,TBC,TBC,"Third-party sources quote EUR 13,000 per year for EU and EUR 14,300 for non-EU applicants plus a EUR 3,000 reservation fee - NOT confirmed on a UE page opened this session.",TBC,TBC,TBC,TBC,Not verified - the UE programme page for Creative Computing could not be reached (the tech-programmes listing opened this session did not include it).,likely,TBC,TBC,TBC,TBC,TBC,https://www.ue-germany.com/programmes,TBC,TBC,https://www.ue-germany.com/programmes/master/innovation-design-management,UNVERIFIED,W1-N,2026-08-22,"Could not be confirmed on any official UE page this session - the programmes listing that loaded showed Generative Design & AI MA, Data Science MSc, Digital Transformations MSc and others but no Creative Computing, so the programme may have been renamed or discontinued. Every figure here is third-party and must be treated as a lead only. UE also offers Generative Design & AI (M.A.), which may be the successor and is the row to check first.","Creative coding at master level in Berlin would be an excellent fit (audio-visual systems, generative work, interactive installations). Logged as a lead so Wave 2 checks both this name and Generative Design & AI on the UE site directly."
C-070,C,Musicology (MA) - specialisation Cognitive and Computational Musicology,MA Music Studies / Musicology (TBC),"University of Amsterdam (UvA) - Faculty of Humanities, Department of Musicology (with the Music Cognition Group, ILLC)",public university,Amsterdam,Netherlands,single_site,TBC (reported English),TBC,TBC,TBC,TBC,TBC - UvA Faculty of Humanities non-EEA master rates differ from the Faculty of Science rates recorded in row C-009.,TBC,TBC,TBC,TBC,TBC - programme page could not be located on uva.nl this session (two candidate URLs returned HTTP 404).,unclear,TBC,TBC,TBC,none_found,TBC,TBC - see https://www.uva.nl/en/programmes and search 'Musicology',TBC,TBC,https://aihr.uva.nl/humanities-labs/music-lab/music-lab.html|research/leads/leads_netherlands.csv,UNVERIFIED,W1-C,2026-08-22,"Programme URL not found this session (404 on both attempted paths); every field is TBC. As a humanities MA it is also a weaker admission route for a non-musician engineer, and a Dutch humanities MA is unlikely to fund a non-EU student.","PATH C(a)/(b) HYBRID from the prior sweep's leads: the UvA Musicology MA reportedly carries a Cognitive and Computational Musicology specialisation and is the Faculty-of-Humanities teaching home of the Music Cognition Group (verified as an ILLC/Musicology/ABC joint group on aihr.uva.nl). Same research group as row C-009 but a humanities entry route - keep as a fallback, prefer MSc AI (C-009). Needs URL discovery in Wave 2."
N-147,N,MSc Strategic Product Design,Master of Science (NVAO accredited),Delft University of Technology (Faculty of Industrial Design Engineering),Public research university,Delft,Netherlands,single_site,English,TBC,24,120,25633,"Institutional rate for non-EU MSc students, 2026-2027.",TBC,TBC,TBC,2026-2027 fees confirmed; 2027 deadlines TBC,"Separate criteria for Dutch BSc, HBO and non-Dutch degrees; September start.",unclear,TBC,TBC,TBC,TBC,TBC,https://www.tudelft.nl/en/education/programmes/masters/spd/msc-strategic-product-design,https://www.tudelft.nl/en/education/programmes/masters/spd/msc-strategic-product-design/admission-application-finances,https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/tuition-fee-finances,https://www.tudelft.nl/en/education/programmes/masters/spd/msc-strategic-product-design|https://www.tudelft.nl/en/education/study-programme-orientation/practical-matters/tuition-fee-finances,PARTIALLY_VERIFIED,W1-N,2026-08-22,"Same EUR 25,633 non-EU fee; least technical of the three Delft IDE masters.","Business models, innovation strategy and new-product development - the route for an engineer who wants to run a music-tech product line or start a venture rather than write the DSP. Pairs a strong technical CV with the commercial vocabulary the client currently lacks."
N-149,N,MSc Creative Intelligence and Technology (formerly MSc Media Technology),Master of Science,Leiden University (LIACS with the Academy of Creative and Performing Arts),Public research university,Leiden,Netherlands,single_site,English,TBC,24,120,TBC,Non-EU institutional fee not reachable on the pages opened this session.,TBC,TBC,TBC,TBC,Welcomes applicants from diverse educational backgrounds and states it is open to any field of previous bachelor education; students bring their own research question and work by making. September and February starts.,likely,TBC,TBC,Leiden University Excellence Scholarship (LExS) - not verified this session,TBC,TBC,https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology,https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology/admission-and-application,TBC,https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology|https://www.universiteitleiden.nl/en/education/study-programmes/master/creative-intelligence--technology/admission-and-application|https://mediatechnology.leiden.edu/,PARTIALLY_VERIFIED,W1-N,2026-08-22,"Fees, deadlines and the concrete admission rule set were not obtainable from the pages opened. Programme was renamed from Media Technology, so older sources use the old name.","Explicitly a science-by-doing master run jointly by the computer-science institute and the arts academy: students propose their own creative-technology research and build it. Historically the Dutch home of music-technology and sound-installation theses, and one of the very few masters that says outright it accepts any bachelor background - an unusually low-friction entry for a software engineer with a music question."
A-007,A,Máster Universitario en Ingeniería Acústica (interuniversitario UGR-UCA),Máster Universitario oficial (MSc),Universidad de Granada + Universidad de Cádiz (interuniversity),Public university,Granada (with Cádiz specialities),Spain,single_site,Spanish,TBC,12,60,TBC,"Andalusian public per-credit rate, not published on the page opened.",TBC,TBC,"Set by the Distrito Único Andaluz, not by the university - dates not on the page opened",TBC,"Graduates in Engineering, Architecture or Sciences (Mathematics, Physics, etc.); other profiles assessed by the Academic Commission.",yes_explicit,no,TBC,TBC,TBC,TBC,https://masteres.ugr.es/acustica/,https://escuelaposgrado.ugr.es,https://escuelaposgrado.ugr.es,https://masteres.ugr.es/acustica/informacion/presentacion|https://masteres.ugr.es/acustica/,PARTIALLY_VERIFIED,W1-A,2026-08-22,Spanish-taught. Deadlines are controlled by the Distrito Único Andaluz and were not confirmed. Granada/Cádiz are outside the client's priority cities. Structure is 20+20+15+5 ECTS with a 15-ECTS practicum.,"Entry text explicitly names Engineering degrees - the clearest yes_explicit on the Spanish acoustics cluster for a 300-ECTS engineering diploma. Andalusian public fees are among the lowest in Spain, which matters under the FUNDING-FIRST strategy. Content is acoustics engineering, not music computing."
C-071,C,Artificial Intelligence (MSc),MSc Artificial Intelligence,"University of Amsterdam (UvA) - Faculty of Science / Institute for Logic, Language and Computation (ILLC)",public university,Amsterdam,Netherlands,single_site,English,Proof of English proficiency required (TOEFL / academic IELTS / Cambridge); test result due by the application deadline,24,120 (TBC - not stated on the pages opened),26000,UvA fee table for 2026-2027 lists Faculty of Science institutional (non-EEA) rates: Master's (two years) EUR 26000; Master's Computer Science EUR 24150; Master's (one year) EUR 34300. MSc Artificial Intelligence is a two-year Faculty of Science master but is NOT itemised by name in the table - confirm the exact AI rate. Plus a EUR 100 non-refundable application fee. 2027-2028 rate TBC.,TBC,1 October,"31 January, 23:59 CEST (non-EU/EEA applicants)",Page is not year-stamped; this is the recurring annual pattern. For September 2027 entry expect applications open 1 October 2026 and close 31 January 2027 - 2027 TBC,"A Dutch bachelor's in Artificial Intelligence or Computer Science, or a comparable foreign qualification, plus at least 12 EC computer science, 12 EC programming, 6 EC calculus, 6 EC linear algebra and 6 EC probability and statistics. Proof of English proficiency due with the application.",likely,no,TBC,TBC,none_found,TBC,https://www.uva.nl/en/programmes/masters/artificial-intelligence/artificial-intelligence.html,https://www.uva.nl/shared-content/programmas/en/masters/artificial-intelligence/application-and-admission/international-prior-education/international-prior-education-foldout-menu.html,https://www.uva.nl/en/education/fees-and-funding/tuition-fees/tuition-fees.html,https://www.uva.nl/shared-content/programmas/en/masters/artificial-intelligence/application-and-admission/international-prior-education/international-prior-education-foldout-menu.html|https://www.uva.nl/en/education/fees-and-funding/tuition-fees/tuition-fees.html|https://aihr.uva.nl/humanities-labs/music-lab/music-lab.html,PARTIALLY_VERIFIED,W1-C,2026-08-22,"Non-EU tuition around EUR 26000/yr over two years is the single largest cost in this path - under a funding-first strategy this row only works with a full scholarship, and no UvA scholarship was verified this session. EUR 100 non-refundable application fee. The Music Cognition Group's own site (mcg.uva.nl) returned HTTP 503 at time of check. Henkjan Honing is professor EMERITUS - confirm an active music-AI supervisor before committing.","PATH C(b) STRONG: UvA's ILLC hosts the MUSIC COGNITION GROUP (MCG), housed at LAB42 on Science Park alongside the AI programme, affiliated with the Department of Musicology, ILLC and Amsterdam Brain and Cognition, and doing explicitly 'cognitive and computational music research' (verified on aihr.uva.nl). Amsterdam is the client's top-priority Dutch city and this is a flagship EU AI master. Client's 300-ECTS engineering diploma exceeds the degree bar; the itemised EC prerequisites are the real gate."
N-136,N,"Innovation Design, M.A.",Master of Arts,CODE University of Applied Sciences Berlin,Private university of applied sciences,Berlin,Germany,single_site,English,B2 minimum,12 or 24 (60 or 120 ECTS); part-time 24 or 48,60 or 120,15000,"EUR 1,250 per month on the Direct Pay model (about EUR 15,000 per year; roughly EUR 30,000 for the 120-ECTS track) or EUR 650 per month on the Stretch Pay model over double the period. No separate non-EU rate published - confirm with admissions.",yes,TBC,31 December 2026 for the Spring 2027 intake (semester starts 1 February 2027); 20 August 2026 for Fall 2026,2026 and 2027 cycles both published; a Fall 2027 deadline is not yet listed,"Bachelor's degree IN ANY FIELD plus at least one year of professional experience after the bachelor (internships, working-student roles or founding a startup count); English B2; portfolio and motivational statement through the application portal, then an interview with faculty and admissions.",yes_explicit,yes,yes,"CODE scholarships and grants, flexible payment plans, Income Share Agreements, KfW student loans",partial,TBC,https://code.berlin/en/study/master/,https://code.berlin/en/study/master/admission,https://code.berlin/en/study/master/tuition/,https://code.berlin/en/study/master/tuition/|https://code.berlin/en/study/master/admission,VERIFIED,W1-N,2026-08-22,"Expensive for a private UAS (about EUR 30,000 for the two-year track) and the one-year-of-professional-experience rule is a hard gate for a 2027 graduate - internships or a startup do count, so this must be evidenced carefully. State recognition/accreditation was not confirmed on the pages opened; confirm before relying on it for the visa. || Same cost and experience-gate caveats as N-026; accreditation status unconfirmed on the pages opened.","Project-based product school embedded in Berlin's startup scene, with any-field bachelors explicitly welcome and a Spring intake (1 February 2027) that fits an early-2027 move. Suits an engineer who wants to build and ship a music product with design and venture coaching rather than sit exams; portfolio-based admission also rewards the music work already in progress."
N-151,N,Human-Computer Interaction and Design with Extended Reality (HCID/XR),Double MSc degree from two partner universities plus an EIT certificate,"EIT Digital Master School (entry points include University of Twente and Universidad Politecnica de Madrid; also Aalto, KTH, Politecnico di Milano)",European consortium of public universities,Enschede (NL) and Madrid (ES) among the entry points,Netherlands / Spain / rotating,rotating,English,TBC,24,120,TBC,Fee-paying programme; the per-year non-EU amount is set per university and was not obtainable this session.,yes,Fall 2026 (applications for the 2027/28 intake),"TBC - rolling application periods, scholarships awarded first come first served",2027/28 cycle explicitly confirmed on the official site: 'The application for the 2027/28 intake will open in Fall 2026',"BSc (or final year) in Computer Science, Information Systems, Interaction Design, Cognitive Science or ENGINEERING; applicants with professional or research experience in HCI, UX or XR development encouraged. Year 1 at an entry university, year 2 at an exit university, with an Innovation and Entrepreneurship minor, an EIT summer school between years, and a thesis with a company or research internship.",yes_explicit,no,yes,"EIT Digital Scholarships of Excellence (full tuition waiver plus monthly allowance), full tuition waiver, half tuition waiver",full+stipend,NO - the EIT Digital funding scheme is available ONLY to nationals of EU Member States (including OCTs) and listed EEA and Digital-Europe-associated countries. Partner-university scholarships remain open to non-EU students.,https://masterschool.eitdigital.eu/human-computer-interaction-and-design-with-extended-reality,https://masterschool.eitdigital.eu/human-computer-interaction-and-design-with-extended-reality/entry-exit,https://masterschool.eitdigital.eu/human-computer-interaction-and-design-with-extended-reality,https://masterschool.eitdigital.eu/human-computer-interaction-and-design-with-extended-reality|https://masterschool.eitdigital.eu/human-computer-interaction-and-design-with-extended-reality/entry-exit,VERIFIED,W1-N,2026-08-22,MAJOR: the headline EIT Digital scholarships are closed to Tunisian nationals - the funding scheme is restricted to EU/EEA and Digital-Europe-associated country nationals. The programme itself is open to non-EU applicants but must then be self-funded or funded by a partner university's own scheme. This kills the funding-first case unless a Twente (UTS) or UPM scholarship can be stacked.,"Structurally perfect on paper: engineering bachelors named as eligible, a technical XR/HCI major with an innovation-and-entrepreneurship minor, an industry internship thesis, and TWO in-scope entry points - University of Twente (whose Interaction Technology master is row N-010) and UPM Madrid. First-year Twente courses include game-engine and XR development plus experience design, all directly reusable for interactive-music work. Apply early: scholarships are first come first served, and 2027/28 applications open in Fall 2026."
N-154,N,Master in Design and Management of User Experience (UX) and Digital Services,Own-degree master issued by UVic-UCC (not official),Elisava Barcelona School of Design and Engineering (UVic-UCC),Private university-affiliated design and engineering school,Barcelona,Spain,single_site,Spanish (some material/lectures in English),TBC,10,60,11250,"EUR 11,250 plus EUR 500 pre-registration fee.",no,TBC,TBC,2026 cycle - 2027 TBC (start 26 September 2026 published),"Preferred backgrounds design, engineering, communication or advertising; junior UX/UI designers and project managers; professional experience can substitute for a formal degree.",yes_explicit,TBC,yes,Elisava Masters' Scholarships (50% of tuition; next call March 2027),partial,likely,https://www.elisava.net/en/masters/master-in-design-and-management-of-user-experience-ux-and-digital-services/,https://www.elisava.net/en/how-to-apply/,https://www.elisava.net/en/masters/elisava-masters-scholarships/,https://www.elisava.net/en/masters/master-in-design-and-management-of-user-experience-ux-and-digital-services/|https://www.elisava.net/en/masters/elisava-masters-scholarships/,VERIFIED,W1-N,2026-08-22,"Spanish-language delivery at a high level is required. Own-degree award, not official - visa and recognition implications.","Product-side complement to an engineering degree: service design, UX research and digital product management. Useful if the target is founding or leading a music-app product team rather than doing DSP; weaker on the audio-technology side than N-001 or N-002."
